"Name";"RecordingGivid";"UserReference";"Observer";"QualifierType";"Q1Code";"Q1Description";"Q2Code";"Q2Description";"Q3Code";"Q3Description";"Elucidation";"NotSure";"ParentID";"QualifierResource"
"N2000meetnet_Grasland";"IV2017021314354987";"1022766";"Patrik Oosterlynck";"MQ";"A";"Active";"Bos";"verbossing";"1";"1.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017021415534916";"1062930";"Rémar Erens";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017020309560065";"10766985";"Indra Jacobs, Patrik Oosterlynck";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017013013460448";"1115122";"Rémar Erens";"MQ";"A";"Active";"Bos";"verbossing";"2";"2.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017010616345212";"1117877";"Indra Jacobs";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017020914013322";"11366482";"Indra Jacobs, Patrik Oosterlynck, Remar Erens";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017012615432844";"1150886";"Rémar Erens";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017022212325377";"1156230";"Patrik Oosterlynck, Remar Erens";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017012013020416";"116950";"Indra Jacobs";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
"N2000meetnet_Grasland";"IV2017010618292802";"1195701";"Indra Jacobs";"MQ";"A";"Active";"Bos";"verbossing";"0";"0.0";"";0;NA;"RS2012060811060080"
