"Name";"RecordingGivid";"LayerCode";"CoverCode";"OriginalName";"ScientificName";"PhenologyCode";"CoverageCode";"PctValue";"RecordingScale"
"N2000meetnet_Grasland";"IV2017010916362743";"MO";"70";"Calliergonella cuspidata (Hedw.) Loeske";"Calliergonella cuspidata (Hedw.) Loeske";"-";"7";70;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Betula pendula Roth";"Betula pendula Roth";"K";"a1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Salix";"Salix";"K";"m2";2;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Holcus lanatus L.";"Holcus lanatus L.";"-";"m1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Centaurium erythraea Rafn";"Centaurium erythraea Rafn";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Carex demissa Vahl ex Hartm.";"Carex demissa Vahl ex Hartm.";"-";"3";30;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Juncus articulatus L.";"Juncus articulatus L.";"-";"m4";4;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Leontodon autumnalis L.";"Leontodon autumnalis L.";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Rhinanthus angustifolius C.C. Gmel.";"Rhinanthus angustifolius C.C. Gmel.";"-";"1-";7;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Hypochaeris radicata L.";"Hypochaeris radicata L.";"-";"1-";7;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Anthoxanthum odoratum subsp. puelii (Lecoq et Lamotte) Bonnier et Layens";"Anthoxanthum aristatum Boiss.";"-";"m1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Juncus conglomeratus L.";"Juncus conglomeratus L.";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Juncus effusus L.";"Juncus effusus L.";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Juncus acutiflorus Ehrh. ex Hoffmann";"Juncus acutiflorus Ehrh. ex Hoffmann";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Pedicularis palustris L.";"Pedicularis palustris L.";"-";"a1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Carex ovalis Good.";"Carex ovalis Good.";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Trifolium dubium Sibth.";"Trifolium dubium Sibth.";"-";"m1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Agrostis capillaris L.";"Agrostis capillaris L.";"-";"m1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Sagina procumbens L.";"Sagina procumbens L.";"-";"a1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Scirpus setaceus L.";"Scirpus setaceus L.";"-";"m2";2;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Ranunculus repens L.";"Ranunculus repens L.";"-";"a1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Ranunculus flammula L.";"Ranunculus flammula L.";"-";"a1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Lythrum salicaria L.";"Lythrum salicaria L.";"-";"p1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Trifolium repens L.";"Trifolium repens L.";"-";"r1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Luzula multiflora (Ehrh.) Lej.";"Luzula multiflora (Ehrh.) Lej.";"-";"1+";12;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010916362743";"K";"60";"Dactylorhiza praetermissa (Druce) Soó";"Dactylorhiza praetermissa (Druce) Soó";"-";"r1";1;"Londo (1) volledig"
"N2000meetnet_Grasland";"IV2017010915000761";"MO";"70";"Polytrichum commune Hedw.";"Polytrichum commune Hedw.";"-";"o";3;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Betula pendula Roth";"Betula pendula Roth";"K";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Salix";"Salix";"K";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Holcus lanatus L.";"Holcus lanatus L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Centaurium erythraea Rafn";"Centaurium erythraea Rafn";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Carex demissa Vahl ex Hartm.";"Carex demissa Vahl ex Hartm.";"-";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Juncus articulatus L.";"Juncus articulatus L.";"-";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Leontodon autumnalis L.";"Leontodon autumnalis L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Rhinanthus angustifolius C.C. Gmel.";"Rhinanthus angustifolius C.C. Gmel.";"-";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Hypochaeris radicata L.";"Hypochaeris radicata L.";"-";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Anthoxanthum odoratum subsp. puelii (Lecoq et Lamotte) Bonnier et Layens";"Anthoxanthum aristatum Boiss.";"-";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Juncus conglomeratus L.";"Juncus conglomeratus L.";"-";"o";3;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Juncus effusus L.";"Juncus effusus L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Juncus acutiflorus Ehrh. ex Hoffmann";"Juncus acutiflorus Ehrh. ex Hoffmann";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Pedicularis palustris L.";"Pedicularis palustris L.";"-";"a";15;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Carex ovalis Good.";"Carex ovalis Good.";"-";"o";3;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Trifolium dubium Sibth.";"Trifolium dubium Sibth.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Agrostis capillaris L.";"Agrostis capillaris L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Sagina procumbens L.";"Sagina procumbens L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Scirpus setaceus L.";"Scirpus setaceus L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Ranunculus repens L.";"Ranunculus repens L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Ranunculus flammula L.";"Ranunculus flammula L.";"-";"f";8;"Tansley IHD"
"N2000meetnet_Grasland";"IV2017010915000761";"K";"60";"Lythrum salicaria L.";"Lythrum salicaria L.";"-";"o";3;"Tansley IHD"
