"recording_givid";"structure_var";"structure_value"
"IV2017010510420097";"Bos";"0"
"IV2017010511460749";"Bos";"0"
"IV2017010609200485";"Bos";"0"
"IV2017010610523940";"Bos";"0"
"IV2017010612172361";"Bos";"0"
"IV2017010613314127";"Bos";"0"
"IV2017010616345212";"Bos";"0"
"IV2017010616530182";"Bos";"0"
"IV2017010617095027";"Bos";"0"
"IV2017010617282387";"Bos";"0"
"IV2017010617430082";"Bos";"0"
"IV2017010618124978";"Bos";"0"
"IV2017010618292802";"Bos";"0"
"IV2017010618405531";"Bos";"0"
"IV2017010910225147";"Bos";"0"
"IV2017010911112595";"Bos";"0"
"IV2017010915000761";"Bos";"0"
"IV2017010922050123";"Bos";"0"
"IV2017010611111454";"Bos";"20"
"IV2017010616490548";"Bos";"0"
"IV2017011212263384";"Bos";"40"
"IV2017011212535658";"Bos";"0"
"IV2017011215162577";"Bos";"0"
"IV2017011215302636";"Bos";"0"
"IV2017011215545335";"Bos";"0"
"IV2017011312251730";"Bos";"4"
"IV2017011813083530";"Bos";"0"
"IV2017011814163232";"Bos";"1"
"IV2017011816484258";"Bos";"3"
"IV2017011915010675";"Bos";"0"
"IV2017011916524752";"Bos";"0"
"IV2017012010235498";"Bos";"0"
"IV2017012012273378";"Bos";"0"
"IV2017012013020416";"Bos";"0"
"IV2017012013475483";"Bos";"0"
"IV2017012015481765";"Bos";"0"
"IV2017012016374726";"Bos";"0"
"IV2017012017101191";"Bos";"0"
"IV2017012312301685";"Bos";"0"
"IV2017012521020429";"Bos";"0"
"IV2017012522043706";"Bos";"20"
"IV2017012611170830";"Bos";"0"
"IV2017012612213288";"Bos";"10"
"IV2017012612213288";"Struc";"0"
"IV2017012613001528";"Bos";"0"
"IV2017012613411763";"Bos";"0"
"IV2017012615432844";"Bos";"0"
"IV2017012620463014";"Bos";"2"
"IV2017012709211647";"Bos";"0"
"IV2017012709434540";"Bos";"0"
"IV2017012711062779";"Bos";"0"
"IV2017012711062779";"Struc";"0"
"IV2017012711292443";"Bos";"0"
"IV2017012712420281";"Bos";"0"
"IV2017012713261758";"Bos";"30"
"IV2017012714260737";"Bos";"0"
"IV2017012715235876";"Bos";"0"
