"recording_givid";"location_code";"layer_code";"cover_code"
"IV2017010510420097";"Weelde";"K";"70"
"IV2017010510420097";"Weelde";"MO";"80"
"IV2017010510420097";"Weelde";"NB";"10"
"IV2017010511152189";"Weelde";"K";"75"
"IV2017010511152189";"Weelde";"MO";"90"
"IV2017010511460749";"Weelde";"K";"60"
"IV2017010511460749";"Weelde";"MO";"90"
"IV2017010512181008";"Weelde";"K";"60"
"IV2017010512181008";"Weelde";"MO";"90"
"IV2017010609200485";"Lissewege (& Zeebrugge)";"K";"75"
"IV2017010609200485";"Lissewege (& Zeebrugge)";"NB";"25"
"IV2017010609352959";"Lissewege (& Zeebrugge)";"K";"75"
"IV2017010609352959";"Lissewege (& Zeebrugge)";"NB";"25"
"IV2017010610523940";"Uitkerke";"K";"70"
"IV2017010610523940";"Uitkerke";"MO";"1"
"IV2017010610523940";"Uitkerke";"NB";"30"
"IV2017010611111454";"Neeroeteren";"K";"85"
"IV2017010611111454";"Neeroeteren";"MO";"5"
"IV2017010611111454";"Neeroeteren";"NB";"10"
"IV2017010611111454";"Neeroeteren";"S";"20"
"IV2017010611111454";"Neeroeteren";"STR";"1"
"IV2017010612064228";"Uitkerke";"K";"60"
"IV2017010612064228";"Uitkerke";"MO";"1"
"IV2017010612064228";"Uitkerke";"NB";"40"
"IV2017010612172361";"Vlissegem";"K";"60"
"IV2017010612172361";"Vlissegem";"NB";"40"
"IV2017010612593713";"Vlissegem";"K";"60"
"IV2017010612593713";"Vlissegem";"NB";"40"
"IV2017010613221989";"Neeroeteren";"K";"80"
"IV2017010613221989";"Neeroeteren";"MO";"6"
"IV2017010613221989";"Neeroeteren";"NB";"15"
"IV2017010613221989";"Neeroeteren";"STR";"0"
"IV2017010613314127";"Vlissegem";"K";"90"
"IV2017010613314127";"Vlissegem";"NB";"10"
"IV2017010613424129";"Vlissegem";"K";"80"
"IV2017010613424129";"Vlissegem";"NB";"20"
"IV2017010616345212";"Lissewege (& Zeebrugge)";"K";"95"
"IV2017010616345212";"Lissewege (& Zeebrugge)";"MO";"1"
"IV2017010616345212";"Lissewege (& Zeebrugge)";"NB";"4"
"IV2017010616415877";"Lissewege";"K";"95"
"IV2017010616415877";"Lissewege";"NB";"5"
"IV2017010616490548";"Molenstede";"K";"98"
"IV2017010616490548";"Molenstede";"MO";"2"
"IV2017010616490548";"Molenstede";"STR";"2"
"IV2017010616530182";"Lissewege (& Zeebrugge)";"K";"80"
"IV2017010616530182";"Lissewege (& Zeebrugge)";"NB";"20"
"IV2017010617002129";"Lissewege";"K";"60"
"IV2017010617002129";"Lissewege";"NB";"40"
"IV2017010617095027";"Lissewege (& Zeebrugge)";"K";"70"
"IV2017010617095027";"Lissewege (& Zeebrugge)";"NB";"30"
"IV2017010617095027";"Lissewege (& Zeebrugge)";"STR";"5"
"IV2017010617191621";"Lissewege";"K";"60"
"IV2017010617191621";"Lissewege";"NB";"40"
"IV2017010617191621";"Lissewege";"STR";"10"
"IV2017010617282387";"Lissewege (& Zeebrugge)";"K";"70"
"IV2017010617282387";"Lissewege (& Zeebrugge)";"MO";"1"
"IV2017010617282387";"Lissewege (& Zeebrugge)";"NB";"30"
"IV2017010617362713";"Lissewege";"K";"95"
"IV2017010617362713";"Lissewege";"NB";"5"
"IV2017010617430082";"Oudenburg";"K";"95"
"IV2017010617430082";"Oudenburg";"MO";"10"
"IV2017010617430082";"Oudenburg";"NB";"5"
"IV2017010617551993";"Molenstede";"K";"98"
"IV2017010617551993";"Molenstede";"MO";"3"
"IV2017010617551993";"Molenstede";"NB";"0"
"IV2017010617551993";"Molenstede";"STR";"1"
"IV2017010618013747";"Oudenburg";"K";"95"
"IV2017010618013747";"Oudenburg";"MO";"10"
"IV2017010618013747";"Oudenburg";"NB";"5"
"IV2017010618124978";"Dudzele";"K";"90"
"IV2017010618124978";"Dudzele";"NB";"10"
"IV2017010618211064";"Dudzele";"K";"99"
"IV2017010618211064";"Dudzele";"NB";"1"
"IV2017010618292802";"Lissewege (& Zeebrugge)";"K";"70"
"IV2017010618292802";"Lissewege (& Zeebrugge)";"MO";"1"
"IV2017010618292802";"Lissewege (& Zeebrugge)";"NB";"30"
"IV2017010618363706";"Lissewege (& Zeebrugge)";"K";"70"
"IV2017010618363706";"Lissewege (& Zeebrugge)";"NB";"30"
"IV2017010618405531";"Dudzele";"K";"70"
"IV2017010618405531";"Dudzele";"NB";"30"
"IV2017010618503780";"Dudzele";"K";"70"
"IV2017010618503780";"Dudzele";"NB";"30"
"IV2017010910225147";"Gierle";NA;NA
"IV2017010910241756";"Gierle";"K";"70"
"IV2017010910241756";"Gierle";"MO";"80"
"IV2017010910241756";"Gierle";"NB";"5"
"IV2017010910241756";"Gierle";"STR";"2"
"IV2017010911112595";"Molenstede";"K";"99"
"IV2017010911112595";"Molenstede";"MO";"20"
"IV2017010911112595";"Molenstede";"NB";"1"
"IV2017010911343112";"Molenstede";"K";"98"
"IV2017010911343112";"Molenstede";"MO";"30"
"IV2017010911343112";"Molenstede";"NB";"2"
"IV2017010915000761";"Beernem";"K";"60"
"IV2017010915000761";"Beernem";"MO";"70"
"IV2017010915000761";"Beernem";"NB";"1"
"IV2017010916362743";"Beernem";"K";"60"
"IV2017010916362743";"Beernem";"MO";"70"
"IV2017010916362743";"Beernem";"NB";"1"
"IV2017010922050123";"Beernem";"K";"70"
"IV2017010922050123";"Beernem";"MO";"40"
"IV2017010922050123";"Beernem";"NB";"5"
"IV2017010922225486";"Beernem";"K";"70"
"IV2017010922225486";"Beernem";"MO";"40"
"IV2017010922225486";"Beernem";"NB";"5"
"IV2017011212263384";"Maasmechelen (F)";"K";"75"
"IV2017011212263384";"Maasmechelen (F)";"MO";"2"
"IV2017011212263384";"Maasmechelen (F)";"NB";"20"
"IV2017011212263384";"Maasmechelen (F)";"STR";"3"
"IV2017011212535658";"Uitkerke";"K";"60"
"IV2017011212535658";"Uitkerke";"NB";"40"
"IV2017011214394174";"Uitkerke";"K";"85"
"IV2017011214394174";"Uitkerke";"NB";"15"
"IV2017011215122813";"Maasmechelen (F)";"K";"75"
"IV2017011215122813";"Maasmechelen (F)";"MO";"2"
"IV2017011215122813";"Maasmechelen (F)";"NB";"20"
"IV2017011215122813";"Maasmechelen (F)";"STR";"3"
"IV2017011215162577";"Uitkerke";"K";"85"
"IV2017011215162577";"Uitkerke";"MO";"1"
"IV2017011215162577";"Uitkerke";"NB";"15"
