point_code	segment_id	grts_ranking	grts_ranking_draw	sac_streams	legacy_site	type	is_active	date	db_ref
63762_1	1_4_783	63762	63762	intersecting or downstream	0	3260	1	19188	Dommel_05
69106_1	1_7_20153	69106	69106	intersecting or downstream	0	3260	1	18493	Maas_29
88754_1	1_4_329	88754	88754	intersecting or downstream	0	3260	0	18993	Berwijn_01
93650_1	1_4_1495	93650	93650	outside	0	3260	0	19146	Stiemer_01
131970_1	1_4_31	131970	131970	outside	0	3260	0	17024	NA
131970_2	1_4_31	26346370	131970	outside	0	3260	1	19178	Voer_08
212134_1	1_7_1607	212134	212134	intersecting or downstream	0	3260	0	18493	ZwaBe_03
264822_1	1_7_54997	264822	264822	outside	0	3260	0	18814	KlHGr_03
266578_1	1_4_188	266578	266578	intersecting or downstream	0	3260	1	19586	Maas_08
351794_1	1_4_772	351794	351794	outside	0	3260	0	19146	KaaBe_01
351794_2	1_4_772	49770034	351794	outside	0	3260	1	19146	NA
359542_1	1_7_166695	359542	359542	outside	0	3260	0	18815	SchNe_09
378102_1	1_4_1309	378102	378102	outside	0	3260	0	19145	LoeNe_01
391346_1	1_4_320	391346	391346	intersecting or downstream	0	3260	0	19178	Berwijn_02
422134_1	1_7_47415	422134	422134	outside	0	3260	0	18816	DalLo_01
426066_1	1_7_7733	426066	426066	intersecting or downstream	0	3260	1	18494	Maas_30
434881_1	1_4_1464	434881	434881	outside	0	3260	0	19881	ZilBe_01
435538_1	1_4_208	435538	435538	intersecting or downstream	0	3260	1	19586	Maas_09
483446_1	1_4_1172	483446	483446	outside	0	3260	1	19145	SchNe_01
485342_1	1_4_1143	485342	485342	outside	0	3260	1	19884	AntGr_01
494838_1	1_4_853	494838	494838	intersecting or downstream	0	3260	0	19142	DesNe_01
526302_1	2023_5598	526302	526302	outside	0	3260	1	20254	NA
559698_1	1_4_674	559698	559698	intersecting or downstream	0	3260	0	19146	BosBe_01
655778_1	1_7_8876	655778	655778	intersecting or downstream	0	3260	1	19201	NA
678674_1	1_4_899	678674	678674	intersecting or downstream	0	3260	0	19537	Dommel_08
690658_1	1_7_8910	690658	690658	intersecting or downstream	0	3260	1	19201	NA
700137_1	1_7_7841	700137	700137	outside	0	3260	0	18628	MolBe_01
707042_1	2023_39077	707042	707042	intersecting or downstream	0	3260	1	20254	NA
722910_1	2023_5591	722910	722910	outside	0	3260	1	20254	NA
756982_1	1_4_851	756982	756982	intersecting or downstream	0	3260	0	19142	DesNe_02
784658_1	2023_238538	784658	784658	intersecting or downstream	0	3260	1	20254	Dommel_04
790866_1	1_4_191	790866	790866	intersecting or downstream	0	3260	1	19586	Maas_10
