assessment_date	point_code	segment_id	type	is_present	no_habitat	assessment_source	measured	inaccessible	not_measurable	reason_no_assessment	change_location
16604	1047854_1	1_4_1088	35	1	0	field assessment	1	NA	NA	NA	0
16611	559698_1	1_4_674	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
16611	63762_1	1_4_783	35	1	0	field assessment	1	NA	NA	NA	0
16611	784658_1	1_4_102	35	0	1	field assessment	0	NA	NA	NA	0
16611	93650_1	1_4_1495	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
16622	378102_1	1_4_1309	35	1	0	field assessment	1	NA	NA	NA	0
16622	494838_1	1_4_853	35	1	0	field assessment	1	NA	NA	NA	0
16629	391346_1	1_4_320	35	1	0	field assessment	1	NA	NA	NA	0
16629	88754_1	1_4_329	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: bodemplaat en overwelving	0
16675	1150886_1	1_4_1690	35	1	0	field assessment	1	NA	NA	NA	0
17009	947026_1	1_4_516	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17017	483446_1	1_4_1172	35	1	0	field assessment	1	NA	NA	NA	0
17018	1018130_1	1_4_1117	35	1	0	field assessment	1	NA	NA	NA	0
17018	1269266_1	1_4_422	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17018	946450_1	1_4_95	35	1	0	field assessment	1	NA	NA	NA	0
17021	678674_1	1_4_899	35	1	0	field assessment	1	NA	NA	NA	0
17024	131970_1	1_4_31	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw en bodemverharding	0
17024	131970_2	1_4_31	35	1	0	field assessment	1	NA	NA	NA	1
17024	351794_1	1_4_772	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17025	1880594_1	1_4_435	35	NA	NA	field assessment	0	long term	NA	permanent niet toegankelijk: onbereikbaar;  evt afspreken met eigenaars weekendverblijf?	0
17031	485342_1	1_4_1143	35	1	0	field assessment	1	NA	NA	NA	0
17032	2485086_1	1_4_806	35	1	0	field assessment	1	NA	NA	NA	0
17032	952670_1	1_4_1515	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17039	1006710_1	1_4_1189	35	1	0	field assessment	1	NA	NA	NA	0
17039	756982_1	1_4_851	35	1	0	field assessment	1	NA	NA	NA	0
17305	434881_1	1_4_1464	35	1	0	field assessment	1	NA	NA	NA	0
17319	1370998_1	1_4_1166	35	1	0	field assessment	1	NA	NA	NA	0
17319	2133494_1	1_4_1393	35	1	0	field assessment	1	NA	NA	NA	0
17319	2465270_1	1_4_1402	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17364	2241970_1	1_4_348	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17364	2246930_1	1_4_1110	35	1	0	field assessment	1	NA	NA	NA	0
17364	2369362_1	1_4_55	35	1	0	field assessment	1	NA	NA	NA	0
17364	2589570_1	1_4_956	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17364	2992914_1	1_4_926	35	0	1	field assessment	0	NA	NA	NA	0
17365	2291670_1	1_4_603	35	1	0	field assessment	1	NA	NA	NA	0
17365	7550870_1	1_4_1692	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17395	1497974_1	1_4_565	35	NA	NA	field assessment	0	NA	long term	NA	0
17395	1497974_2	1_4_565	35	1	0	field assessment	1	NA	NA	NA	1
17395	1596534_1	1_4_1198	35	1	0	field assessment	1	NA	NA	NA	0
17399	1135858_1	1_4_1811	35	1	0	field assessment	1	NA	NA	NA	0
17399	1309170_1	1_4_1824	35	1	0	field assessment	1	NA	NA	NA	0
17414	1484114_1	1_4_207	35	1	0	field assessment	1	NA	NA	NA	0
17414	266578_1	1_4_188	35	1	0	field assessment	1	NA	NA	NA	0
17414	435538_1	1_4_208	35	1	0	field assessment	1	NA	NA	NA	0
17414	790866_1	1_4_191	35	1	0	field assessment	1	NA	NA	NA	0
17729	1762550_1	1_4_1320	35	1	0	field assessment	1	NA	NA	NA	0
17729	2685046_1	1_4_1458	35	1	0	field assessment	1	NA	NA	NA	0
17730	11085430_1	1_4_882	35	1	0	field assessment	1	NA	NA	NA	0
17732	8185921_1	1_4_1011	35	1	0	field assessment	0	NA	short term	tijdelijk niet geschikt: droog	0
17749	3173042_1	1_4_359	35	1	0	field assessment	1	NA	NA	NA	0
17751	1917010_1	1_4_125	35	0	1	field assessment	0	NA	NA	NA	0
17751	2221394_1	1_4_222	35	0	1	field assessment	0	NA	NA	NA	0
17751	2342994_1	1_4_118	35	1	0	field assessment	1	NA	NA	NA	0
17751	2548050_1	1_4_200	35	1	0	field assessment	1	NA	NA	NA	0
17751	819282_1	1_4_114	35	1	0	field assessment	1	NA	NA	NA	0
17808	2252274_1	1_4_270	35	1	0	field assessment	1	NA	NA	NA	0
17808	2476530_1	1_4_1859	35	1	0	field assessment	1	NA	NA	NA	0
17808	2477554_1	1_4_292	35	1	0	field assessment	1	NA	NA	NA	0
17808	2853618_1	1_4_1815	35	1	0	field assessment	1	NA	NA	NA	0
17808	3034610_1	1_4_253	35	1	0	field assessment	0	long term	NA	permanent niet toegankelijk	0
18038	4193526_1	1_4_838	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18038	4193526_2	1_4_838	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	1
18040	2366582_1	1_4_1182	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
