segment_id	rank	segment_id_v1_7	point_code	grts_ranking	x	y
1_4_783	238546	1_4_783	63762_1	63762	223428.55	215626.03
1_7_20153	39410	1_7_20153	69106_1	69106	246631.5	181898.76
2023_212356	212356	1_4_329	88754_1	88754	243642	161000.36
2023_209501	209501	1_4_1495	93650_1	93650	230211.14	186888.39
2023_218832	218832	1_4_31	131970_1	131970	252091.15	160123.86
1_7_1607	NA	1_7_1607	212134_1	212134	200100.49	185620.7
2023_46049	46049	1_7_54997	264822_1	264822	216458.32	208881.76
1_4_188	39294	1_4_188	266578_1	266578	248161.71	188823.14
1_4_772	NA	1_4_772	351794_1	351794	228295.38	179644.33
2023_206742	206742	1_7_166695	359542_1	359542	210008.6	212199.95
2023_166731	166731	1_4_1309	378102_1	378102	196022.74	215574.44
2023_212347	212347	1_4_320	391346_1	391346	242974.05	161358.8
2023_113051	113051	1_7_47415	422134_1	422134	196955.29	211460.65
1_7_7733	39208	1_7_7733	426066_1	426066	249112.62	195569.25
2023_176607	176607	1_4_1464	434881_1	434881	81436.77	212954.77
1_4_208	39314	1_4_208	435538_1	435538	247171.93	187154.85
1_4_1172	206688	1_4_1172	483446_1	483446	205843.07	210444.87
1_4_1143	5562	1_4_1143	485342_1	485342	153679.25	226383.31
1_4_853	NA	1_4_853	494838_1	494838	200562.98	215903.98
2023_5598	5598	NA	526302_1	526302	156852.534058269	224961.517261997
2023_213945	213945	1_4_674	559698_1	559698	236314.49	191366.28
1_7_8876	39118	1_7_8876	655778_1	655778	252527.85	200331.13
2023_238643	238643	1_4_899	678674_1	678674	224594.6	208014.21
1_7_8910	39064	1_7_8910	690658_1	690658	252911.54	203305.75
1_7_7841	NA	1_7_7841	700137_1	700137	144320.05	194657.84
2023_39077	39077	NA	707042_1	707042	251726.790265654	202903.134418656
2023_5591	5591	NA	722910_1	722910	156260.846949608	225324.644966445
2023_259139	259139	1_4_851	756982_1	756982	200411.8	215822.22
2023_238538	238538	1_4_102	784658_1	784658	223114.68	216335.94
1_4_191	39297	1_4_191	790866_1	790866	248134.11	188525.67
1_4_114	39220	1_4_114	819282_1	819282	248393	195090.37
2023_218778	218778	NA	871858_1	871858	248482.768381703	161799.050280462
1_7_214728	NA	1_7_214728	906998_1	906998	189624.45	209735.48
2023_213783	213783	NA	923730_1	923730	245036.079631262	198473.474046059
2023_238593	238593	1_4_95	946450_1	946450	224626.87	212537.64
1_4_516	216087	1_4_516	947026_1	947026	239836.41	202029.35
1_4_1515	104303	1_4_1515	952670_1	952670	175351.36	236847.31
1_4_1189	206705	1_4_1189	1006710_1	1006710	207415.37	210723.76
1_4_1117	238527	1_4_1117	1018130_1	1018130	223461.31	217154.05
