segment_id	rank	segment_id_v1_7	point_code	grts_ranking	x	y
2023_255443	255443	1_7_140445	1040402_1	1040402	229059.6	208055.24
1_4_1088	111616	1_4_1088	1047854_1	1047854	186945.47	232226.79
2023_98889	98889	NA	1047854_2	1047854	186948.096799999	232234.0438
1_4_1811	39488	1_4_1811	1135858_1	1135858	243005.01	176670.64
2023_209503	209503	1_4_1497	1142226_1	1142226	230401.57	186948.84
1_4_1690	NA	1_4_1690	1150886_1	1150886	186150.67	180314.79
1_7_121104	175059	1_7_121104	1153089_1	1153089	74883.26	200027.54
1_7_8855	39139	1_7_8855	1237410_1	1237410	251440.54	199236.09
2023_255363	255363	1_4_422	1269266_1	1269266	228633.37	214184.05
1_7_208880	NA	1_7_208880	1305334_1	1305334	190239.55	209761.78
1_4_1824	39475	1_4_1824	1309170_1	1309170	243401.53	177860.96
1_7_189728	NA	1_7_189728	1309998_1	1309998	187334.94	232270.58
2023_33364	33364	1_7_166720	1354614_1	1354614	205016.11	208998.19
1_4_1166	206682	1_4_1166	1370998_1	1370998	205330.59	210333.08
1_4_1358	NA	1_4_1358	1372353_1	1372353	86343.1	208726.13
1_7_55005	46041	1_7_55005	1444470_1	1444470	215670.92	208736.54
1_4_207	39313	1_4_207	1484114_1	1484114	247213.86	187245.57
2023_206662	206662	1_4_565	1497974_1	1497974	203779.35	209650.2
1_7_226908	NA	1_7_226908	1508470_1	1508470	209566.38	215184.76
2023_206654	206654	NA	1530742_1	1530742	203221.561741565	209363.046892112
2023_123596	123596	1_7_23080	1549302_1	1549302	189264.12	210888.08
2023_255481	255481	NA	1553426_1	1553426	228507.82546296	204886.152834545
2023_143992	143992	NA	1593558_1	1593558	173334.818492729	211184.040967086
1_4_1198	206714	1_4_1198	1596534_1	1596534	208236.04	210749.24
1_4_593	209511	1_4_593	1618386_1	1618386	231009.17	187439.16
1_7_170694	NA	1_7_170694	1621622_1	1621622	212059.07	209199.06
2023_197911	197911	NA	1685846_1	1685846	184384.737052138	189776.49518635
2023_238747	238747	1_4_73	1704146_1	1704146	225718.56	199456.82
1_4_1047	NA	1_4_1047	1729430_1	1729430	164179.11	217157.4
2023_166760	166760	1_4_1320	1762550_1	1762550	197019.23	218119.85
2023_255412	255412	1_7_3419	1764882_1	1764882	228740.44	210508.02
1_7_221475	NA	1_7_221475	1834286_1	1834286	187034.84	231962.59
1_7_31125	NA	1_7_31125	1841014_1	1841014	207917.54	203886.5
2023_39219	39219	1_7_7177	1867858_1	1867858	248372.24	195218.35
2023_255356	255356	1_4_435	1880594_1	1880594	228575.49	214719.55
2023_39231	39231	1_4_125	1917010_1	1917010	248229.24	194017.65
2023_194186	194186	1_7_171136	2031030_1	2031030	203151.9	191903.1
2023_238513	238513	1_7_20555	2050322_1	2050322	223963.07	218233.33
1_7_19326	144632	1_7_19326	2123986_1	2123986	221617.59	201378.44
1_7_34547	206678	1_7_34547	2124662_1	2124662	205017.74	210236.4
2023_255430	255430	1_4_404	2129938_1	2129938	229115.96	209081.37
1_4_1393	224817	1_4_1393	2133494_1	2133494	199781.7	203276.77
2023_176609	176609	1_4_1466	2151105_1	2151105	81260.43	212914.62
2023_83584	83584	1_7_46206	2169582_1	2169582	203089.59	224550.96
2023_39328	39328	1_4_222	2221394_1	2221394	246168.55	186296.68
2023_212376	212376	1_4_348	2241970_1	2241970	245151.96	161385.91
1_4_1110	238519	1_4_1110	2246930_1	2246930	223798.57	217741.62
1_4_270	39376	1_4_270	2252274_1	2252274	246741.72	184338.78
2023_123545	123545	1_4_603	2291670_1	2291670	184630.44	208996.03
1_4_118	39224	1_4_118	2342994_1	2342994	248393.36	194692.69
2023_206698	206698	1_4_1182	2366582_1	2366582	206779.32	210692.48
1_4_55	213813	1_4_55	2369362_1	2369362	242952.86	197998.7
2023_209504	209504	1_4_1498	2387410_1	2387410	230484.04	187004.66
2023_238649	238649	1_7_3495	2448146_1	2448146	224648.42	207450.17
2023_224825	224825	1_4_1402	2465270_1	2465270	200562.06	203135.92
1_4_1859	39440	1_4_1859	2476530_1	2476530	245486.06	179315.69
1_4_292	39398	1_4_292	2477554_1	2477554	247113.58	182946.61
2023_47689	47689	1_4_806	2485086_1	2485086	179905.62	243386.62
1_7_8873	39121	1_7_8873	2498978_1	2498978	252574.29	200036.83
2023_206723	206723	NA	2505846_1	2505846	208783.045685611	211212.785060196
2023_5561	5561	NA	2516958_1	2516958	153581.619452218	226391.971396957
1_7_54994	NA	1_7_54994	2538102_1	2538102	216748.74	208931.93
1_4_200	39306	1_4_200	2548050_1	2548050	247577.68	187835.59
2023_144627	144627	1_7_19473	2566354_1	2566354	221778.86	201796.25
2023_218819	218819	1_4_956	2589570_1	2589570	251490.86	160895.34
1_7_199859	NA	1_7_199859	2614318_1	2614318	186553.19	219937.29
2023_259169	259169	1_4_1458	2685046_1	2685046	202424.08	217095.36
1_7_55007	46039	1_7_55007	2706038_1	2706038	215473.16	208705.29
2023_166762	166762	1_7_30980	2811126_1	2811126	197117.56	218240.25
2023_123769	123769	1_7_27117	2817750_1	2817750	176986.46	209512.32
1_4_1815	39484	1_4_1815	2853618_1	2853618	243237.79	176989.83
2023_238623	238623	1_4_926	2992914_1	2992914	224866.85	209874.33
2023_45967	45967	1_7_38243	2999158_1	2999158	209397.44	206591.85
1_4_637	NA	1_4_637	3020754_1	3020754	227986.31	198692.44
2023_39359	39359	1_4_253	3034610_1	3034610	245296.82	183718.32
1_4_1139	5558	1_4_1139	3041246_1	3041246	153280.77	226346.54
1_4_24	218824	1_4_24	3048322_1	3048322	251834.15	160681.43
2023_39057	39057	1_4_969	3115490_1	3115490	253223.76	203857.34
1_4_1179	206695	1_4_1179	3153014_1	3153014	206504.25	210593.65
2023_212387	212387	1_4_359	3173042_1	3173042	245580.98	161040
1_4_1852	39447	1_4_1852	3197426_1	3197426	245288.12	178665.02
2023_194175	194175	NA	3210678_1	3210678	202607.055263988	191286.155154906
1_7_20152	39411	1_7_20152	3214834_1	3214834	246593.68	181806.04
2023_39264	39264	1_4_158	3238226_1	3238226	248600.92	191609.44
2023_238582	238582	1_4_1054	3240210_1	3240210	224535.3	213300.71
1_7_61527	NA	1_7_61527	3280774_1	3280774	176256.33	179597.77
1_7_8899	39075	1_7_8899	3328482_1	3328482	251873.72	203066.1
2023_255407	255407	1_7_3424	3337746_1	3337746	228661.48	210904.05
1_7_226909	NA	1_7_226909	3343478_1	3343478	209535.18	215278.57
2023_259138	259138	NA	3378422_1	3378422	200363.994159612	215751.807474144
1_4_173	39279	1_4_173	3402066_1	3402066	248250.01	190286.27
1_4_128	39234	1_4_128	3406162_1	3406162	248118.52	193739.04
1_4_1041	218800	1_4_1041	3431858_1	3431858	250076.54	161383.86
2023_238616	238616	1_4_919	3481874_1	3481874	224673.75	210456.42
2023_218761	218761	1_4_9	3483058_1	3483058	246975.49	162158.35
1_7_20150	39413	1_7_20150	3598834_1	3598834	246529.96	181616.26
1_7_27889	216091	1_7_27889	3634002_1	3634002	239549.04	201875.51
1_7_114570	221119	1_7_114570	3717106_1	3717106	238857.42	181178.55
2023_224928	224928	1_4_1535	3729270_1	3729270	207480.52	205708.7
1_7_8845	39149	1_7_8845	3734610_1	3734610	250498.06	199299.19
1_4_1810	39489	1_4_1810	3757298_1	3757298	242930.59	176604.62
1_4_1434	166800	1_4_1434	3792430_1	3792430	200186.09	220139.54
2023_212344	212344	1_4_317	3799218_1	3799218	242803.09	161362.52
2023_206740	206740	1_4_1224	3832950_1	3832950	209878.47	212029.25
2023_167912	167912	NA	3864710_1	3864710	185085.079029347	180627.555129386
2023_5592	5592	NA	3868638_1	3868638	156357.436279629	225298.768736586
1_4_259	39365	1_4_259	3886578_1	3886578	245884.09	183716.28
2023_218772	218772	1_4_20	3902898_1	3902898	247930.95	161929.59
2023_252508	252508	1_4_1636	3930614_1	3930614	198982.59	207071.83
2023_5607	5607	1_7_28258	3968990_1	3968990	157719.18	224698.15
2023_175052	175052	NA	3991617_1	3991617	74382.9658684711	200498.593251944
1_4_63	238737	1_4_63	4055250_1	4055250	226051.39	200386.41
2023_238592	238592	NA	4092178_1	4092178	224606.850573877	212588.252127655
1_4_1556	224951	1_4_1556	4110198_1	4110198	209016.16	206116.53
2023_39498	39498	1_4_1800	4117746_1	4117746	242301.77	175857.39
1_7_74832	NA	1_7_74832	4136210_1	4136210	219975.38	210484.75
1_7_11707	123786	1_7_11707	4146134_1	4146134	178305.29	209663.63
2023_218796	218796	1_4_1037	4152754_1	4152754	249770.35	161555.7
2023_259126	259126	1_4_838	4193526_1	4193526	199562.49	215643.39
1_7_31111	224921	1_7_31111	4204406_1	4204406	206939.67	205395.38
2023_209488	209488	NA	4206034_1	4206034	229171.147083393	186206.157286652
2023_252561	252561	1_4_717	4217718_1	4217718	202396.03	208544.35
2023_104298	104298	NA	4241758_1	4241758	175799.992501906	237042.598324169
2023_250732	250732	1_7_158455	4247526_1	4247526	206876.18	184254.96
1_7_7743	39198	1_7_7743	4268114_1	4268114	250024.68	195291
2023_90384	90384	1_4_1640	4275614_1	4275614	179455.59	231899.23
1_7_208884	NA	1_7_208884	4314870_1	4314870	189947.17	209845.51
1_7_8851	39143	1_7_8851	4324434_1	4324434	251076.14	199397.28
2023_123492	123492	1_4_459	4367318_1	4367318	180091.25	208410.67
2023_226460	226460	NA	4377874_1	4377874	221388.95766389	211285.594779582
1_4_1333	NA	1_4_1333	4394806_1	4394806	189618.09	197095.27
2023_200563	200563	NA	4405142_1	4405142	167041.098399997	212998.408399999
2023_239841	239841	NA	4405142_2	4405142	167041.098399997	212998.408399999
2023_218822	218822	1_4_22	4424578_1	4424578	251794.78	160861.48
2023_39225	39225	1_4_119	4440146_1	4440146	248384.05	194593.2
2023_40024	40024	NA	4478366_1	4478366	184668.07615735	233889.18046783
2023_218768	218768	NA	4492722_1	4492722	247555.777828638	162043.357006504
2023_201260	201260	1_7_42902	4500694_1	4500694	171134.73	218203.68
2023_113049	113049	1_7_215273	4583670_1	4583670	196839.64	211314.12
2023_46042	46042	1_7_55004	4590198_1	4590198	215769.63	208753.31
2023_39094	39094	1_4_997	4623442_1	4623442	250810.61	201499.12
2023_39327	39327	NA	4646226_1	4646226	246276.114477811	186359.902695816
2023_39373	39373	1_4_267	4677106_1	4677106	246475.9	184221.06
2023_260213	260213	1_4_412	4678802_1	4678802	239984.61	206267.57
2023_90379	90379	NA	4767134_1	4767134	179053.865243497	232075.636656262
2023_5616	5616	1_7_28147	4771806_1	4771806	158572.55	224480.47
2023_224930	224930	NA	4777846_1	4777846	207620.167977021	205725.984764116
2023_45964	45964	NA	4834166_1	4834166	209088.251510779	206385.4183694
2023_206738	206738	NA	4881526_1	4881526	209746.612517013	211964.70210217
2023_218812	218812	1_4_950	4965042_1	4965042	250984.42	161069.69
2023_252510	252510	1_4_1638	4979190_1	4979190	199115.4	207104.71
2023_33414	33414	NA	5012950_1	5012950	182998.038045876	215877.526368371
2023_90386	90386	1_4_1643	5062046_1	5062046	179501.71	231712.49
2023_213781	213781	1_4_58	5118034_1	5118034	245125.3	198449.11
2023_260203	260203	1_7_18789	5136530_1	5136530	240884.76	206498.91
2023_224809	224809	1_4_1386	5230070_1	5230070	199158.65	203451.06
2023_255353	255353	1_4_432	5288466_1	5288466	228587.57	214900.33
2023_39487	39487	NA	5330162_1	5330162	243044.862563426	176709.11207222
2023_123676	123676	NA	5457142_1	5457142	195462.614271866	214859.855010922
2023_238604	238604	1_4_908	5464338_1	5464338	224608.14	211525.89
2023_240902	240902	NA	5505106_1	5505106	247938.797653253	195191.428116393
2023_39194	39194	NA	5578834_1	5578834	250329.374313971	195530.665442961
2023_46037	46037	1_7_55009	5589622_1	5589622	215275.34	208674.65
2023_230706	230706	NA	5593042_1	5593042	227436.065508039	199478.062115912
2023_252550	252550	NA	5655030_1	5655030	201743.984677852	207792.532466036
2023_103408	103408	1_4_1348	5699382_1	5699382	190334.54	196030.96
2023_123544	123544	NA	5699542_1	5699542	184577.378627019	208993.090349228
2023_144626	144626	1_4_504	5712082_1	5712082	221778.83	201890.6
2023_238504	238504	NA	5788522_1	5788522	224360.926420979	218927.246339306
2023_45971	45971	NA	5849974_1	5849974	209639.226145962	206656.810871102
2023_144615	144615	1_4_493	5850898_1	5850898	221950.27	202892.17
2023_218782	218782	NA	5852594_1	5852594	248772.49713458	161838.634192804
2023_169150	169150	NA	5856006_1	5856006	160986.0744	157472.147399999
2023_123466	123466	NA	5948374_1	5948374	178080.008118354	208858.20691044
2023_219276	219276	1_4_1367	5951681_1	5951681	86719.22	208009.48
2023_39416	39416	1_7_20147	5958130_1	5958130	246378.73	181357.97
2023_212391	212391	1_4_364	6056626_1	6056626	245726.96	160830.91
2023_5576	5576	1_4_1677	6072286_1	6072286	155025.27	226026.71
2023_45939	45939	NA	6104950_1	6104950	206857.459276594	205597.450702548
2023_39380	39380	NA	6118898_1	6118898	247098.501535402	184227.006738595
2023_39082	39082	NA	6146530_1	6146530	251436.515947165	202496.244019651
2023_206706	206706	NA	6249590_1	6249590	207523.668065075	210721.751185314
2023_33416	33416	NA	6258134_1	6258134	182905.901986992	216052.887557042
2023_39221	39221	1_4_115	6275154_1	6275154	248407.2	194991.52
2023_241244	241244	NA	6348178_1	6348178	251395.812399998	202433.011599999
2023_194177	194177	NA	6356406_1	6356406	202596.836016998	191432.432957311
2023_39101	39101	NA	6376530_1	6376530	251005.540450782	200866.482218559
2023_90108	90108	1_7_209739	6396462_1	6396462	195155.31	225480.85
2023_212349	212349	1_4_322	6448050_1	6448050	243030.24	161186.27
2023_103399	103399	NA	6459190_1	6459190	189959.966549747	196643.452038737
2023_39343	39343	NA	6544882_1	6544882	245420.172925965	185065.24851059
2023_39476	39476	NA	6552050_1	6552050	243406.917297767	177722.136231186
2023_260487	260487	NA	6643305_1	6643305	129124.98326304	214388.073441129
2023_144038	144038	1_7_209217	6644950_1	6644950	176691.7	212113.66
2023_259144	259144	NA	6655222_1	6655222	200765.415362386	216037.852915849
2023_238642	238642	1_4_898	6707986_1	6707986	224619.89	208115.83
2023_113037	113037	NA	6725878_1	6725878	195945.568088156	210788.418064727
2023_123458	123458	NA	6733526_1	6733526	177587.882065695	209195.483057086
2023_39070	39070	1_7_8903	6769122_1	6769122	252221.76	203248.13
2023_39126	39126	1_7_8868	6824354_1	6824354	252471.5	199550.75
2023_209483	209483	1_4_1477	6827474_1	6827474	228986.58	185834.59
2023_230700	230700	NA	6838226_1	6838226	227488.745713586	200029.023511137
2023_166826	166826	NA	6929966_1	6929966	201956.357948154	221057.530883777
2023_226468	226468	1_4_886	6954258_1	6954258	220669.21	210904.01
2023_216086	216086	NA	6976338_1	6976338	239948.474411377	202042.989548147
2023_90119	90119	NA	6996014_1	6996014	194036.259233321	225537.933871481
2023_255360	255360	NA	7036434_1	7036434	228654.42922522	214435.50206739
2023_123780	123780	1_7_11713	7062486_1	7062486	177916.71	209319.63
2023_102599	102599	NA	7063286_1	7063286	186253.218551018	209967.990092762
2023_241376	241376	1_4_545	7065746_1	7065746	241939.72	207320.89
2023_144004	144004	NA	7115990_1	7115990	174409.673465133	211353.378652013
2023_218809	218809	NA	7127730_1	7127730	250746.004972474	161229.49514732
2023_39080	39080	NA	7195106_1	7195106	251550.290991802	202660.728086163
2023_259134	259134	NA	7208182_1	7208182	200178.240574592	215559.515138508
2023_260186	260186	1_7_18806	7213202_1	7213202	242502.56	206958.51
2023_213899	213899	NA	7219794_1	7219794	238001.320800184	193836.154879484
2023_255433	255433	1_4_407	7241746_1	7241746	229152.07	208846.43
2023_39496	39496	1_4_1802	7263474_1	7263474	242376.81	176041.56
2023_39267	39267	1_4_161	7301458_1	7301458	248728.16	191339.85
2023_255478	255478	1_4_1231	7320594_1	7320594	228556.91	205096.86
2023_5577	5577	NA	7383006_1	7383006	155102.591069354	225975.890734588
2023_176608	176608	NA	7393985_1	7393985	81356.0566698002	212935.633901714
2023_39226	39226	1_4_120	7454802_1	7454802	248374.18	194493.77
2023_209481	209481	1_4_1475	7477810_1	7477810	228927.51	185642.59
2023_39162	39162	NA	7502930_1	7502930	250117.236564845	198315.420950447
2023_200565	200565	1_4_1692	7550870_1	7550870	167003.11	213204.27
2023_206716	206716	NA	7552118_1	7552118	208438.085768901	210793.796818053
2023_39370	39370	1_4_264	7560690_1	7560690	246290.99	183985.61
2023_203457	203457	1_7_1591	7609510_1	7609510	200704.08	184189.48
2023_252551	252551	1_4_707	7621110_1	7621110	201832.41	207883.63
2023_39289	39289	1_4_183	7639378_1	7639378	248114.41	189320.23
2023_218807	218807	NA	7652018_1	7652018	250610.765103756	161235.877910517
2023_111579	111579	NA	7656862_1	7656862	184853.164502526	233252.288745001
2023_224919	224919	NA	7677814_1	7677814	206757.114290303	205377.689799384
2023_238736	238736	1_4_62	7725266_1	7725266	226107.37	200468.81
2023_230697	230697	NA	7731154_1	7731154	227700.627119761	200212.557143951
2023_238571	238571	1_4_1057	7844114_1	7844114	223794.5	213514.27
2023_166829	166829	1_4_1453	7847470_1	7847470	202048.59	221393.4
2023_5611	5611	1_7_28152	7901150_1	7901150	158107.38	224628.64
2023_176610	176610	NA	7918273_1	7918273	81160.769049057	212892.47575996
2023_209496	209496	1_4_1490	8007122_1	8007122	229789.81	186712.29
2023_39417	39417	1_7_20146	8055282_1	8055282	246315.41	181280.39
2023_91125	91125	NA	8090614_1	8090614	187262.144827097	214187.287111702
2023_166759	166759	NA	8119542_1	8119542	196942.577439835	218024.391842616
2023_175053	175053	1_4_1011	8185921_1	8185921	74428.09	200450.44
2023_83582	83582	NA	8198894_1	8198894	202802.07042082	224522.815671108
2023_230708	230708	NA	8214482_1	8214482	227581.073896793	199353.335778768
2023_123531	123531	NA	8226774_1	8226774	183583.923714465	208285.65592837
2023_221123	221123	NA	8239090_1	8239090	238601.775873023	181172.235537607
2023_40016	40016	NA	8344990_1	8344990	184103.909902758	233817.330231795
2023_35616	35616	NA	8372498_1	8372498	224916.596451849	210777.607770897
2023_209489	209489	NA	8400338_1	8400338	229247.556571384	186265.097977146
2023_260295	260295	NA	8411154_1	8411154	233445.047813027	203319.953693536
2023_144055	144055	NA	8471766_1	8471766	177427.269514743	213375.930855225
2023_39102	39102	NA	8473682_1	8473682	251084.377059669	200804.973973671
1_4_1054	NA	1_4_1054	3240210_2	8483090	224563	213372
2023_39335	39335	NA	8510962_1	8510962	245914.600650217	185688.534114548
2023_224810	224810	1_4_1387	8556022_1	8556022	199243.81	203407.8
2023_39188	39188	NA	8564818_1	8564818	250283.888245531	196108.458056238
2023_39420	39420	1_7_20143	8628722_1	8628722	246107.27	181063.92
2023_19763	19763	1_7_157560	8645057_1	8645057	79057.43	212554.91
2023_144629	144629	NA	8661202_1	8661202	221745.574336198	201632.070977841
2023_238587	238587	NA	8810770_1	8810770	224442.890793975	212953.643633231
2023_39348	39348	1_4_242	8859122_1	8859122	245103.33	184649.37
2023_99528	99528	1_4_673	8900726_1	8900726	203085.94	213802.23
2023_39474	39474	NA	8911346_1	8911346	243396.527409075	177921.771006831
2023_144043	144043	NA	9004246_1	9004246	177031.832254324	212359.406545729
2023_259152	259152	1_4_1454	9014518_1	9014518	201210.09	216426.99
2023_166823	166823	NA	9027118_1	9027118	201777.227620655	220948.27485436
2023_39127	39127	1_7_8867	9036194_1	9036194	252420.94	199464.52
2023_144046	144046	1_7_209209	9061590_1	9061590	177151.81	212660.7
2023_255411	255411	NA	9104914_1	9104914	228721.974628954	210566.101828928
2023_255361	255361	NA	9133586_1	9133586	228667.105173602	214345.791743171
2023_39283	39283	1_4_177	9146706_1	9146706	248110.42	189914.89
2023_241541	241541	NA	9177106_1	9177106	230987.153353523	204105.550716262
2023_144005	144005	NA	9213142_1	9213142	174491.758361774	211364.187754452
2023_123784	123784	NA	9257942_1	9257942	178095.730194161	209575.761943031
2023_143394	143394	NA	9307382_1	9307382	194993.297581285	216456.64766973
2023_238528	238528	1_7_20571	9406738_1	9406738	223379.31	217060.87
2023_19759	19759	1_7_83901	9431489_1	9431489	78912.77	212865.17
2023_206663	206663	NA	9493366_1	9493366	203878.243888395	209704.55184931
2023_39086	39086	NA	9493906_1	9493906	251185.851580397	202185.927228327
2023_209502	209502	1_4_1497	1142226_2	9530834	230307	186913
2023_90109	90109	1_7_209738	9542190_1	9542190	195254.97	225489.01
2023_212374	212374	1_4_347	9582002_1	9582002	245081.1	161455.84
2023_213810	213810	1_4_52	9585490_1	9585490	242942.64	198219.98
2023_218758	218758	NA	9594290_1	9594290	246811.156000003	162290.590100002
2023_206671	206671	NA	9595766_1	9595766	204440.074578719	210074.158115732
2023_226465	226465	1_4_1086	9686290_1	9686290	220931.93	211034.01
2023_143993	143993	NA	9720022_1	9720022	173423.648992606	211138.571031141
2023_39290	39290	1_4_184	9736530_1	9736530	248124.97	189220.84
2023_166821	166821	NA	9748014_1	9748014	201577.375755828	220954.325640922
2023_218760	218760	NA	9774514_1	9774514	246884.833921073	162157.618069553
2023_209491	209491	1_4_1485	9776594_1	9776594	229387.45	186440.06
2023_238584	238584	1_7_3796	9793810_1	9793810	224563.13	213121.9
2023_39254	39254	1_4_148	9845074_1	9845074	247708.36	192011.84
2023_218790	218790	NA	9850290_1	9850290	249318.891919651	161799.387288733
2023_123506	123506	1_7_28750	9855958_1	9855958	181396.63	208576.68
2023_5553	5553	1_4_1135	9912253_1	9912253	152894.59	226358.81
2023_233093	233093	NA	10046898_1	10046898	248804.282855764	161791.226111425
2023_259171	259171	1_7_37741	10090614_1	10090614	202602.19	216930.44
2023_123467	123467	1_7_18086	10142678_1	10142678	178167.41	208785.48
2023_123689	123689	1_4_313	10155254_1	10155254	196673.6	215041.48
2023_144624	144624	1_4_502	10168530_1	10168530	221816.82	202077.7
2023_209466	209466	1_4_1507	10254898_1	10254898	228207.63	184498.4
2023_221118	221118	NA	10270706_1	10270706	238957.425191401	181151.447174152
2023_218777	218777	1_4_1019	10309042_1	10309042	248428.62	161826.78
2023_39045	39045	1_4_982	10316258_1	10316258	253874.22	204727.96
2023_103415	103415	1_7_32020	10352438_1	10352438	190347.53	195440.08
2023_238744	238744	NA	10420434_1	10420434	225759.600171134	199773.09616811
2023_238512	238512	1_4_1104	10438930_1	10438930	223966.43	218284.78
2023_39200	39200	NA	10494034_1	10494034	249832.984761757	195254.038761322
2023_238518	238518	1_4_1109	10635538_1	10635538	223862.19	217819.27
2023_80913	80913	1_4_1426	10694870_1	10694870	171793.99	212927.3
2023_39276	39276	1_4_170	10758482_1	10758482	248405.48	190542.59
2023_206681	206681	NA	10775414_1	10775414	205247.459279112	210308.715670358
2023_38429	38429	NA	10788086_1	10788086	199641.843189763	218119.092512267
2023_238259	238259	1_7_29232	10854553_1	10854553	102544.74	175149.11
2023_124212	124212	NA	10884982_1	10884982	207579.345250153	203954.896758913
2023_39120	39120	1_7_8874	10887586_1	10887586	252571.05	200137.03
2023_39307	39307	1_4_201	10936658_1	10936658	247505.52	187766.97
2023_39347	39347	NA	10956274_1	10956274	245175.51683568	184749.536676011
2023_218815	218815	1_4_953	10994354_1	10994354	251242.37	160930.57
1_4_882	249715	1_4_882	11085430_1	11085430	211215.16	204948.33
2023_39352	39352	1_4_246	11087346_1	11087346	244958.47	184285.16
2023_45969	45969	NA	11092854_1	11092854	209458.483048008	206571.615886361
2023_233091	233091	NA	11095474_1	11095474	248605.944482182	161777.274959792
2023_219275	219275	1_4_1366	11194561_1	11194561	86645.54	208072.82
2023_218806	218806	NA	11247026_1	11247026	250516.173543699	161260.096600255
2023_98821	98821	1_4_1126	11272862_1	11272862	178050.63	220936.65
2023_70408	70408	NA	11284014_1	11284014	200807.478500001	219236.112599999
2023_103400	103400	NA	11339574_1	11339574	189998.352497725	196551.698032324
2023_39261	39261	1_4_155	11364690_1	11364690	248370.11	191797.11
2023_39158	39158	NA	11369554_1	11369554	249962.98759053	198682.081940514
2023_39062	39062	NA	11373026_1	11373026	253067.511254039	203400.048076468
2023_196333	196333	NA	11406774_1	11406774	202886.483499996	192256.1853
2023_238758	238758	1_4_84	11419858_1	11419858	225621.59	198387.2
2023_123455	123455	NA	11452118_1	11452118	177337.966187049	209268.767391494
2023_46048	46048	1_7_54998	11471478_1	11471478	216360.47	208860.72
2023_123648	123648	1_4_1714	11483126_1	11483126	193033.57	213823.08
2023_255479	255479	NA	11514898_1	11514898	228536.784388699	205053.898271221
2023_226449	226449	1_4_1070	11537682_1	11537682	222226.77	211857.34
2023_39446	39446	NA	11586034_1	11586034	245327.98973495	178726.282034977
2023_5617	5617	NA	11587550_1	11587550	158609.595457298	224457.717227628
2023_39152	39152	1_7_8842	11615314_1	11615314	250248.89	199133.68
2023_102597	102597	NA	11781878_1	11781878	186056.19989355	209933.647197492
2023_99525	99525	NA	11784310_1	11784310	202790.519841933	213759.509960627
2023_206668	206668	1_7_34557	11787126_1	11787126	204240.84	209918.45
2023_203456	203456	1_7_1592	11803814_1	11803814	200655.27	184275.49
2023_45942	45942	NA	11806582_1	11806582	207118.813772249	205727.528051683
2023_259153	259153	1_4_1455	11947254_1	11947254	201295.63	216463.88
