scheme	sampling_unit_code	code_watersurfaces	type_target	grts_ranking	grts_ranking_draw	source_samplingunit
HQ2190_aq	WVLBLA0206_2190_a	WVLBLA0206	2190_a	16964277	55598	original sample frame
HQ2190_aq	WVLBRD0028_2190_a	WVLBRD0028	2190_a	65349745	440401	original sample frame
HQ2190_aq	WVLBRD0035_2190_a	WVLBRD0035	2190_a	27338865	138415	original sample frame
HQ2190_aq	WVLBRD0039_2190_a	WVLBRD0039	2190_a	21571697	92240	original sample frame
HQ2190_aq	WVLBRD0077_2190_a	WVLBRD0077	2190_a	12388465	19043	original sample frame
HQ2190_aq	WVLBRD0078_2190_a	WVLBRD0078	2190_a	67697	454946	original sample frame
HQ2190_aq	WVLBRD0079_2190_a	WVLBRD0079	2190_a	37816433	37816433	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0088_2190_a	WVLBRD0088	2190_a	862321	469723	original sample frame
HQ2190_aq	WVLBRD0089_2190_a	WVLBRD0089	2190_a	17639537	60897	original sample frame
HQ2190_aq	WVLBRD0112_2190_a	WVLBRD0112	2190_a	59582577	59582577	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0113_2190_a	WVLBRD0113	2190_a	60369009	60369009	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0114_2190_a	WVLBRD0114	2190_a	57550961	57550961	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0115_2190_a	WVLBRD0115	2190_a	40773745	40773745	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0116_2190_a	WVLBRD0116	2190_a	49162353	49162353	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0117_2190_a	WVLBRD0117	2190_a	65939569	65939569	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0118_2190_a	WVLBRD0118	2190_a	17426545	17426545	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0123_2190_a	WVLBRD0123	2190_a	2959473	2959473	watersurfaces_hab_v4
HQ2190_aq	WVLBRD0124_2190_a	WVLBRD0124	2190_a	17639537	17639537	watersurfaces_hab_v4
HQ2190_aq	WVLBRU0368_2190_a	WVLBRU0368	2190_a	37739189	221035	original sample frame
HQ2190_aq	WVLBRU0369_2190_a	WVLBRU0369	2190_a	65133237	438699	original sample frame
HQ2190_aq	WVLBRU0374_2190_a	WVLBRU0374	2190_a	24701621	117316	original sample frame
HQ2190_aq	WVLBRU0791_2190_a	WVLBRU0791	2190_a	55073461	358927	original sample frame
HQ2190_aq	WVLBRU0795_2190_a	WVLBRU0795	2190_a	63167157	423303	original sample frame
HQ2190_aq	WVLDEH0007_2190_a	WVLDEH0007	2190_a	8125877	465816	original sample frame
HQ2190_aq	WVLDEH0011_2190_a	WVLDEH0011	2190_a	27690421	141195	original sample frame
HQ2190_aq	WVLDEH0012_2190_a	WVLDEH0012	2190_a	14878133	38792	original sample frame
HQ2190_aq	WVLDEH0018_2190_a	WVLDEH0018	2190_a	56477809	370064	original sample frame
HQ2190_aq	WVLDEH0025_2190_a	WVLDEH0025	2190_a	59872257	397073	original sample frame
HQ2190_aq	WVLDEH0029_2190_a	WVLDEH0029	2190_a	60920833	405484	original sample frame
HQ2190_aq	WVLDEH0031_2190_a	WVLDEH0031	2190_a	62231553	415804	original sample frame
HQ2190_aq	WVLDEH0220_2190_a	WVLDEH0220	2190_a	10288565	2323	original sample frame
HQ2190_aq	WVLDEH0241_2190_a	WVLDEH0241	2190_a	33395713	186396	original sample frame
HQ2190_aq	WVLDEH0308_2190_a	WVLDEH0308	2190_a	52364725	52364725	watersurfaces_hab_v4
HQ2190_aq	WVLDEH0339_2190_a	WVLDEH0339	2190_a	63636917	426995	original sample frame
HQ2190_aq	WVLDEH0352_2190_a	WVLDEH0352	2190_a	63162481	63162481	watersurfaces_hab_v4
HQ2190_aq	WVLDEH0383_2190_a	WVLDEH0383	2190_a	19662261	19662261	watersurfaces_hab_v4
HQ2190_aq	WVLDEP0001_2190_a	WVLDEP0001	2190_a	48292017	304763	original sample frame
HQ2190_aq	WVLDEP0012_2190_a	WVLDEP0012	2190_a	3039409	162542	original sample frame
HQ2190_aq	WVLDEP0014_2190_a	WVLDEP0014	2190_a	59633841	395278	original sample frame
HQ2190_aq	WVLDEP0015_2190_a	WVLDEP0015	2190_a	37249201	217164	original sample frame
HQ2190_aq	WVLDEP0019_2190_a	WVLDEP0019	2190_a	42856625	261828	original sample frame
HQ2190_aq	WVLDEP0028_2190_a	WVLDEP0028	2190_a	36886705	214301	original sample frame
HQ2190_aq	WVLDEP0032_2190_a	WVLDEP0032	2190_a	57496753	378224	original sample frame
HQ2190_aq	WVLDEP0036_2190_a	WVLDEP0036	2190_a	61707441	411676	original sample frame
HQ2190_aq	WVLDEP0037_2190_a	WVLDEP0037	2190_a	51713201	332180	original sample frame
HQ2190_aq	WVLDEP0042_2190_a	WVLDEP0042	2190_a	4347057	266761	original sample frame
HQ2190_aq	WVLDEP0045_2190_a	WVLDEP0045	2190_a	65950897	445191	original sample frame
HQ2190_aq	WVLDEP0047_2190_a	WVLDEP0047	2190_a	21845169	94421	original sample frame
HQ2190_aq	WVLDEP0049_2190_a	WVLDEP0049	2190_a	43918513	270255	original sample frame
HQ2190_aq	WVLDEP0051_2190_a	WVLDEP0051	2190_a	25007281	119795	original sample frame
HQ2190_aq	WVLDEP0053_2190_a	WVLDEP0053	2190_a	54792369	356647	original sample frame
HQ2190_aq	WVLDEP0054_2190_a	WVLDEP0054	2190_a	36299953	209658	original sample frame
HQ2190_aq	WVLDEP0056_2190_a	WVLDEP0056	2190_a	6444209	433280	original sample frame
HQ2190_aq	WVLDEP0057_2190_a	WVLDEP0057	2190_a	19027121	71966	original sample frame
HQ2190_aq	WVLDEP0058_2190_a	WVLDEP0058	2190_a	29725873	157334	original sample frame
HQ2190_aq	WVLDEP0060_2190_a	WVLDEP0060	2190_a	4380849	269360	original sample frame
HQ2190_aq	WVLDEP0061_2190_a	WVLDEP0061	2190_a	14832817	38407	original sample frame
HQ2190_aq	WVLDEP0062_2190_a	WVLDEP0062	2190_a	47027377	294864	original sample frame
HQ2190_aq	WVLDEP0065_2190_a	WVLDEP0065	2190_a	22910129	102946	original sample frame
HQ2190_aq	WVLDEP0067_2190_a	WVLDEP0067	2190_a	20812977	86210	original sample frame
HQ2190_aq	WVLDEP0068_2190_a	WVLDEP0068	2190_a	50746545	324501	original sample frame
HQ2190_aq	WVLDEP0070_2190_a	WVLDEP0070	2190_a	18097329	64541	original sample frame
HQ2190_aq	WVLDEP0073_2190_a	WVLDEP0073	2190_a	51205297	157187	original sample frame
HQ2190_aq	WVLDEP0075_2190_a	WVLDEP0075	2190_a	144561	35339	original sample frame
HQ2190_aq	WVLDEP0094_2190_a	WVLDEP0094	2190_a	26464433	26464433	watersurfaces_hab_v4
HQ2190_aq	WVLDEP0096_2190_a	WVLDEP0096	2190_a	6156465	410504	original sample frame
HQ2190_aq	WVLDEP0097_2190_a	WVLDEP0097	2190_a	17813681	62299	original sample frame
