scheme	sampling_unit_code	point_code	type	grts_ranking	is_centroid	grts_ranking_draw	legacy_site	x	y
37	1023857_1330_hpr	1023857_1	10	1023857	1	1023857	0	48893.6	206894.1
37	1027509_1330_hpr	1027509_1	10	1027509	1	1027509	0	62237.6	221486.1
37	1035701_1330_hpr	1035701_1	10	1035701	1	1035701	0	61309.6	220302.1
37	1045173_1330_hpr	1045173_1	10	1045173	1	1045173	0	63357.6	221486.1
37	1045617_1330_hpr	1045617_1	10	1045617	1	1045617	0	53181.6	211118.1
37	1053365_1330_hpr	1053365_1	10	1053365	1	1053365	0	63005.6	220302.1
37	1076661_1330_hpr	1076661_1	10	1076661	1	1076661	0	61789.6	221902.1
37	1101237_1330_hpr	1101237_1	10	1101237	1	1101237	0	61565.6	219630.1
37	1101245_1330_hpr	1101245_1	10	1101245	1	1101245	0	139421.6	220174.1
37	1117877_1330_hpr	1117877_1	10	1117877	1	1117877	0	68669.6	220718.1
37	1166089_1330_hpr	1166089_1	10	1166089	1	1166089	0	107485.6	216526.1
37	1176689_1330_hpr	1176689_1	10	1176689	1	1176689	0	53213.6	210798.1
37	1184437_1330_hpr	1184437_1	10	1184437	1	1184437	0	63037.6	219694.1
37	1192629_1330_hpr	1192629_1	10	1192629	1	1192629	0	63485.6	221742.1
37	1195701_1330_hpr	1195701_1	10	1195701	1	1195701	0	69661.6	221422.1
37	1198857_1330_hpr	1198857_1	10	1198857	1	1198857	0	106653.6	216142.1
37	12145_1330_hpr	12145_1	10	12145	1	12145	0	50461.6	209230.1
37	1225841_1330_hpr	1225841_1	10	1225841	1	1225841	0	54429.6	210830.1
37	1241781_1330_hpr	1241781_1	10	1241781	1	1241781	0	63805.6	221070.1
37	1242225_1330_hpr	1242225_1	10	1242225	1	1242225	0	53725.6	210990.1
37	1249973_1330_hpr	1249973_1	10	1249973	1	1249973	0	63805.6	220302.1
37	1261237_1330_hpr	1261237_1	10	1261237	1	1261237	0	69213.6	221070.1
37	1265333_1330_hpr	1265333_1	10	1265333	1	1265333	0	68957.6	222254.1
37	1266741_1330_hpr	1266741_1	10	1266741	1	1266741	0	72061.6	220622.1
37	1269937_1330_hpr	1269937_1	10	1269937	1	1269937	0	25341.6	196270.1
37	128113_1330_hpr	128113_1	10	128113	1	128113	0	53117.6	210894.1
37	1281461_1330_hpr	1281461_1	10	1281461	1	1281461	0	62813.6	220526.1
37	1289653_1330_hpr	1289653_1	10	1289653	1	1289653	0	62173.6	221646.1
37	1291377_1330_hpr	1291377_1	10	1291377	1	1291377	0	53821.6	210574.1
37	1310773_1330_hpr	1310773_1	10	1310773	1	1310773	0	78461.6	225806.1
37	1315509_1330_hpr	1315509_1	10	1315509	1	1315509	0	63421.6	220494.1
37	1322865_1330_hpr	1322865_1	10	1322865	1	1322865	0	50461.6	209102.1
37	1335297_1330_hpr	1335297_1	10	1335297	1	1335297	0	61469.6	215342.1
