code_watersurfaces	db_ref	type_observed	measurement_biotic	measurement_abiotic	measurement_biotic_year	measurement_abiotic_year
ANTANT0297	AN_BPE_001	3140	1	1	2020	2015
ANTANT0297	AN_BPE_001	3150	1	1	2020	2015
ANTANT0383	AN_HOP_001	3150	1	1	2020	2016
ANTARE0025	AN_RAV_002	3130_aom	1	1	2017	2017
ANTARE0200	AN_ARE_001	3130_aom	1	1	2018	2015
ANTARE0200	AN_ARE_001	3130_na	1	1	2018	2015
ANTBAA0036	AN_MOE_001	3130_aom	1	1	2017	2016
ANTBAA0036	AN_MOE_001	3140	1	1	2017	2016
ANTBAA0044	AN_VVM_005	3130_na	1	1	2019	2017
ANTBAL0373	AN_BAV_001	3150	1	1	2019	2017
ANTBAL0505	AN_BAV_002	3150	1	1	2019	2017
ANTBAL0592	AN_BAS_002	3150	1	1	2020	2017
ANTBAL0595	AN_BAS_001	3150	1	1	2020	2017
ANTBAL0711	AN_MOS_001	gh	1	1	2016	2014
ANTBCT0028	AN_GSV_007	3160	1	1	2019	2016
ANTBCT0231	AN_GSV_006	3160	1	1	2017	2016
ANTBCT0252	AN_GSV_004	3140	1	1	2017	2015
ANTBCT0252	AN_GSV_004	3150	1	1	2017	2015
ANTBCT0404	AN_GSV_002	3130_na	1	1	2016	2015
ANTBCT0458	AN_GSV_003	3130_aom	1	1	2017	2015
ANTBCT0528	AN_KOO_002	gh	1	1	2018	2015
ANTBCT0544	AN_RVS_002	3130_na	1	1	2016	2015
ANTBCT0572	AN_KOO_001	3130_na	0	1	NA	2014
ANTBRM0421	AN_KRA_001	gh	1	1	2020	2014
ANTBRS0068	AN_E10_001	3130_aom	1	1	2018	2014
ANTBRS0068	AN_E10_001	3130_na	1	1	2018	2014
ANTBRS0068	AN_E10_001	3140	1	1	2018	2014
ANTBRS0178	AN_FOR_001	3130_aom	1	1	2019	2018
ANTBSE0061	AN_BLA_004	3130_aom	0	1	NA	2015
ANTBSE0061	AN_BLA_004	3130_na	0	1	NA	2015
ANTBSE0061	AN_BLA_004	3140	0	1	NA	2015
ANTBSE0165	AN_GKH_001	3130_na	1	1	2018	2015
ANTBSE0215	AN_BLA_002	3130_aom	1	1	2019	2015
ANTBSE0215	AN_BLA_002	3130_na	1	1	2019	2015
ANTBSE0227	AN_BEE_002	3130_aom	1	1	2015	2015
ANTBSE0314	AN_BEE_001	3130_aom	1	1	2015	2014
ANTBSE0314	AN_BEE_001	3130_na	1	1	2015	2014
ANTBSE0334	AN_BLA_001	3130_aom	1	1	2017	2014
ANTBSE0334	AN_BLA_001	3130_na	1	1	2017	2014
ANTBSE0335	AN_GKH_002	gh	1	1	2016	2015
ANTBSE0336	AN_HUF_001	3130_na	1	1	2019	2014
ANTBSE0338	AN_BLA_003	3130_aom	1	1	2019	2015
ANTBSE0338	AN_BLA_003	3130_na	1	1	2019	2015
ANTDES0075	AN_DES_003	3150	1	1	2015	2014
ANTESS0009	AN_DEB_001	3130_aom	1	1	2018	2017
ANTESS0062	AN_NOL_002	3130_aom	0	1	NA	2017
ANTESS0062	AN_NOL_002	3160	0	1	NA	2017
ANTGEE0046	AN_ZAM_003	3150	1	1	2017	2017
ANTGEE0069	AN_ZAM_002	3150	0	1	NA	2017
ANTGEE0105	AN_ZEG_001	3150	1	1	2015	2014
ANTGEE0107	AN_ZEG_002	3130_aom	1	1	2017	2017
ANTGEE0107	AN_ZEG_002	3130_na	1	1	2017	2017
ANTGEE0107	AN_ZEG_002	3150	1	1	2017	2017
ANTGEE0126	AN_ZEG_004	3130_aom	1	1	2017	2017
ANTGEE0126	AN_ZEG_004	3150	1	1	2017	2017
ANTGEE0193	AN_ZEG_003	3150	1	1	2017	2017
ANTGEE0305	AN_SEL_002	3150	1	1	2017	2016
ANTGEE0889	AN_ZAM_001	3150	1	1	2015	2015
ANTHGS0196	AN_VVM_004	3130_aom	1	1	2018	2016
ANTHGS0196	AN_VVM_004	3160	1	1	2018	2016
ANTHGS0622	AN_VVM_003	3130_aom	1	1	2018	2016
ANTHST0141	AN_LAN_003	gh	1	1	2015	2015
ANTHST0346	AN_LAN_007	3130_aom	1	1	2015	2015
ANTHST0458	AN_LAN_002	gh	1	1	2015	2014
ANTHST0460	AN_LAN_004	3130_aom	1	1	2014	2014
ANTHST0508	AN_LAN_005	3130_aom	1	1	2015	2014
ANTHST0665	AN_LAN_009	3130_aom	1	1	2015	2015
ANTHST0665	AN_LAN_009	3140	1	1	2015	2015
ANTHTS0097	AN_ENK_001	3130_aom	1	1	2018	2017
ANTHTS0097	AN_ENK_001	3160	1	1	2018	2017
ANTHTS0151	AN_SNE_003	3130_aom	1	1	2016	2015
ANTHTS0151	AN_SNE_003	3160	1	1	2016	2015
ANTHUL0132	AN_HGA_001	3130_aom	1	1	2014	2014
ANTHUL0219	AN_HGA_003	gh	1	1	2014	2014
ANTHUL0276	AN_HGA_002	gh	1	1	2014	2014
ANTKAL0004	AN_KAL_003	3160	1	1	2016	2015
ANTKAL0247	AN_KSV_004	3160	1	1	2017	2017
ANTKAL0269	AN_KSV_005	3160	1	1	2017	2017
ANTKAL0288	AN_NOL_003	3160	1	1	2019	2018
ANTKAL0330	AN_KAL_002	3160	1	1	2016	2015
ANTKAL0383	AN_NOL_001	3160	1	1	2016	2015
