point_code	assessment_date	type_observed	completed	type_cover_circle	type_cover_square	distance	sampling_unit_code
1287030_1	2019-08-13	2330_bu	FALSE	100% 2330_bu + 100% 6 : (half) natuurlijke graslanden	2330_bu	0	1287030_2330_bu
128786_1	2018-07-18	4030	TRUE	100% 4030	4030	0.1	128786_4030
129234_1	2014-09-11	4010	TRUE	100% 4010	4010	0.1	129234_4010
1297718_1	2018-09-17	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1297718_2330_bu
13_1	2018-09-18	2170	TRUE	84% 2130 + 16% 2170	100% 2170	0	1240881_2170
1300962_2	2018-06-20	6510_hu	TRUE	100% 6510_hu	6510_hu	70	1300962_6510_hu
1303926_1	2017-07-14	2330_bu	TRUE	100% 2330_bu	2330_bu	NA	1303926_2330_bu
1313142_1	2017-07-27	2330_bu	TRUE	100% 2330_bu	2330_bu	NA	1313142_2330_bu
131806_1	2016-10-20	4010	TRUE	100% 4010	4010	0.1	131806_4010
1322614_1	2018-07-05	7140_meso	TRUE	100% 7140_meso	100% 7140_meso	0.3	1322614_7140_meso
1328054_1	2017-08-22	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1328054_2330_bu
1328710_2	2018-06-06	6510_hu	TRUE	100% 6510_hu	6510_hu	50.1	1328710_6510_hu
1338805_2	2018-06-28	1330_da	TRUE	NA% rbbah + NA% rbbkam + 48% 1330_hpr	100% 1330_da	4.9	1338805_1330_hpr
1340342_1	2018-09-11	2310	TRUE	100% 2310	2310	0.1	1340342_2330_bu
134098_1	2014-09-09	2310	TRUE	100% 2310	2310	0	134098_2310
13426066_1	2019-07-03	6120	TRUE	100% 6120	100% 6120	0.1	13426066_6120
1344438_1	2017-07-28	2330_bu	TRUE	23% 2330_bu + 77% 4030	4030	NA	1344438_2330_bu
1346134_2	2016-08-24	6410_ve	TRUE	100% 6410_ve	100% 6410_ve	78.8	1346134_6410_ve
1348277_1	2017-09-29	1330_hpr	TRUE	71% 1330_hpr + 29% gh	100% 1330_hpr	0.7	1348277_1330_hpr
1350866_1	2018-07-31	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1350866_2330_bu
1355014_1	2018-06-06	6510_hu	TRUE	100% 6510_hu	6510_hu	0	1355014_6510_hu
1359838_1	2018-06-27	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	0	1359838_6230_hn
136402_1	2014-09-16	4030	TRUE	100% 4030	4030	0	136402_4030
136697_1	2015-05-06	91E0_vc	TRUE	100% 91E0_vc	NA	0	136697_91E0_vc
1367026_2	2017-06-30	7140_oli	TRUE	50% 7140_oli + 50% 4010	100% 7140_oli	41.2	1367026_7140_oli
13686_1	2015-09-10	4030	TRUE	100% 4030	4030	0	13686_4030
13732946_1	2019-07-03	6120	TRUE	70% gh + 30% 6120	100% 6120	0.1	13732946_6120
1375542_1	2018-05-29	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1375542_6510_hu
1380278_1	2018-07-31	2310	TRUE	100% 2310	2310	0.1	1380278_2330_bu
1381302_1	2018-08-20	2310	TRUE	100% 2310	2310	0	1381302_2330_bu
1381569_1	2018-06-06	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1381569_6510_hu
1381569_2	2018-06-12	6230_hmo	TRUE	22% 6230_hmo + 78% gh	100% 6230_hmo	1.8	1381569_6230_hmo
1388150_1	2015-06-29	7140_meso	TRUE	100% 7140_meso	100% 7140_meso	0.3	1388150_7140_meso
1390706_2	2020-05-28	6510_hu	TRUE	100% 6510_hu	6510_hu	94.5	1390706_6510_hu
1392705_2	2018-06-12	6230_hmo	TRUE	36% 6230_hmo + 64% gh	100% 6230_hmo	50.3	1392705_6230_hmo
1395766_1	2019-05-27	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	0	1395766_6230_hn
1397810_1	2018-06-07	6510_hu	TRUE	100% 6510	6510	0	1397810_6510_hu
14_2	2019-10-24	2120	TRUE	46% 2130 + 22% 2120 + 32% 2160	100% 2120	11.7	10010417_2120
140006_1	2015-06-11	9190	TRUE	100% 9190	NA	0.1	140006_91E0_vo
1402230_2	2017-07-26	2330_bu	TRUE	100% 2330_bu	2330_bu	4.1	1402230_2330_bu
14029138_1	2015-06-04	6120	TRUE	10% rbbsp + 3% 6510 + 87% 6120	100% 6120	0.1	14029138_6120
1403657_2	2017-09-29	1330_hpr	TRUE	61% gh + 39% 1330_hpr	100% 1330_hpr	10.7	1403657_1330_hpr
1404382_1	2017-06-30	7140_oli	TRUE	75% 7140_oli + 25% gh	100% 7140_oli	0.4	1404382_7140_oli
1405382_1	2018-06-05	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1405382_6510_hu
1405878_1	2018-08-16	2330_bu	TRUE	100% 2330	2330	0	1405878_2330_bu
1407698_1	2017-08-03	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1407698_2330_bu
1409089_2	2018-06-12	6230_hmo	TRUE	NA% 91E0_meso + NA% 4010 + 38% 6230_hmo + NA% 9120	100% 6230_hmo	8.8	1409089_6230_hmo
141010_1	2016-08-18	6230_ha	TRUE	50% 6230_ha + 50% gh	100% 6230_ha	0.2	141010_6230_ha
1414354_2	2018-07-12	6230_hn	TRUE	22% 6230_hn + 78% gh	100% 6230_hn	10	1414354_6230_hn
141778_1	2018-08-02	4010	TRUE	100% 4010	4010	0	141778_4010
1422046_1	2017-09-05	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1422046_2330_bu
1425286_1	2019-07-08	6410_ve	TRUE	100% 6410	100% 6410	0	1425286_6410_ve
1428270_1	2017-06-26	6230_hn	TRUE	47% 6230_hn + 53% gh	100% 6230_hn	0	1428270_6230_hn
143382_1	2016-05-30	6510_hu	TRUE	92% 6510_hu + 8% gh	6510_hu	0.1	143382_6510_hu
143602_2	2016-07-01	6410_ve	TRUE	30% 6410 + 30% 6510_hu + 40% gh	100% 6410	112	143602_6410_ve
1436718_2	2016-06-20	6230_hmo	TRUE	75% 6230_hmo + 25% gh	100% 6230_hmo	10.2	1436718_6230_hmo
1436882_2	2016-09-02	6230_hmo	TRUE	10% 6230_hn + 70% 4030 + 20% 6230_hmo	10% 6230_hn + 40% 4030 + 50% 6230_hmo	29.8	1436882_6230_hmo
144094_1	2014-09-03	2310	TRUE	100% 2310	2310	0.6	144094_2310
1442745_2	2019-06-18	6510_hu	TRUE	100% 6510_hu	6510_hu	1.6	1442745_6510_hu
1443378_2	2017-07-27	6230_hn	TRUE	53% 6230_hn + 46% gh	100% 6230_hn	30	1443378_6230_hn
1454814_1	2017-09-06	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1454814_2330_bu
1457206_1	2019-05-24	6230_ha	TRUE	70% 6230_ha + 30% 4030	100% 6230_ha	0.1	1457206_6230_ha
1461001_2	2018-06-14	1330_hpr	TRUE	NA% rbbkam + NA% rbbzil + NA% 6430_mr + 50% 1330_hpr	100% 1330_hpr	58.8	1461001_1330_hpr
1461302_1	2019-05-27	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.2	1461302_6230_ha
146265_2	2015-04-27	91E0_vc	TRUE	89% 91E0_vc + 11% geen habitat 	NA	30.5	146265_91E0_vc
1464626_1	2019-07-02	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.1	1464626_6230_ha
1468114_1	2017-07-10	7140_oli	TRUE	70% 7140_oli + 30% 4010	70% 7140_oli + 30% 4010	0.1	1468114_7140_oli
1470918_1	2018-06-05	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1470918_6510_hu
1471094_1	2018-07-23	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1471094_2330_bu
147174_1	2015-06-10	9190	TRUE	100% 9190	NA	0	147174_91E0_vo
1474033_2	2018-06-14	6510_hus	TRUE	100% 6510_hus	6510_hus	10	1474033_6510_hus
1474526_1	2016-08-04	6230_hmo	TRUE	10% 6230_hmo + 90% gh	100% 6230_hmo	0	1474526_6230_hmo
1478129_2	2018-05-23	6510_hua	TRUE	100% 6510_hua	6510_hua	30	1478129_6510_hua
1479890_1	2018-08-02	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1479890_2330_bu
148406_1	2017-08-24	4030	TRUE	100% 4030	4030	0.1	148406_4030
1487746_2	2014-06-03	6510_huk	TRUE	59% 6510_huk + 41% gh	6510_huk	5.1	1487746_6510_huk
1487798_1	2018-07-25	2310	TRUE	100% 2310	2310	0	1487798_2330_bu
1498102_2	2018-06-06	7140_meso	TRUE	NA% rbbms + NA% gh + 36% 7140_meso	100% 7140_meso	32.4	1498102_7140_meso
1498805_2	2019-01-01	NA	NA	NA	NA	6.6	1498805_1330_hpr
1500498_1	2018-06-18	6510_huk	TRUE	100% 6510_huk	6510_huk	0.1	1500498_6510_huk
1500534_1	2017-07-26	2330_bu	TRUE	100% 2330_bu	2330_bu	0.2	1500534_2330_bu
1501490_1	2017-06-29	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1501490_2330_bu
1504306_1	2018-06-07	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1504306_6510_hu
15070_1	2015-06-26	4010	TRUE	100% 4010	4010	0.1	15070_4010
1508278_1	2019-07-10	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	0.1	1508278_6230_hn
1512322_1	2019-06-19	6510_hu	TRUE	70% 6510_hu + 30% 9 : bossen	6510	0.1	1512322_6510_hu
1512374_1	2018-08-13	4030	TRUE	100% 4030	4030	0.1	1512374_2330_bu
151250_1	2014-09-08	2310	TRUE	100% 2310	2310	0.1	151250_2310
1512530_2	2018-06-19	6510_hu	TRUE	100% 6510_hu	6510_hu	70.1	1512530_6510_hu
1512886_2	2018-05-30	7140_meso	TRUE	64% gh + 10% rbbhc + 26% 7140_meso	100% 7140_meso	20	1512886_7140_meso
151318_1	2018-06-11	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	151318_6510_hu
152786_1	2014-09-19	2310	TRUE	70% 2310 + 30% 2330_bu	2310	0	152786_2310
1529025_1	2018-06-07	6510_hu	TRUE	100% 6510_hu	6510_hu	0	1529025_6510_hu
1531602_1	2019-07-04	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.1	1531602_6230_ha
1533266_1	2018-06-18	6510_hu	TRUE	100% 6510_hu + 35% gh	6510_hu	0.5	1533266_6510_hu
1535001_2	2020-05-26	6510_hu	TRUE	100% 6510_hu	6510_hu	8.1	1535001_6510_hu
1536630_1	2018-07-20	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1536630_2330_bu
1536950_1	2018-08-23	4030	TRUE	100% 4030	4030	0.1	1536950_2330_bu
1542626_1	2018-06-20	6510_hu	TRUE	100% 6510_hu	6510_hus	0.1	1542626_6510_hu
1547090_1	2017-07-13	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1547090_2330_bu
1547265_1	2018-06-29	1330_hpr	TRUE	23% rbbzil + 77% 1330_hpr	100% 1330_hpr	0.1	1547265_1330_hpr
1547570_1	2018-06-11	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1547570_6510_hu
154834_1	2018-08-01	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	154834_2330_bu
1549622_1	2018-05-29	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1549622_6510_hu
155346_1	2015-06-04	91E0_vo	TRUE	100% 91E0_vo	NA	0.1	155346_91E0_vo
1558738_1	2018-07-24	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1558738_2330_bu
156382_1	2017-09-05	2310	TRUE	100% 2310	2310	0	156382_2310
1566033_2	2016-09-05	6230_hmo	TRUE	100% 6230_hmo	100% 6230_hmo	38.9	1566033_6230_hmo
1566070_1	2017-07-26	2330_bu	TRUE	100% 2330_bu	2330_bu	NA	1566070_2330_bu
1566166_1	2017-10-17	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1566166_2330_bu
1569666_2	2014-05-23	6510_huk	TRUE	65% 6510_huk + 35% gh	6510_huk	5.1	1569666_6510_huk
1576886_2	2017-07-31	7140_oli	TRUE	100% 7140_oli	100% 7140_oli	20.7	1576886_7140_oli
15782_1	2015-05-07	91E0_vc	TRUE	100% 91E0_vc	NA	0.1	15782_91E0_vc
158002_1	2017-06-30	2310	TRUE	100% 2310	2310	0.1	158002_2310
1583446_1	2016-07-19	6410_mo	TRUE	30% 9120 + 70% 6410_mo	100% 6410_mo	0.4	1583446_6410_mo
1590198_2	2017-07-28	4030	TRUE	100% 4030	4030	110	1590198_2330_bu
159314_1	2017-07-25	4030	TRUE	100% 4030	4030	0.1	159314_4030
1593478_2	2019-07-08	6230_ha	TRUE	90% 6230_ha + 10% gh	100% 6230_ha	30.1	1593478_6230_ha
1594037_1	2019-01-01	NA	NA	NA	NA	0	1594037_1330_hpr
159414_1	2015-06-18	91E0_vo	TRUE	17% 9120 + 83% 91E0_vo	NA	0.1	159414_91E0_vo
