scheme	sampling_unit_code	point_code	date	is_valid	is_valid_type	is_valid_refpoint
HQ1330	1023857_1330_hpr	1023857_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1027509_1330_hpr	1027509_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1035701_1330_hpr	1035701_1	2015-01-01	FALSE	NA	FALSE
HQ1330	1045173_1330_hpr	1045173_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1045617_1330_hpr	1045617_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1053365_1330_hpr	1053365_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1076661_1330_hpr	1076661_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1101237_1330_hpr	1101237_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1101245_1330_hpr	1101245_1	2017-01-01	FALSE	NA	FALSE
HQ1330	1117877_1330_hpr	1117877_1	2015-08-20	TRUE	TRUE	TRUE
HQ1330	1166089_1330_hpr	1166089_1	2017-01-01	FALSE	FALSE	NA
HQ1330	1176689_1330_hpr	1176689_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1184437_1330_hpr	1184437_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1192629_1330_hpr	1192629_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1195701_1330_hpr	1195701_1	2015-08-13	FALSE	FALSE	TRUE
HQ1330	1198857_1330_hpr	1198857_1	2017-01-01	FALSE	FALSE	NA
HQ1330	12145_1330_hpr	12145_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1225841_1330_hpr	1225841_1	2017-01-01	FALSE	FALSE	NA
HQ1330	1241781_1330_hpr	1241781_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1242225_1330_hpr	1242225_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1249973_1330_hpr	1249973_1	2015-01-01	FALSE	FALSE	NA
HQ1330	1261237_1330_hpr	1261237_1	2017-01-01	FALSE	FALSE	NA
HQ1330	1265333_1330_hpr	1265333_1	2018-01-01	FALSE	FALSE	NA
HQ1330	1266741_1330_hpr	1266741_1	2017-01-01	FALSE	FALSE	NA
HQ1330	1269937_1330_hpr	1269937_1	2017-01-01	FALSE	FALSE	NA
HQ1330	128113_1330_hpr	128113_1	2015-01-01	FALSE	FALSE	NA
