scheme	sampling_unit_code	phab	certain	description_orig
HQ1330	1023857_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1027509_1330_hpr	15	TRUE	80% gh; 15% 1330_hpr; 5% 1310_pol
HQ1330	1035701_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1045173_1330_hpr	20	TRUE	80% gh; 20% 1330_hpr
HQ1330	1045617_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1053365_1330_hpr	30	TRUE	70% rbbkam; 30% 1330_hpr
HQ1330	1076661_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1101237_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1101245_1330_hpr	100	TRUE	100% 1330_hpr
HQ1330	1117877_1330_hpr	100	TRUE	100% 1330_hpr
HQ1330	1166089_1330_hpr	30	TRUE	60% gh; 30% 1330_hpr; 5% 1310_pol; 5% rbbah
HQ1330	1176689_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1184437_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1192629_1330_hpr	30	TRUE	70% rbbkam; 30% 1330_hpr
HQ1330	1195701_1330_hpr	20	TRUE	40% 1310_pol; 20% 1330_hpr; 40% rbbah
HQ1330	1198857_1330_hpr	20	TRUE	60% gh; 20% 1330_hpr; 20% rbbzil
HQ1330	12145_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1225841_1330_hpr	20	TRUE	60% gh; 20% rbbmr; 20% 1330_hpr
HQ1330	1241781_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1242225_1330_hpr	20	TRUE	70% gh; 20% 1330_hpr; 10% rbbah
HQ1330	1249973_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1261237_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr; 0% gh_ae
HQ1330	1265333_1330_hpr	30	TRUE	40% 1310_pol; 30% 1330_hpr; 30% gh
HQ1330	1266741_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr; 0% gh_ae
HQ1330	1269937_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	128113_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1281461_1330_hpr	20	TRUE	80% gh; 20% 1330_hpr
HQ1330	1289653_1330_hpr	15	TRUE	80% gh; 15% 1330_hpr; 5% 1310_pol
HQ1330	1291377_1330_hpr	30	TRUE	70% gh; 30% 1330_hpr
HQ1330	1310773_1330_hpr	20	TRUE	70% gh; 20% 1330_hpr; 10% 1310_pol; 0% gh_ae
HQ1330	1315509_1330_hpr	20	TRUE	60% gh; 20% 1330_hpr; 20% rbbah; 0% rbbmr
HQ1330	1322865_1330_hpr	20	TRUE	80% gh; 20% 1330_hpr
