point_code	type_target	is_type_target	type_observed	assessment_date	assessment_source	x	y	inaccessible	fieldwork_team
1_1	2130_hd	NA	NA	2019-01-01	field assessment	55165.6	218574.1	NA	inbo
1_1	2160	NA	NA	2019-01-01	field assessment	55165.6	218574.1	NA	inbo
10_1	2130_hd	NA	NA	NA	NA	32541.6	203726.1	NA	inbo
100_1	2170	TRUE	2170	2018-09-20	field assessment	32541.6	203342.1	NA	inbo
1000374_1	2330_bu	FALSE	4010	2017-08-28	field assessment	215901.6	200430.1	NA	anb
10003794_1	6120	FALSE	NA	2015-01-01	field assessment	247229.6	187726.1	NA	inbo
100050_1	4010	TRUE	4010	2014-09-01	field assessment	224989.647	188910.054	NA	anb
1002329_1	91E0_vc	NA	NA	NA	NA	114301.6	178286.1	NA	anb
100297_1	6510_hu	FALSE	NA	2016-06-07	field assessment	93981.6	194670.1	NA	anb
100297_2	6510_hu	TRUE	6510_hu	2016-06-07	field assessment	93983.573	194600.56	NA	anb
1003230_1	2330_bu	TRUE	2330_bu	2016-09-15	field assessment	155389.62	230350.078	NA	anb
1003346_1	91E0_vc	NA	NA	NA	NA	237917.6	200366.1	NA	anb
10034374_1	91E0_va	NA	NA	NA	NA	164942.2	178679.8	NA	anb
1004470_1	7140_meso	TRUE	7140_meso	2015-08-18	field assessment	216413.59	198222.11	NA	inbo
1004534_1	2330_bu	FALSE	NA	2016-01-01	orthophoto	185885.6	210798.1	NA	anb
100465_1	2130_had	NA	NA	NA	NA	54240.3	216383.4	NA	inbo
10048689_1	2190	NA	NA	NA	NA	22717.6	198702.1	NA	inbo
100626_1	4030	FALSE	NA	2017-07-07	field assessment	223005.6	217006.1	NA	anb
100626_2	4030	TRUE	4030	2017-07-07	field assessment	222951.106	217157.044	NA	anb
1007193_1	91E0_vc	NA	NA	NA	NA	108189.6	184238.1	NA	anb
1007490_1	6510_huk	FALSE	NA	2014-06-05	field assessment	256381.6	157678.1	NA	anb
1007490_2	6510_huk	TRUE	6510_huk	2014-06-05	field assessment	256383.297	157682.913	NA	anb
10096978_1	6120	FALSE	NA	2018-01-01	field assessment	247613.6	187982.1	NA	inbo
10098609_1	2170	NA	NA	NA	NA	30301.6	202030.1	NA	inbo
1010002_1	6120	NA	NA	NA	NA	248669.6	191278.1	NA	inbo
10104369_1	2170	NA	NA	NA	NA	30045.6	202414.1	NA	inbo
101169_1	2130_hd	NA	NA	NA	NA	35901.6	206350.1	NA	inbo
1012342_1	2330_bu	FALSE	NA	2018-07-19	field assessment	218589.614	204046.188	NA	anb
10123622_1	6410_mo	FALSE	NA	2019-01-01	field assessment	197309.6	167438.1	NA	inbo
1012662_1	2330_bu	FALSE	4030	2018-08-22	field assessment	217021.517	199982.133	NA	anb
1013294_1	7140_meso	FALSE	NA	2016-09-20	field assessment	202141.6	224174.1	NA	inbo
1013294_2	7140_meso	TRUE	7140_meso	2016-09-20	field assessment	202187.98	224168.02	NA	inbo
1013318_1	91E0_vc	NA	NA	NA	NA	170781.6	168078.1	NA	anb
1015093_1	2130_hd	NA	NA	NA	NA	79037.6	227854.1	NA	inbo
10169905_1	2170	NA	NA	NA	NA	29629.6	202254.1	NA	inbo
1017817_1	91E0_vc	NA	NA	NA	NA	106909.6	162670.1	NA	anb
1018841_1	6510_hu	FALSE	NA	2020-05-26	field assessment	109373.6	167982.1	NA	anb
1018841_2	6510_hu	TRUE	6510_hu	2020-05-26	field assessment	109376.383	168022.496	NA	anb
10195282_1	6120	FALSE	NA	2018-01-01	field assessment	247933.6	189710.1	NA	inbo
10196145_1	2170	NA	NA	NA	NA	23165.6	198958.1	NA	inbo
102_1	2190	NA	NA	2018-01-01	field assessment	33437.6	203342.1	NA	inbo
1020370_1	2330_bu	FALSE	gh	2017-07-06	field assessment	230941.593	189518.16	NA	anb
102098_1	2310	TRUE	2310	2014-09-11	field assessment	224477.59	192718.125	NA	anb
1022766_1	6230_hmo	TRUE	6230_hmo	2015-06-10	field assessment	195581.59	228014.11	NA	inbo
1022766_1	6410_mo	FALSE	6230_hmo	2015-06-10	field assessment	195581.59	228014.11	NA	inbo
1023282_1	6510_hu	TRUE	6510_hu	2018-06-11	field assessment	224797.604	178254.204	NA	anb
10235441_1	2170	NA	NA	NA	NA	29949.6	202798.1	NA	inbo
1023801_1	91E0_vc	NA	NA	NA	NA	129469.6	168526.1	NA	anb
1023857_1	1330_hpr	FALSE	NA	2015-01-01	field assessment	48893.6	206894.1	NA	inbo
1023929_1	6510_hu	FALSE	NA	2018-01-01	field assessment	145373.6	160622.1	NA	anb
102453_1	2130_hd	NA	NA	NA	NA	75325.6	226734.1	NA	inbo
102453_1	2160	NA	NA	NA	NA	75325.6	226734.1	NA	inbo
10254513_1	2170	NA	NA	NA	NA	29821.6	201710.1	NA	inbo
1025657_1	91E0_vc	NA	NA	NA	NA	140477.6	174958.1	NA	anb
1026898_1	2330_bu	FALSE	9 : bossen	2017-07-10	field assessment	237245.53	195502.12	NA	anb
1027026_1	2330_bu	FALSE	2310	2017-07-28	field assessment	230461.584	195790.054	NA	anb
1027509_1	1330_hpr	FALSE	NA	2015-01-01	field assessment	62237.6	221486.1	NA	inbo
1028726_1	2330_bu	FALSE	NA	2016-01-01	orthophoto	217405.6	202350.1	NA	anb
1029702_1	91E0_vc	NA	NA	NA	NA	170493.6	168014.1	NA	anb
103_1	2170	TRUE	2170	2018-09-20	field assessment	32381.6	203118.1	NA	inbo
103030_1	4030	FALSE	NA	2016-01-01	orthophoto	216029.6	202606.1	NA	anb
10305329_1	2170	NA	NA	NA	NA	30717.6	202318.1	NA	inbo
103094_1	7140_meso	FALSE	NA	2016-09-15	field assessment	213341.6	187662.1	NA	inbo
103094_2	7140_meso	TRUE	7140_meso	2016-09-15	field assessment	213355.22	187661.12	NA	inbo
10310833_1	2190	NA	NA	NA	NA	22653.6	198926.1	NA	inbo
10317874_1	6410_mo	TRUE	6410_mo	2019-07-04	field assessment	219869.7	171981.49	NA	inbo
10327086_1	6410_ve	FALSE	NA	2015-01-01	field assessment	189789.6	218798.1	NA	inbo
10327217_1	2190	NA	NA	NA	NA	23197.6	198158.1	NA	inbo
103350_1	4010	FALSE	onbekend	2014-09-10	field assessment	214909.582	199342.122	NA	anb
1034353_1	2130_hd	NA	NA	NA	NA	54397.6	217742.1	NA	inbo
10354_1	9160	TRUE	9160	2015-05-20	field assessment	227773.578	161326.068	NA	anb
1035701_1	1330_hpr	NA	NA	2015-01-01	NA	61309.6	220302.1	long term	inbo
1036081_1	2120	NA	NA	NA	NA	34173.6	204462.1	NA	inbo
1036081_1	2160	NA	NA	NA	NA	34173.6	204462.1	NA	inbo
103609_1	91E0_vc	FALSE	NA	2015-04-27	field assessment	144189.6	155694.1	NA	anb
103609_2	91E0_vc	TRUE	91E0_vc	2015-04-27	field assessment	144191.122	155670.431	NA	anb
103634_1	4030	TRUE	4030	2018-08-03	field assessment	219549.509	196910.106	NA	anb
103634_1	6230_hn	FALSE	NA	2016-01-01	field assessment	219549.6	196910.1	NA	inbo
1036446_1	6230_hmo	FALSE	NA	2017-07-12	field assessment	170109.6	224494.1	NA	inbo
1036446_1	6230_hn	FALSE	NA	2017-07-12	field assessment	170109.6	224494.1	NA	inbo
1036446_2	6230_hmo	TRUE	6230_hmo	2017-07-12	field assessment	170109.98	224478.91	NA	inbo
1036446_2	6230_hn	FALSE	6230_hmo	2017-07-12	field assessment	170109.98	224478.91	NA	inbo
1036465_1	2180	NA	NA	NA	NA	24591.9	196528.5	NA	inbo
10366513_1	2170	NA	NA	NA	NA	30173.6	202510.1	NA	inbo
1037522_1	6230_hn	FALSE	NA	2018-07-12	field assessment	219677.6	197134.1	NA	inbo
