scheme,sampling_unit_code,point_code,grts_ranking,is_centroid,grts_ranking_draw,legacy_site,x,y,sac,db_ref,year_planned,type_target
HQ1330,1023857_1330_hpr,1023857_1,1023857,TRUE,1023857,FALSE,48893.6,206894.1,0,1023857,3,1330_hpr
HQ1330,1027509_1330_hpr,1027509_1,1027509,TRUE,1027509,FALSE,62237.6,221486.1,1,1027509,3,1330_hpr
HQ1330,1035701_1330_hpr,1035701_1,1035701,TRUE,1035701,FALSE,61309.6,220302.1,1,1035701,3,1330_hpr
HQ1330,1045173_1330_hpr,1045173_1,1045173,TRUE,1045173,FALSE,63357.6,221486.1,1,1045173,3,1330_hpr
HQ1330,1045617_1330_hpr,1045617_1,1045617,TRUE,1045617,FALSE,53181.6,211118.1,1,1045617,3,1330_hpr
HQ1330,1053365_1330_hpr,1053365_1,1053365,TRUE,1053365,FALSE,63005.6,220302.1,1,1053365,3,1330_hpr
HQ1330,1076661_1330_hpr,1076661_1,1076661,TRUE,1076661,FALSE,61789.6,221902.1,1,1076661,3,1330_hpr
HQ1330,1101237_1330_hpr,1101237_1,1101237,TRUE,1101237,FALSE,61565.6,219630.1,0,1101237,3,1330_hpr
HQ1330,1101245_1330_hpr,1101245_1,1101245,TRUE,1101245,FALSE,139421.6,220174.1,0,1101245,3,1330_hpr
HQ1330,1117877_1330_hpr,1117877_1,1117877,TRUE,1117877,FALSE,68669.6,220718.1,1,1117877,3,1330_hpr
HQ1330,1166089_1330_hpr,1166089_1,1166089,TRUE,1166089,FALSE,107485.6,216526.1,1,1166089,3,1330_hpr
HQ1330,1176689_1330_hpr,1176689_1,1176689,TRUE,1176689,FALSE,53213.6,210798.1,1,1176689,3,1330_hpr
HQ1330,1184437_1330_hpr,1184437_1,1184437,TRUE,1184437,FALSE,63037.6,219694.1,1,1184437,3,1330_hpr
HQ1330,1192629_1330_hpr,1192629_1,1192629,TRUE,1192629,FALSE,63485.6,221742.1,1,1192629,3,1330_hpr
HQ1330,1195701_1330_hpr,1195701_1,1195701,TRUE,1195701,FALSE,69661.6,221422.1,0,1195701,3,1330_hpr
HQ1330,1198857_1330_hpr,1198857_1,1198857,TRUE,1198857,FALSE,106653.6,216142.1,0,1198857,4,1330_hpr
HQ1330,12145_1330_hpr,12145_1,12145,TRUE,12145,FALSE,50461.6,209230.1,0,12145,1,1330_hpr
HQ1330,1225841_1330_hpr,1225841_1,1225841,TRUE,1225841,FALSE,54429.6,210830.1,1,1225841,3,1330_hpr
HQ1330,1241781_1330_hpr,1241781_1,1241781,TRUE,1241781,FALSE,63805.6,221070.1,1,1241781,3,1330_hpr
HQ1330,1242225_1330_hpr,1242225_1,1242225,TRUE,1242225,FALSE,53725.6,210990.1,1,1242225,3,1330_hpr
HQ1330,1249973_1330_hpr,1249973_1,1249973,TRUE,1249973,FALSE,63805.6,220302.1,1,1249973,3,1330_hpr
HQ1330,1261237_1330_hpr,1261237_1,1261237,TRUE,1261237,FALSE,69213.6,221070.1,0,1261237,4,1330_hpr
HQ1330,1265333_1330_hpr,1265333_1,1265333,TRUE,1265333,FALSE,68957.6,222254.1,0,1265333,4,1330_hpr
HQ1330,1266741_1330_hpr,1266741_1,1266741,TRUE,1266741,FALSE,72061.6,220622.1,0,1266741,4,1330_hpr
HQ1330,1269937_1330_hpr,1269937_1,1269937,TRUE,1269937,FALSE,25341.6,196270.1,1,1269937,4,1330_hpr
HQ1330,128113_1330_hpr,128113_1,128113,TRUE,128113,FALSE,53117.6,210894.1,1,128113,1,1330_hpr
HQ1330,1281461_1330_hpr,1281461_1,1281461,TRUE,1281461,FALSE,62813.6,220526.1,1,1281461,4,1330_hpr
HQ1330,1289653_1330_hpr,1289653_1,1289653,TRUE,1289653,FALSE,62173.6,221646.1,1,1289653,4,1330_hpr
HQ1330,1291377_1330_hpr,1291377_1,1291377,TRUE,1291377,FALSE,53821.6,210574.1,1,1291377,4,1330_hpr
HQ1330,1310773_1330_hpr,1310773_1,1310773,TRUE,1310773,FALSE,78461.6,225806.1,0,1310773,4,1330_hpr
HQ1330,1315509_1330_hpr,1315509_1,1315509,TRUE,1315509,FALSE,63421.6,220494.1,1,1315509,4,1330_hpr
HQ1330,1322865_1330_hpr,1322865_1,1322865,TRUE,1322865,FALSE,50461.6,209102.1,0,1322865,5,1330_hpr
HQ1330,1335297_1330_hpr,1335297_1,1335297,TRUE,1335297,FALSE,61469.6,215342.1,0,1335297,5,1330_hpr
HQ1330,1338805_1330_hpr,1338805_1,1338805,TRUE,1338805,FALSE,61661.6,221902.1,1,1338805,4,1330_hpr
HQ1330,1338805_1330_hpr,1338805_2,1338805,FALSE,1338805,FALSE,61666.02,221899.89,1,1338805,4,1330_hpr
HQ1330,1346997_1330_hpr,1346997_1,1346997,TRUE,1346997,FALSE,62941.6,219726.1,1,1346997,4,1330_hpr
HQ1330,1348277_1330_hpr,1348277_1,1348277,TRUE,1348277,FALSE,64029.6,219854.1,1,1348277,4,1330_hpr
HQ1330,1373297_1330_hpr,1373297_1,1373297,TRUE,1373297,FALSE,53309.6,210766.1,1,1373297,4,1330_hpr
HQ1330,1401857_1330_hpr,1401857_1,1401857,TRUE,1401857,FALSE,56669.6,216302.1,1,1401857,4,1330_hpr
HQ1330,1403657_1330_hpr,1403657_1,1403657,TRUE,1403657,FALSE,104541.6,215534.1,1,1403657,4,1330_hpr
HQ1330,1403657_1330_hpr,1403657_2,1403657,FALSE,1403657,FALSE,104551.74,215530.58,1,1403657,4,1330_hpr
HQ1330,1410493_1330_hpr,1410493_1,1410493,TRUE,1410493,FALSE,141437.6,222574.1,0,1410493,5,1330_hpr
HQ1330,1412533_1330_hpr,1412533_1,1412533,TRUE,1412533,FALSE,62333.6,220014.1,1,1412533,4,1330_hpr
HQ1330,1433269_1330_hpr,1433269_1,1433269,TRUE,1433269,FALSE,69469.6,220494.1,1,1433269,4,1330_hpr
HQ1330,1443841_1330_hpr,1443841_1,1443841,TRUE,1443841,FALSE,62973.6,211598.1,0,1443841,5,1330_hpr
HQ1330,1456905_1330_hpr,1456905_1,1456905,TRUE,1456905,FALSE,107453.6,216622.1,1,1456905,4,1330_hpr
HQ1330,1457153_1330_hpr,1457153_1,1457153,TRUE,1457153,FALSE,57405.6,212590.1,1,1457153,4,1330_hpr
HQ1330,1461001_1330_hpr,1461001_1,1461001,TRUE,1461001,FALSE,106685.6,216334.1,0,1461001,5,1330_hpr
HQ1330,1461001_1330_hpr,1461001_2,26626825,FALSE,1461001,FALSE,106732.09,216298.18,0,1461001,5,1330_hpr
HQ1330,1486261_1330_hpr,1486261_1,1486261,TRUE,1486261,FALSE,62301.6,220942.1,1,1486261,4,1330_hpr
HQ1330,1498805_1330_hpr,1498805_1,1498805,TRUE,1498805,FALSE,69917.6,219726.1,0,1498805,6,1330_hpr
HQ1330,1498805_1330_hpr,1498805_2,1498805,FALSE,1498805,FALSE,69912.39,219730.11,0,1498805,6,1330_hpr
HQ1330,1503925_1330_hpr,1503925_1,1503925,TRUE,1503925,FALSE,63645.6,221102.1,1,1503925,4,1330_hpr
HQ1330,1532081_1330_hpr,1532081_1,1532081,TRUE,1532081,FALSE,25213.6,196334.1,1,1532081,4,1330_hpr
HQ1330,1547265_1330_hpr,1547265_1,1547265,TRUE,1547265,FALSE,56573.6,211758.1,1,1547265,4,1330_hpr
HQ1330,1588225_1330_hpr,1588225_1,1588225,TRUE,1588225,FALSE,57213.6,212622.1,1,1588225,4,1330_hpr
HQ1330,1588917_1330_hpr,1588917_1,1588917,TRUE,1588917,FALSE,69853.6,220718.1,0,1588917,6,1330_hpr
HQ1330,1594037_1330_hpr,1594037_1,1594037,TRUE,1594037,FALSE,64317.6,219598.1,1,1594037,5,1330_hpr
HQ1330,1610421_1330_hpr,1610421_1,1610421,TRUE,1610421,FALSE,64317.6,219630.1,1,1610421,5,1330_hpr
HQ1330,1621505_1330_hpr,1621505_1,1621505,TRUE,1621505,FALSE,63037.6,211630.1,0,1621505,6,1330_hpr
HQ1330,1653761_1330_hpr,1653761_1,1653761,TRUE,1653761,FALSE,56989.6,213326.1,0,1653761,6,1330_hpr
HQ1330,1666049_1330_hpr,1666049_1,1666049,TRUE,1666049,FALSE,57117.6,212430.1,1,1666049,5,1330_hpr
HQ1330,1667357_1330_hpr,1667357_1,1667357,TRUE,1667357,FALSE,96797.6,219694.1,1,1667357,5,1330_hpr
HQ1330,1667357_1330_hpr,1667357_2,43610397,FALSE,1667357,FALSE,96887.88,219727.94,1,1667357,5,1330_hpr
HQ1330,1679217_1330_hpr,1679217_1,1679217,TRUE,1679217,FALSE,48925.6,206702.1,0,1679217,6,1330_hpr
HQ1330,168629_1330_hpr,168629_1,168629,TRUE,168629,FALSE,64989.6,220494.1,1,168629,1,1330_hpr
HQ1330,1700533_1330_hpr,1700533_1,1700533,TRUE,1700533,FALSE,63133.6,220686.1,1,1700533,5,1330_hpr
HQ1330,1715637_1330_hpr,1715637_1,1715637,TRUE,1715637,FALSE,62621.6,222542.1,1,1715637,5,1330_hpr
HQ1330,1715637_1330_hpr,1715637_2,52047285,FALSE,1715637,FALSE,62612.32,222519.61,1,1715637,5,1330_hpr
HQ1330,1741493_1330_hpr,1741493_1,1741493,TRUE,1741493,FALSE,64765.6,220334.1,1,1741493,5,1330_hpr
HQ1330,1750129_1330_hpr,1750129_1,1750129,TRUE,1750129,FALSE,54333.6,210510.1,1,1750129,5,1330_hpr
HQ1330,1750129_1330_hpr,1750129_2,60470385,FALSE,1750129,FALSE,54366.24,210520.62,1,1750129,5,1330_hpr
HQ1330,1760949_1330_hpr,1760949_1,1760949,TRUE,1760949,FALSE,69661.6,219758.1,0,1760949,7,1330_hpr
HQ1330,1778609_1330_hpr,1778609_1,1778609,TRUE,1778609,FALSE,36029.6,199694.1,0,1778609,7,1330_hpr
HQ1330,1781173_1330_hpr,1781173_1,1781173,TRUE,1781173,FALSE,62301.6,222030.1,1,1781173,5,1330_hpr
HQ1330,1785525_1330_hpr,1785525_1,1785525,TRUE,1785525,FALSE,69181.6,220878.1,1,1785525,5,1330_hpr
HQ1330,1785525_1330_hpr,1785525_2,1785525,FALSE,1785525,FALSE,69183,220871.56,1,1785525,5,1330_hpr
HQ1330,1830325_1330_hpr,1830325_1,1830325,TRUE,1830325,FALSE,60957.6,221102.1,0,1830325,7,1330_hpr
HQ1330,1830581_1330_hpr,1830581_1,1830581,TRUE,1830581,FALSE,68829.6,220622.1,1,1830581,5,1330_hpr
HQ1330,1872565_1330_hpr,1872565_1,1872565,TRUE,1872565,FALSE,64125.6,219982.1,1,1872565,5,1330_hpr
HQ1330,1879477_1330_hpr,1879477_1,1879477,TRUE,1879477,FALSE,62749.6,221262.1,1,1879477,5,1330_hpr
HQ1330,1896305_1330_hpr,1896305_1,1896305,TRUE,1896305,FALSE,50237.6,209838.1,0,1896305,7,1330_hpr
HQ1330,1928193_1330_hpr,1928193_1,1928193,TRUE,1928193,FALSE,56893.6,212078.1,1,1928193,5,1330_hpr
HQ1330,193205_1330_hpr,193205_1,193205,TRUE,193205,FALSE,63869.6,220974.1,1,193205,1,1330_hpr
HQ1330,193649_1330_hpr,193649_1,193649,TRUE,193649,FALSE,53757.6,211086.1,1,193649,1,1330_hpr
HQ1330,1936821_1330_hpr,1936821_1,1936821,TRUE,1936821,FALSE,62397.6,219694.1,1,1936821,5,1330_hpr
HQ1330,1936821_1330_hpr,1936821_2,1936821,FALSE,1936821,FALSE,62396.79,219689.51,1,1936821,5,1330_hpr
HQ1330,1943625_1330_hpr,1943625_1,1943625,TRUE,1943625,FALSE,102045.6,217454.1,1,1943625,5,1330_hpr
HQ1330,1945013_1330_hpr,1945013_1,1945013,TRUE,1945013,FALSE,62557.6,220910.1,1,1945013,5,1330_hpr
HQ1330,1946625_1330_hpr,1946625_1,1946625,TRUE,1946625,FALSE,57117.6,215566.1,1,1946625,5,1330_hpr
HQ1330,1962677_1330_hpr,1962677_1,1962677,TRUE,1962677,FALSE,63293.6,220686.1,1,1962677,5,1330_hpr
HQ1330,1977781_1330_hpr,1977781_1,1977781,TRUE,1977781,FALSE,62557.6,222414.1,1,1977781,6,1330_hpr
HQ1330,2018741_1330_hpr,2018741_1,2018741,TRUE,2018741,FALSE,61565.6,220238.1,1,2018741,6,1330_hpr
HQ1330,2018749_1330_hpr,2018749_1,2018749,TRUE,2018749,FALSE,139677.6,220078.1,0,2018749,7,1330_hpr
HQ1330,2024561_1330_hpr,2024561_1,2024561,TRUE,2024561,FALSE,51901.6,210766.1,1,2024561,6,1330_hpr
HQ1330,2028657_1330_hpr,2028657_1,2028657,TRUE,2028657,FALSE,53373.6,211022.1,1,2028657,6,1330_hpr
HQ1330,2036405_1330_hpr,2036405_1,2036405,TRUE,2036405,FALSE,63997.6,220526.1,1,2036405,6,1330_hpr
HQ1330,2101941_1330_hpr,2101941_1,2101941,TRUE,2101941,FALSE,63069.6,220174.1,1,2101941,6,1330_hpr
HQ1330,2109297_1330_hpr,2109297_1,2109297,TRUE,2109297,FALSE,50493.6,209262.1,0,2109297,8,1330_hpr
HQ1330,2113205_1330_hpr,2113205_1,2113205,TRUE,2113205,FALSE,69821.6,221038.1,0,2113205,8,1330_hpr
HQ1330,212661_1330_hpr,212661_1,212661,TRUE,212661,FALSE,69373.6,220910.1,1,212661,1,1330_hpr
HQ1330,212661_1330_hpr,212661_2,212661,FALSE,212661,FALSE,69383.71,220909.82,1,212661,1,1330_hpr
HQ1330,2133429_1330_hpr,2133429_1,2133429,TRUE,2133429,FALSE,62941.6,219950.1,1,2133429,6,1330_hpr
HQ1330,2134709_1330_hpr,2134709_1,2134709,TRUE,2134709,FALSE,64477.6,219886.1,1,2134709,6,1330_hpr
HQ1330,2143233_1330_hpr,2143233_1,2143233,TRUE,2143233,FALSE,57821.6,215918.1,1,2143233,6,1330_hpr
HQ1330,2143233_1330_hpr,2143233_2,2143233,FALSE,2143233,FALSE,57826.19,215918.28,1,2143233,6,1330_hpr
HQ1330,2143345_1330_hpr,2143345_1,2143345,TRUE,2143345,FALSE,54589.6,210958.1,1,2143345,6,1330_hpr
HQ1330,2239241_1330_hpr,2239241_1,2239241,TRUE,2239241,FALSE,104701.6,215438.1,1,2239241,6,1330_hpr
HQ1330,2265781_1330_hpr,2265781_1,2265781,TRUE,2265781,FALSE,64893.6,220398.1,1,2265781,6,1330_hpr
HQ1330,2272693_1330_hpr,2272693_1,2272693,TRUE,2272693,FALSE,62237.6,220814.1,1,2272693,6,1330_hpr
HQ1330,2274305_1330_hpr,2274305_1,2274305,TRUE,2274305,FALSE,56861.6,216430.1,1,2274305,6,1330_hpr
HQ1330,2333697_1330_hpr,2333697_1,2333697,TRUE,2333697,FALSE,56669.6,211790.1,1,2333697,6,1330_hpr
HQ1330,2333697_1330_hpr,2333697_2,35888129,FALSE,2333697,FALSE,56695.78,211781.75,1,2333697,6,1330_hpr
HQ1330,2338229_1330_hpr,2338229_1,2338229,TRUE,2338229,FALSE,62173.6,221454.1,1,2338229,6,1330_hpr
HQ1330,2364085_1330_hpr,2364085_1,2364085,TRUE,2364085,FALSE,63357.6,220558.1,1,2364085,6,1330_hpr
HQ1330,2364085_1330_hpr,2364085_2,12849845,FALSE,2364085,FALSE,63358.53,220493.26,1,2364085,6,1330_hpr
HQ1330,2396853_1330_hpr,2396853_1,2396853,TRUE,2396853,FALSE,64125.6,219662.1,1,2396853,6,1330_hpr
HQ1330,241077_1330_hpr,241077_1,241077,TRUE,241077,FALSE,61981.6,221518.1,0,241077,1,1330_hpr
HQ1330,2416309_1330_hpr,2416309_1,2416309,TRUE,2416309,FALSE,69629.6,219886.1,0,2416309,8,1330_hpr
HQ1330,2421873_1330_hpr,2421873_1,2421873,TRUE,2421873,FALSE,53341.6,210862.1,1,2421873,6,1330_hpr
