sample_id	polygon_id	grts_ranking	x	y	main_type	type	phab	sac	year_planned	description_orig	legacy_site	certain	location_id
ZSCPQ007	562222_v2018	61453757	144113.49	222439.94	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	61453757
ZSCPQ009	553578_v2018	15857085	144006.26	220655.78	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	15857085
ZSCPQ158	562595_v2018	39166397	141888.67	225074.59	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	39166397
ZSCPQ159	562595_v2018	39166397	141894.81	225083.04	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	39166397
ZSCPQ160	562595_v2018	9806269	141904.23	225095.73	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	9806269
ZSCPQ162	562595_v2018	21340605	141922.85	225120.82	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	21340605
ZSCPQ171	562595_v2018	60350909	141486.52	225515.69	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	60350909
ZSCPQ172	553231_v2018	7102909	140943.83	226241.19	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	7102909
ZSCPQ173	553231_v2018	23880125	140949.45	226234.38	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	23880125
ZSCPQ174	552877_v2018	52978109	141142.6	226026.53	5	9	100	1	NA	100% 1130; 100% 1320	1	1	52978109
ZSCPQ175	NA	14967229	141254.53	225902.54	5	9	100	1	NA	NA	1	1	14967229
ZSCPQ176	590039_v2018	60809661	141031.32	225708.7	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	60809661
ZSCPQ177	590039_v2018	44032445	141053.63	225725.69	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	44032445
ZSCPQ178	590039_v2018	44032445	141056.27	225718.63	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	44032445
ZSCPQ179	590039_v2018	44032445	141057.05	225716.44	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	44032445
ZSCPQ180	590039_v2018	27255229	141066.67	225730.72	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	27255229
ZSCPQ181	590039_v2018	7594429	141088.6	225742.71	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	7594429
ZSCPQ182	590039_v2018	57926077	141117.37	225755	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	57926077
ZSCPQ183	590039_v2018	43278781	141168.53	225796.93	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	43278781
ZSCPQ184	553588_v2018	44921277	144011.32	223848.2	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	44921277
ZSCPQ185	553588_v2018	44921277	144010.92	223838.51	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	44921277
ZSCPQ186	553588_v2018	52261309	144009.88	223794.7	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	52261309
ZSCPQ188	553588_v2018	35451325	144003.57	223679.69	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	35451325
ZSCPQ189	553140_v2018	1864125	143936.8	224598.55	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	1864125
ZSCPQ190	553140_v2018	1864125	143941.63	224599.88	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	1864125
ZSCPQ192	553194_v2018	66192573	141613.66	228251.96	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	66192573
ZSCPQ193	562859_v2018	49415357	141605.92	228231.43	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	49415357
ZSCPQ194	553194_v2018	25298109	141610.43	228175.71	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	25298109
ZSCPQ195	562859_v2018	55444669	141574.27	228256.31	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	55444669
ZSCPQ199	553003_v2018	15860925	141621.57	228212.73	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	15860925
ZSCPQ200	562281_v2018	3343549	141571.89	228419.17	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	3343549
ZSCPQ201	553365_v2018	53675197	141551.86	228394.67	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	53675197
ZSCPQ203	562281_v2018	24052925	141390.96	228742.01	5	9	100	1	NA	100% 1130; 100% rbbmr	1	1	24052925
ZSCPQ222	553499_v2018	17782717	145039.64	220187.85	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	17782717
ZSCPQ225	NA	47536061	145288.57	220092.01	5	9	100	1	NA	NA	1	1	47536061
ZSCPQ227	NA	64509885	145545.08	219962.26	5	9	100	1	NA	NA	1	1	64509885
ZSCPQ230	552781_v2018	22828989	145750.39	219821.54	5	9	100	1	NA	100% 1130; 70% rbbmr; 30% 1330_da	1	1	22828989
ZSCPQ234	NA	28071869	145928.97	219630.99	5	9	100	1	NA	NA	1	1	28071869
ZSCPQ240	562594_v2018	53712829	146003.49	219206.03	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	53712829
ZSCPQ241	552750_v2018	3381181	146047.46	219193.98	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	3381181
ZSCPQ242	562275_v2018	12818365	146075.64	219187.63	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	12818365
ZSCPQ243	562275_v2018	29595581	146103.82	219177.05	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	29595581
ZSCPQ244	NA	235453	146179.41	219158.6	5	9	100	1	NA	NA	1	1	235453
ZSCPQ245	562594_v2018	3381181	146037.5	219175.25	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	3381181
ZSCPQ246	562594_v2018	20879293	145947.18	219046.63	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	20879293
ZSCPQ247	562594_v2018	20879293	145962.46	219044.42	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	20879293
ZSCPQ248	562275_v2018	50239421	146006.37	219032.16	5	9	100	1	NA	100% 1130; 100% 1330_da	1	1	50239421
ZSCPQ253	562594_v2018	41850813	145984.97	218993.85	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	41850813
ZSCPQ254	562594_v2018	34930217	145767.26	218408.09	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	34930217
ZSCPQ256	562594_v2018	18415145	145552.02	218182.21	5	9	100	1	NA	100% 1130; 90% rbbmr; 10% 6430_hw	1	1	18415145
