sample_id	grts_ranking	assessment_status	type_target	is_type_target	type_observed	location_change	distance_from_sample	x_orig	y_orig	x_measured	y_measured
1338805_1330_da	1338805	1	9	1	1330_da	0	4.9	61661.6	221902.1	61666	221899.9
12145_1330_hpr	12145	1	10	0	NA	NA	NA	50461.6	209230.1	NA	NA
37557_1330_hpr	37557	1	10	1	1330_hpr	1	10	64349.6	219886.1	64359.6	219885.4
81589_1330_hpr	81589	1	10	0	NA	NA	NA	69309.6	221454.1	NA	NA
128113_1330_hpr	128113	1	10	0	NA	NA	NA	53117.6	210894.1	NA	NA
168629_1330_hpr	168629	1	10	0	NA	NA	NA	64989.6	220494.1	NA	NA
193205_1330_hpr	193205	1	10	0	NA	NA	NA	63869.6	220974.1	NA	NA
193649_1330_hpr	193649	1	10	0	NA	NA	NA	53757.6	211086.1	NA	NA
212661_1330_hpr	212661	1	10	1	1330_hpr	1	10.1	69373.6	220910.1	69383.7	220909.8
241077_1330_hpr	241077	1	10	0	NA	NA	NA	61981.6	221518.1	NA	NA
242801_1330_hpr	242801	1	10	0	NA	NA	NA	53917.6	210478.1	NA	NA
258741_1330_hpr	258741	1	10	0	NA	NA	NA	63389.6	221390.1	NA	NA
266933_1330_hpr	266933	1	10	0	NA	NA	NA	63293.6	220430.1	NA	NA
299701_1330_hpr	299701	1	10	1	1330_hpr	0	0.4	64253.6	219726.1	64253.9	219725.9
304129_1330_hpr	304129	1	10	0	NA	NA	NA	56829.6	215214.1	NA	NA
311349_1330_hpr	311349	1	10	0	NA	NA	NA	78333.6	225742.1	NA	NA
324721_1330_hpr	324721	1	10	0	NA	NA	NA	53501.6	210894.1	NA	NA
331445_1330_hpr	331445	1	10	0	1310_pol	1	20	69117.6	221134.1	69116.4	221114.1
409269_1330_hpr	409269	1	10	0	1310_pol	0	0	69789.6	221230.1	69789.6	221230.1
437685_1330_hpr	437685	1	10	1	1330_hpr	1	50	62429.6	220942.1	62428.2	220892.1
455349_1330_hpr	455349	1	10	1	1330_hpr	1	11.2	63613.6	221006.1	63613.8	221017.3
470453_1330_hpr	470453	1	10	0	NA	NA	NA	62141.6	221838.1	NA	NA
472065_1330_hpr	472065	1	10	1	1330_hpr	0	0.3	58173.6	216238.1	58173.4	216238.3
495029_1330_hpr	495029	1	10	0	NA	NA	NA	62877.6	220302.1	NA	NA
529077_1330_hpr	529077	1	10	0	NA	NA	NA	63357.6	220270.1	NA	NA
540341_1330_hpr	540341	1	10	1	1330_hpr	0	0.2	69693.6	220686.1	69693.6	220686.3
576949_1330_hpr	576949	1	10	0	NA	NA	NA	61789.6	219886.1	NA	NA
586865_1330_hpr	586865	1	10	0	NA	NA	NA	53629.6	210830.1	NA	NA
651957_1330_hpr	651957	1	10	0	NA	NA	NA	63037.6	220654.1	NA	NA
692917_1330_hpr	692917	1	10	0	NA	NA	NA	64637.6	220302.1	NA	NA
