polygon_id	measurement_date	type	user_reference	recording_givid	mhq_cycle
LIMHAS0462	16243	3130_aom	LI_MLV_004_3130a_14	IV2021110111053005	1
LIMHAS0541	16243	3130_aom	LI_MLV_003_3130a_14	IV2021110111420298	1
LIMHAS0541	16243	3130_na	LI_MLV_003_3130n_14	IV2021110112004579	1
VBRSZI0235	16251	3130_aom	VB_VIE_001_3130a_14	IV2021110118484771	1
VBRSZI0235	16251	3150	VB_VIE_001_3150_14	IV2021110118435628	1
VBRSZI0277	16251	3130_aom	VB_VIE_002_3130a_14	IV2021110118202844	1
VBRSZI0277	16251	3150	VB_VIE_002_3150_14	IV2021110118102324	1
LIMZNH0238	16286	3130_aom	LI_MLV_015_3130a_14	IV2021110116483324	1
LIMZNH0238	16286	3130_na	LI_MLV_015_3130n_14	IV2021110117063289	1
LIMLUM0401	16292	3130_aom	LI_GRD_001_3130a_14	IV2021102921453951	1
LIMLUM0401	16292	3150	LI_GRD_001_3150_14	IV2021102922080890	1
LIMZNH0333	16309	3130_aom	LI_TEU_002_3130a_14	IV2021110115180432	1
LIMZNH0333	16309	3160	LI_TEU_002_3160_14	IV2021110115274417	1
ANTMOL0036	16314	3150	AN_MOL_002_3150_14	IV2018102513452791	1
ANTMOL0164	16314	3130_na	AN_MOL_001_3130n_14	IV2018102513241287	1
ANTMOL0164	16314	3140	AN_MOL_001_3140_14	IV2018102513330797	1
ANTMOL0164	16314	3150	AN_MOL_001_3150_14	IV2018102513371536	1
ANTHST0507	16318	3130_aom	AN_LAN_006_3130a_14	IV2021110117385166	1
ANTWIL0020	16321	3140	AN_HAZ_001_3140_14	IV2018102513502132	1
LIMZNH0431	16328	3130_na	LI_MLV_006_3130n_14	IV2021110114014007	1
WVLJAB0174	16356	3130_aom	WV_VLO_002_3130a_14	IV2021102612232857	1
ANTMOL0720	16357	3130_aom	AN_RPT_001_3130a_14	IV2021102611131279	1
ANTTUR0301	16584	3130_aom	AN_TVG_001_3130a_15	IV2021102614264540	1
ANTTUR0301	16584	3160	AN_TVG_001_3160_15	IV2021102614322566	1
ANTKAS0616	16610	3160	AN_SNE_001_3160_15	IV2021102610593198	1
LIMDST0108	16611	3110	LI_HEU_001_3110_15	IV2021103012361554	1
LIMDST0108	16611	3130_aom	LI_HEU_001_3130a_15	IV2021103012044059	1
LIMDST0108	16611	3160	LI_HEU_001_3160_15	IV2021103012423456	1
VBRSZI0297	16668	3130_aom	VB_VIE_004_3130a_15	IV2021110113293506	1
VBRSZI0297	16668	3150	VB_VIE_004_3150_15	IV2021051810591425	1
ANTKAS0431	16716	3150	AN_TIE_004_3150_15	IV2021102611231547	1
ANTTUR0142	16716	3150	AN_DUI_001_3150_15	IV2019103117565176	1
VBRKAM0120	16943	3140	VB_LAB_001_2016	IV2021012910232660	1
LIMHHE0112	16982	3130_aom	LI_KEL_001_3130a_16	IV2021102614135135	1
LIMHHE0112	16982	3160	LI_KEL_001_3160_16	IV2021102614201906	1
LIMGNK0177	17001	3130_aom	LI_WIK_006_3130a_16	IV2021102612312292	1
LIMGNK0095	17004	3130_aom	LI_WIK_003_3130a_16	IV2021102612572538	1
LIMGNK0095	17004	3130_na	LI_WIK_003_3130n_16	IV2021102612463047	1
LIMGNK0095	17004	3150	LI_WIK_003_3015_16	IV2021102612523570	1
LIMGNK0372	17007	3130_aom	LI_WIK_002_3130a_16	IV2017120708015628	1
LIMGNK0035	17009	3140	LI_MAT_007_3140_16	IV2017042510131430	1
LIMGNK0035	17009	3150	LI_MAT_007_3150_16	IV2017042510052573	1
LIMGNK0396	17010	3130_na	LI_MAT_001_3130n_16	IV2017032009592467	1
LIMGNK0089	17017	3130_aom	LI_WIK_005_3130a_16	IV2017062909012541	1
ANTRIJ0006	17036	3130_na	AN_DVH_004_3130n_16	IV2017042509585340	1
ANTRIJ0006	17036	3140	AN_DVH_004_3140_16	IV2017042509542011	1
ANTTUR0065	17038	3130_aom	AN_TVG_003_3130a_16	IV2017042509124286	1
ANTTUR0065	17038	3130_na	AN_TVG_003_3130n_16	IV2017042509274762	1
LIMMSM0197	17039	3160	LI_MEC_001_3160_16	IV2017042509374052	1
LIMMSM0198	17039	3160	LI_MEC_002_3160_16	IV2017042509472815	1
WVLOSK0059	17039	3130_aom	WV_ZGV_001_3130a_16	IV2019042409415834	1
LIMGNK0119	17043	3130_na	LI_MAT_004_3130n_16	IV2017042513300849	1
LIMGNK0062	17044	3150	LI_MAT_003_3150_16	IV2017032009171774	1
LIMGNK0182	17044	3130_aom	LI_MAT_002_3130a_16	IV2017032810082114	1
LIMGNK0182	17044	3130_na	LI_MAT_002_3130n_16	IV2017032809570000	1
LIMGNK0182	17044	3140	LI_MAT_002_3140_16	IV2017032809493991	1
ANTOTH0270	17052	3160	AN_LDL_003_3160_16	IV2017040410453770	1
ANTOTH0271	17052	3160	AN_LDL_001_3160_16	IV2017040410373172	1
LIMGNK0040	17052	3130_na	LI_BOK_008_3130n_16	IV2018082014440693	1
LIMGNK0144	17052	3130_na	LI_WIK_007_3130n_16	IV2018082109180907	1
ANTMOL0088	17053	3130_aom	AN_RPT_002_3130a_16	IV2017032810490646	1
ANTMOL0088	17053	3130_na	AN_RPT_002_3130n_16	IV2017032810361983	1
ANTKAS0349	17056	3130_aom	AN_TIK_002_3130a_16	IV2017040310093041	1
LIMHAS0482	17057	3130_aom	LI_BOK_006_3130a_16	IV2018082108175259	1
LIMHAS0482	17057	3130_na	LI_BOK_006_3130n_16	IV2018082107552331	1
LIMGNK0050	17058	3130_na	LI_MAT_009_3130n_16	IV2017040309190179	1
