point_code	grts_ranking	grts_ranking_draw	sac	legacy_site	type	polygon_id	phab	source
1_1	103425	1	1	0	2130_hd	53092	40	assessment/habitatmap 2020
100_2	12054321	100	1	0	2170	48551	40	assessment/habitatmap 2020
1002329_1	1002329	1002329	1	0	91E0_vc	81217	30	habitatmap 2020
100297_1	100297	100297	0	0	6510_hu	59456	70	habitatmap 2020
100297_2	15828937	100297	0	0	6510_hu	59456	70	habitatmap 2020
1003230_1	1003230	1003230	1	0	2330_bu	31133	70	habitatmap 2020
10034374_1	10034374	NA	1	1	91E0_va	50471	100	habitatmap 2020
1004470_1	1004470	1004470	1	0	7140_meso	17144	100	assessment/habitatmap 2020
100465_2	31533169	100465	1	0	2130_had	21150	30	assessment/habitatmap 2020
10048689_2	10048689	10048689	1	0	2190_mp	33197	NA	assessment
100662_1	100662	100662	1	0	4030	32457	100	habitatmap 2020
1007193_1	1007193	1007193	0	0	91E0_vc	82551	30	habitatmap 2020
1007490_1	1007490	1007490	0	0	6510_huk	21394	20	habitatmap 2020
1007490_2	1007490	1007490	0	0	6510_huk	21394	20	habitatmap 2020
1008246_1	1008246	1008246	1	0	7140_meso	74960	100	habitatmap 2020
1009222_1	1009222	1009222	1	0	6230_hn	14666	100	habitatmap 2020
10098609_1	10098609	10098609	1	0	2170	58202	15	habitatmap 2020
10104369_1	10104369	10104369	1	0	2170	77723	20	habitatmap 2020
1011505_1	1011505	1011505	1	0	2160	79598	100	assessment/habitatmap 2020
101169_1	101169	101169	0	0	2130_hd	36508	90	habitatmap 2020
1012434_2	11956946	1012434	0	0	7140_meso	38068	30	assessment/habitatmap 2020
1012662_1	1012662	1012662	1	0	2330_bu	76109	20	habitatmap 2020
10129_1	10129	10129	1	0	9130_end	23669	100	habitatmap 2020
1013294_2	51344942	1013294	1	0	7140_meso	50251	60	assessment/habitatmap 2020
1013318_1	1013318	1013318	1	0	91E0_vc	43071	50	habitatmap 2020
1015093_1	1015093	1015093	1	0	2130_hd	59447	100	habitatmap 2020
10169905_1	10169905	10169905	1	0	2170	75431	20	habitatmap 2020
1018841_1	1018841	1018841	1	0	6510_hu	1332	100	habitatmap 2020
1018841_2	34573273	1018841	1	0	6510_hu	1332	100	habitatmap 2020
10196145_1	10196145	10196145	1	0	2170	36571	55	habitatmap 2020
102_2	12431153	102	1	0	2190_mp	27638	NA	assessment
10202098_1	10202098	10202098	1	0	91E0_sf	58942	100	habitatmap 2020
102098_1	102098	102098	1	0	2310	55200	100	habitatmap 2020
1021105_1	1021105	1021105	1	0	2160	80294	12	assessment/habitatmap 2020
1022766_1	1022766	1022766	1	0	6230_hmo	21375	100	assessment/habitatmap 2020
10235441_1	10235441	10235441	1	0	2170	30259	30	habitatmap 2020
1023801_1	1023801	1023801	0	0	91E0_vc	78270	30	habitatmap 2020
1023929_1	1023929	1023929	1	0	6510_hu	38222	100	habitatmap 2020
10254513_1	10254513	10254513	1	0	2170	58202	15	habitatmap 2020
1025657_1	1025657	1025657	0	0	91E0_vc	82051	70	habitatmap 2020
1026898_1	1026898	1026898	1	0	2330_bu	6058	90	habitatmap 2020
103_1	12545841	103	1	0	2170	48551	40	assessment/habitatmap 2020
103030_1	103030	103030	1	0	4030	75025	100	habitatmap 2020
1030321_1	1030321	1030321	0	0	2160	33142	70	assessment/habitatmap 2020
10305329_1	10305329	10305329	1	0	2170	56062	20	habitatmap 2020
10306582_1	10306582	10306582	1	0	91E0_sf	29021	50	habitatmap 2020
103094_2	103094	103094	1	0	7140_meso	27115	20	assessment/habitatmap 2020
10310833_1	10310833	10310833	1	0	2190_overig	33218	60	habitatmap 2020
1031593_1	1031593	1031593	1	0	91E0_sf	80360	100	habitatmap 2020
10317874_1	10317874	10317874	0	0	6410_mo	NA	NA	assessment
1032326_1	1032326	1032326	1	0	6230_hmo	6112	80	habitatmap 2020
10327217_2	25007281	10327217	1	0	2190_overig	49084	64	assessment/habitatmap 2020
1034353_1	1034353	1034353	1	0	2130_hd	59176	95	habitatmap 2020
1034985_1	1034985	1034985	1	0	91E0_sf	34516	100	habitatmap 2020
10354_1	10354	10354	0	0	9160	78967	100	habitatmap 2020
10358258_1	10358258	10358258	0	0	91E0_sf	42705	30	habitatmap 2020
1036081_2	2608945	1036081	1	0	2160	43215	75	assessment/habitatmap 2020
103609_2	58823865	103609	1	0	91E0_vc	49114	20	habitatmap 2020
103634_1	103634	103634	1	0	4030	17305	70	habitatmap 2020
