point_code	grts_ranking	grts_ranking_draw	sac	legacy_site	type	polygon_id	phab	source
10137393_2	21933873	10137393	1	0	2190_mp	49267	100	assessment/habitatmap 2023
1018841_2	34573273	1018841	1	0	6510_hu	1730	100	assessment/habitatmap 2023
10196145_1	10196145	10196145	1	0	2170	44210	55	habitatmap 2023
102_2	12431153	102	1	0	2190_mp	49209	100	assessment/habitatmap 2023
10202098_1	10202098	10202098	1	0	91E0_sf	11982	100	habitatmap 2023
102098_1	102098	102098	1	0	4030	21375	100	assessment/habitatmap 2023
1021105_1	1021105	1021105	1	0	2160	93559	30	assessment/habitatmap 2023
1022766_1	1022766	1022766	1	0	6230_hmo	64289	100	assessment/habitatmap 2023
1023282_1	1023282	1023282	1	0	6510_hu	28811	NA	assessment
1023801_1	1023801	1023801	0	0	91E0_vc	83164	30	habitatmap 2023
1025657_1	1025657	1025657	0	0	91E0_vc	87001	70	habitatmap 2023
103_1	12545841	103	1	0	2170	50591	40	assessment/habitatmap 2023
1030321_1	1030321	1030321	0	0	2160	50571	70	assessment/habitatmap 2023
10306582_1	10306582	10306582	1	0	91E0_sf	72033	50	habitatmap 2023
103094_2	103094	103094	1	0	7140_meso	19339	20	assessment/habitatmap 2023
10310833_1	10310833	10310833	1	0	2190_overig	50581	NA	habitatmap 2023
1031593_1	1031593	1031593	1	0	91E0_sf	93481	100	habitatmap 2023
10317874_1	10317874	10317874	0	0	6410_mo	NA	NA	assessment
1032326_1	1032326	1032326	1	0	6230_hmo	10075	80	habitatmap 2023
10327217_2	25007281	10327217	1	0	2190_overig	8474	NA	assessment/habitatmap 2023
1034985_1	1034985	1034985	1	0	91E0_sf	45330	100	habitatmap 2023
10354_1	10354	10354	0	0	9160	15623	100	assessment/habitatmap 2023
10358258_1	10358258	10358258	0	0	91E0_sf	12842	30	habitatmap 2023
1036081_2	2608945	1036081	1	0	2160	53870	75	assessment/habitatmap 2023
103609_2	58823865	103609	1	0	91E0_vc	21559	20	assessment/habitatmap 2023
103634_1	103634	103634	1	0	4030	27974	70	assessment/habitatmap 2023
1036446_2	1036446	1036446	1	0	6230_hmo	85312	50	assessment/habitatmap 2023
1036465_1	24502449	1036465	1	1	2180	8485	100	assessment/habitatmap 2023
1037270_1	1037270	1037270	1	0	6230_ha	51401	100	habitatmap 2023
1037522_2	34591954	1037522	1	0	6230_hn	27999	100	assessment/habitatmap 2023
1037749_1	1037749	1037749	1	0	2160	NA	NA	assessment
1038513_1	1038513	1038513	1	0	2160	50585	91	assessment/habitatmap 2023
10395846_1	10395846	10395846	0	0	6510_hus	32994	30	habitatmap 2023
1040518_1	1040518	1040518	1	0	6230_hn	12180	100	assessment/habitatmap 2023
1040561_1	29417649	1040561	1	1	2130_had	8486	100	assessment/habitatmap 2023
1043410_1	1043410	1043410	1	0	2330_bu	61848	50	assessment/habitatmap 2023
104342_2	104342	104342	1	0	91E0_vc	37793	NA	assessment
1044273_1	1044273	1044273	1	0	2130_hd	39932	NA	assessment
1045430_1	1045430	1045430	1	0	7140_meso	93675	100	habitatmap 2023
1046321_1	59766577	1046321	1	1	2130_hd	46953	100	habitatmap 2023
1047090_1	1047090	1047090	1	0	2330_bu	9064	100	habitatmap 2023
1047702_1	1047702	1047702	1	0	6510_hu	71225	60	habitatmap 2023
1047861_1	54000949	1047861	1	1	2130_hd	48741	100	habitatmap 2023
1048566_1	1048566	1048566	1	0	2330	43168	100	habitatmap 2023
10486273_1	10486273	NA	0	1	9120	47613	100	habitatmap 2023
105_1	12644145	105	1	0	2170	46949	55	assessment/habitatmap 2023
10508981_1	10508981	10508981	1	0	2190_overig	39044	5	habitatmap 2023
10513_1	10513	10513	1	0	9130_end	51869	NA	assessment
1052582_1	1052582	1052582	1	0	6510_hu	19042	NA	assessment
10530377_1	10530377	NA	1	1	9120	54042	95	habitatmap 2023
1053622_1	1053622	1053622	1	0	2330_bu	94119	70	assessment/habitatmap 2023
105458_1	105458	105458	1	0	4010	18787	90	assessment/habitatmap 2023
10548630_1	10548630	NA	0	1	9120	65517	100	habitatmap 2023
10562034_1	10562034	10562034	0	0	91E0_sf	12843	20	habitatmap 2023
105682_1	105682	105682	1	0	2310	32002	100	assessment/habitatmap 2023
1057969_1	1057969	1057969	1	0	2160	93562	97	assessment/habitatmap 2023
1060149_2	34614581	1060149	1	0	2180	49132	100	assessment/habitatmap 2023
1060401_2	15478321	1060401	1	0	2160	50634	100	assessment/habitatmap 2023
10622226_1	10622226	10622226	1	0	6510_hus	76311	100	assessment/habitatmap 2023
1062514_1	1062514	1062514	1	0	6510_hu	91697	70	assessment/habitatmap 2023
1062930_1	1062930	1062930	1	0	6410_mo	75604	NA	assessment
1065910_1	1065910	1065910	1	0	2330_bu	87714	40	assessment/habitatmap 2023
106614_1	106614	106614	1	0	4010	56249	100	assessment/habitatmap 2023
1068086_1	1068086	1068086	0	0	6230_ha	14043	NA	assessment
1068793_1	1068793	1068793	1	0	6510_hu	NA	NA	assessment
1069233_1	1069233	1069233	1	0	2160	93562	97	assessment/habitatmap 2023
10694_1	10694	10694	1	0	9160	13535	85	habitatmap 2023
107_2	13070129	107	1	0	2170	50591	40	assessment/habitatmap 2023
10706_1	10706	10706	1	0	4030	61050	NA	assessment
10710354_1	10710354	10710354	0	0	91E0_sf	36271	100	habitatmap 2023
10717462_1	10717462	10717462	1	0	6510_hus	9277	100	assessment/habitatmap 2023
1074353_1	1074353	1074353	1	0	2130_hd	44303	45	habitatmap 2023
10766985_2	26495625	10766985	1	0	6410_mo	3200	10	assessment/habitatmap 2023
1076854_1	1076854	1076854	1	0	2330_bu	56804	100	assessment/habitatmap 2023
107697_2	7709873	107697	1	0	2180	50548	100	assessment/habitatmap 2023
1078198_1	1078198	1078198	1	0	4030	87671	100	assessment/habitatmap 2023
107830_2	49390902	107830	1	0	7140_meso	18015	NA	assessment
1079017_1	1079017	1079017	1	0	91E0_sf	5143	100	habitatmap 2023
107957_1	27431937	107957	1	1	2180	41136	100	assessment/habitatmap 2023
108_2	21950257	108	1	0	2170	46949	55	assessment/habitatmap 2023
1080629_1	1080629	1080629	1	0	2160	48725	100	habitatmap 2023
1081137_1	1081137	1081137	1	0	2160	49897	100	habitatmap 2023
10818737_1	10818737	10818737	1	0	2170	50572	65	habitatmap 2023
10840262_1	10840262	10840262	0	0	6410_mo	14553	30	assessment/habitatmap 2023
1085366_1	1085366	1085366	1	0	2330_bu	25426	NA	assessment
1085366_2	1085366	1085366	1	0	6230_hn	25426	NA	assessment
1085493_1	1085493	1085493	1	0	2130_had	49130	20	habitatmap 2023
1085493_1	1085493	1085493	1	0	2130_hd	49130	80	habitatmap 2023
1086641_1	1086641	1086641	1	0	2160	93562	97	habitatmap 2023
1086969_1	1086969	1086969	0	0	91E0_vc	86865	70	habitatmap 2023
1087350_2	59807606	1087350	1	0	7140_meso	36403	100	assessment/habitatmap 2023
1088302_2	30448430	1088302	1	0	7140_oli	53226	100	assessment/habitatmap 2023
109_2	13594417	109	1	0	2170	50591	40	assessment/habitatmap 2023
1090737_2	9479345	1090737	1	0	2180	50548	100	assessment/habitatmap 2023
1091761_1	14985393	1091761	1	1	2130_hd	44407	63	habitatmap 2023
1092401_1	1092401	1092401	1	0	2130_hd	43662	100	habitatmap 2023
1092434_1	1092434	1092434	1	0	2330_bu	10109	40	assessment/habitatmap 2023
1095857_1	47118513	1095857	1	1	2130_hd	49385	100	habitatmap 2023
1095857_2	1095857	1095857	1	0	2160	49419	100	habitatmap 2023
1095890_2	42711250	1095890	1	0	6230_hn	81062	NA	assessment
10971474_1	10971474	10971474	1	0	91E0_sf	21521	100	habitatmap 2023
1097222_2	21282310	1097222	1	0	6510_hu	NA	NA	assessment
1097398_1	1097398	1097398	1	0	7140_meso	19223	30	habitatmap 2023
10977698_1	10977698	10977698	0	0	91E0_sf	82820	70	habitatmap 2023
10982577_1	10982577	10982577	1	0	2190_overig	49459	NA	habitatmap 2023
1099889_1	1099889	1099889	1	0	2130_hd	46428	100	habitatmap 2023
11_2	40107317	11	1	0	2120	48624	NA	assessment
110_2	32681777	110	1	0	2170	46949	55	assessment/habitatmap 2023
11024265_1	11024265	11024265	1	0	2330_dw	7836	100	habitatmap 2023
1102518_1	1102518	1102518	1	0	7140_meso	18909	90	habitatmap 2023
110385_1	110385	110385	1	0	2160	49225	NA	assessment
1104049_1	1104049	1104049	1	0	2160	50585	91	habitatmap 2023
1104390_1	1104390	1104390	1	0	91E0_vc	86842	100	habitatmap 2023
1106097_1	36688049	1106097	1	1	2130_had	8486	100	assessment/habitatmap 2023
110705_1	110705	110705	1	0	2120	51358	60	assessment/habitatmap 2023
1107666_1	1107666	1107666	1	0	6230_ha	9262	10	assessment/habitatmap 2023
11080881_2	11080881	11080881	1	0	2190_mp	44330	60	assessment/habitatmap 2023
11092310_1	11092310	NA	0	1	91E0_va	84144	100	habitatmap 2023
111_2	13889329	111	1	0	2170	50591	40	assessment/habitatmap 2023
1110453_1	1110453	1110453	1	0	2120	61760	80	habitatmap 2023
1110750_1	1110750	1110750	1	0	2330_bu	81509	100	assessment/habitatmap 2023
1112241_1	53868721	1112241	1	1	2130_hd	49369	100	habitatmap 2023
11126_1	11126	11126	0	0	9120	62018	NA	assessment
111326_1	111326	111326	1	0	4030	63414	100	assessment/habitatmap 2023
1113397_1	1113397	1113397	1	0	2180	NA	NA	assessment
1113905_1	1113905	1113905	1	0	2120	44685	30	habitatmap 2023
1113905_1	1113905	1113905	1	0	2160	44685	50	habitatmap 2023
11142674_1	11142674	11142674	0	0	6410_mo	86575	30	assessment/habitatmap 2023
11145206_1	11145206	11145206	1	0	2330_dw	40154	5	habitatmap 2023
1114582_1	1114582	1114582	1	0	2330_bu	79758	100	assessment/habitatmap 2023
1115122_2	51446770	1115122	0	0	6230_hn	32349	NA	assessment
1116273_1	1116273	1116273	1	0	2130_hd	46471	100	habitatmap 2023
1116790_1	1116790	1116790	0	0	6230_ha	61874	50	habitatmap 2023
1117673_1	1117673	1117673	1	0	91E0_sf	5400	100	assessment/habitatmap 2023
1117877_1	1117877	1117877	1	0	1330_hpr	34302	100	assessment/habitatmap 2023
11183814_1	11183814	11183814	0	0	6510_hus	859	30	habitatmap 2023
1119158_1	1119158	1119158	1	0	2310	81603	NA	assessment
111918_1	111918	111918	1	0	4030	81188	100	assessment/habitatmap 2023
1119409_1	1119409	1119409	1	0	2130_hd	50559	90	habitatmap 2023
1119417_1	1119417	1119417	1	0	91E0_vc	17303	10	habitatmap 2023
1119506_2	1119506	1119506	1	0	6510_hu	NA	NA	assessment
111985_1	111985	111985	1	0	2120	61554	50	assessment/habitatmap 2023
112_2	16772913	112	1	0	2190_mp	72292	100	assessment/habitatmap 2023
11200850_1	11200850	11200850	1	0	91E0_sf	21521	100	habitatmap 2023
11201_1	11201	11201	1	0	6510_hu	39201	50	habitatmap 2023
11218_1	11218	11218	1	0	4010	56493	100	assessment/habitatmap 2023
1122617_1	1122617	1122617	1	0	91E0_vc	2765	30	habitatmap 2023
11228210_1	11228210	11228210	1	0	6410_mo	11750	30	assessment/habitatmap 2023
1124465_2	42043505	1124465	1	0	2130_had	44713	100	assessment/habitatmap 2023
1125937_1	1125937	1125937	1	0	2160	50631	100	habitatmap 2023
11262645_1	11262645	11262645	1	0	2190_overig	39801	50	habitatmap 2023
11267889_1	11267889	11267889	1	0	2170	46949	55	habitatmap 2023
112850_1	112850	112850	1	0	4030	22727	100	assessment/habitatmap 2023
112889_1	112889	112889	0	0	9130	85287	NA	assessment/habitatmap 2023
1129781_1	27344181	1129781	1	1	2180	46285	100	assessment/habitatmap 2023
1129781_2	1129781	1129781	1	0	2180	46818	100	habitatmap 2023
1130289_1	1130289	1130289	1	0	2160	50445	100	habitatmap 2023
1131446_1	1131446	1131446	1	0	2330_bu	81415	100	assessment/habitatmap 2023
1132201_2	1132201	1132201	1	0	7140_meso	2988	100	assessment/habitatmap 2023
1132838_2	8735014	1132838	1	0	6510_hu	14438	50	assessment/habitatmap 2023
11333750_1	11333750	NA	0	1	9190	51512	100	habitatmap 2023
11343122_1	11343122	11343122	1	0	6510_hus	62856	NA	assessment
1135793_1	1135793	1135793	1	0	2120	93559	25	habitatmap 2023
1135826_2	38884562	1135826	1	0	6230_hn	25239	20	assessment/habitatmap 2023
11359409_1	11359409	11359409	1	0	2190_overig	50581	NA	habitatmap 2023
11366482_2	11366482	11366482	1	0	6120	NA	NA	assessment
11375793_2	15570097	11375793	1	0	2190_overig	8474	NA	assessment/habitatmap 2023
1137929_1	1137929	1137929	0	0	2330_dw	43805	100	habitatmap 2023
11380422_1	11380422	11380422	0	0	6510_hus	1101	100	habitatmap 2023
11394098_1	11394098	11394098	1	0	6410_mo	93585	20	assessment/habitatmap 2023
11395490_1	11395490	11395490	0	0	91E0_sf	62331	30	habitatmap 2023
1140081_1	1140081	1140081	1	0	2120	61617	70	habitatmap 2023
1140086_1	1140086	1140086	1	0	2330_bu	71264	100	assessment/habitatmap 2023
1140434_2	50161362	1140434	1	0	7140_meso	15859	70	assessment/habitatmap 2023
11413617_1	62580849	11413617	1	1	2190_overig	NA	NA	assessment
1143734_1	1143734	1143734	1	0	4030	87674	100	assessment/habitatmap 2023
11457713_2	11457713	11457713	1	0	2190_mp	47218	60	assessment/habitatmap 2023
1146118_1	1146118	1146118	1	0	91E0_vc	25231	100	habitatmap 2023
1146673_1	1146673	1146673	1	0	2160	50641	100	habitatmap 2023
11466886_1	11466886	11466886	1	0	6410_mo	15203	80	assessment/habitatmap 2023
11481_1	11481	11481	1	0	9130_end	1933	100	assessment/habitatmap 2023
1149041_1	42920049	1149041	1	0	2130_had	64739	100	assessment/habitatmap 2023
1149745_1	1149745	1149745	1	0	2120	45984	30	habitatmap 2023
11497522_1	11497522	11497522	0	0	6410_mo	11353	20	habitatmap 2023
1150886_2	1150886	1150886	1	0	6230_hmo	25984	60	assessment/habitatmap 2023
115246_1	115246	115246	0	0	2310	81005	20	habitatmap 2023
1152657_2	1152657	1152657	0	0	6510_hua	3895	70	assessment/habitatmap 2023
1152670_1	1152670	1152670	0	0	6230_hmo	72753	100	habitatmap 2023
115422_1	115422	115422	1	0	2310	67330	100	assessment/habitatmap 2023
11546150_1	11546150	NA	0	1	9160	15890	100	habitatmap 2023
11548553_1	11548553	11548553	1	0	2330_dw	7836	100	habitatmap 2023
1156230_2	13739142	1156230	0	0	6410_mo	28316	50	assessment/habitatmap 2023
115638_1	115638	115638	1	0	4030	81520	NA	assessment
11573_1	11573	11573	1	0	2180	NA	NA	assessment
11588838_1	11588838	11588838	0	0	6410_mo	73699	15	habitatmap 2023
1158961_1	1158961	1158961	1	0	2180	49233	100	assessment/habitatmap 2023
11595569_2	11595569	11595569	1	0	2130_hd	46949	35	assessment/habitatmap 2023
11606358_1	11606358	NA	0	1	9190	16307	100	habitatmap 2023
11628038_1	11628038	NA	0	1	9120	24567	100	habitatmap 2023
1163750_2	65716710	1163750	1	0	6510_hu	92382	20	assessment/habitatmap 2023
1163865_1	1163865	NA	1	1	9120	4735	100	habitatmap 2023
116434_1	116434	116434	1	0	2310	18517	NA	assessment
116518_1	116518	116518	0	0	6510_hu	1078	100	habitatmap 2023
116518_2	116518	116518	0	0	6510_hu	1078	100	habitatmap 2023
1167153_1	1167153	1167153	1	0	2120	52128	100	habitatmap 2023
116849_2	16894065	116849	1	0	2130_hd	46450	80	assessment/habitatmap 2023
11686065_1	11686065	11686065	1	0	2190_overig	3742	NA	assessment/habitatmap 2023
116950_1	116950	116950	1	0	6230_ha	79171	100	assessment/habitatmap 2023
11714353_1	11714353	11714353	1	0	2170	50591	40	habitatmap 2023
117202_1	117202	117202	1	0	2310	56307	100	assessment/habitatmap 2023
1172657_1	1172657	1172657	1	0	2180	49515	100	assessment/habitatmap 2023
1172854_1	1172854	1172854	1	0	2330_bu	71272	100	assessment/habitatmap 2023
11736241_1	11736241	11736241	1	0	2170	44318	58	habitatmap 2023
11742_1	11742	11742	1	0	4010	60750	100	assessment/habitatmap 2023
11754482_1	11754482	11754482	1	0	2330_dw	14993	80	habitatmap 2023
1175794_1	1175794	1175794	1	0	6510_hu	34440	70	assessment/habitatmap 2023
1177233_1	1177233	1177233	0	0	6510_hua	64	60	assessment/habitatmap 2023
11774962_1	11774962	11774962	1	0	91E0_sf	17007	80	habitatmap 2023
11792177_1	11792177	11792177	1	0	2170	50591	40	habitatmap 2023
1180534_1	1180534	1180534	1	0	2330_bu	55335	100	assessment/habitatmap 2023
11825_1	11825	11825	1	0	2130_hd	50664	100	habitatmap 2023
118441_1	118441	118441	0	0	6510_hu	5681	100	assessment/habitatmap 2023
1184937_1	1184937	1184937	0	0	91E0_sf	5079	100	habitatmap 2023
1185042_1	1185042	1185042	1	0	6510_hu	76305	0	assessment/habitatmap 2023
11861301_1	11861301	11861301	1	0	2190_overig	49122	NA	habitatmap 2023
11865_2	4206169	11865	1	0	91E0_vc	1915	10	assessment/habitatmap 2023
1189041_1	1189041	1189041	1	0	2160	93562	97	habitatmap 2023
11915193_1	11915193	NA	0	1	9120	56171	70	habitatmap 2023
11920966_1	11920966	NA	1	1	9120	21544	50	habitatmap 2023
11920966_1	11920966	NA	1	1	9190	21544	50	habitatmap 2023
1192373_1	1192373	1192373	1	0	2120	39931	100	habitatmap 2023
119270_1	119270	119270	0	0	6510_hu	8866	80	habitatmap 2023
1193137_1	1193137	1193137	1	0	2160	50585	91	habitatmap 2023
11939377_1	11939377	11939377	1	0	2170	50022	100	habitatmap 2023
11949298_1	11949298	11949298	1	0	91E0_sf	11982	100	habitatmap 2023
1195701_1	1195701	1195701	0	0	1310_pol	35729	100	assessment/habitatmap 2023
1196982_1	1196982	1196982	1	0	2330_bu	87707	100	assessment/habitatmap 2023
1197801_1	1197801	1197801	1	0	91E0_sf	5655	100	habitatmap 2023
12_2	56431793	12	1	0	2120	47229	20	assessment/habitatmap 2023
120018_1	120018	120018	1	0	4010	17755	100	assessment/habitatmap 2023
120110_1	120110	120110	1	0	4010	81223	70	assessment/habitatmap 2023
1201329_1	1201329	1201329	1	0	2160	44338	82	habitatmap 2023
1201345_1	1201345	1201345	1	0	6510_hu	37798	NA	assessment
12021553_1	12021553	12021553	1	0	2170	50591	40	habitatmap 2023
12031153_1	12031153	12031153	1	0	2190_overig	49459	NA	habitatmap 2023
120478_1	120478	120478	0	0	2330_dw	72739	NA	assessment
120530_1	120530	120530	0	0	4030	18590	100	assessment/habitatmap 2023
1209270_1	1209270	1209270	1	0	2330_bu	87674	NA	assessment
120945_1	120945	120945	1	0	2120	51357	100	assessment/habitatmap 2023
121042_1	121042	121042	1	0	91E0_vo	36433	40	assessment/habitatmap 2023
1212382_2	1212382	1212382	1	0	6230_hn	33208	20	assessment/habitatmap 2023
12129457_1	12129457	12129457	1	0	2190_overig	44223	NA	habitatmap 2023
1213150_1	1213150	1213150	1	0	2330_bu	92155	100	assessment/habitatmap 2023
121525_2	33675957	121525	0	0	2120	47562	100	assessment/habitatmap 2023
1216305_1	1216305	1216305	1	0	2120	39933	100	habitatmap 2023
1216422_1	1216422	1216422	1	0	6230_hmo	14561	100	assessment/habitatmap 2023
1217713_1	1217713	1217713	1	0	2120	49664	100	habitatmap 2023
1217746_2	1217746	1217746	1	0	6230_hn	27961	10	assessment/habitatmap 2023
12213234_1	12213234	12213234	1	0	2330_dw	14993	80	habitatmap 2023
12229422_1	12229422	12229422	1	0	6410_mo	64289	NA	assessment
12230646_1	12230646	12230646	1	0	2330_dw	59730	20	habitatmap 2023
1223473_1	1223473	1223473	1	0	2190_mp	43954	NA	assessment
12248402_2	12248402	12248402	1	0	6120	9222	NA	assessment
122549_1	122549	122549	0	0	1330_hpr	35524	100	assessment/habitatmap 2023
122578_1	122578	122578	1	0	4010	NA	NA	assessment
12260934_1	12260934	NA	1	1	9120	24721	100	habitatmap 2023
122673_1	122673	122673	0	0	2120	46976	100	assessment/habitatmap 2023
12274_1	12274	12274	1	0	4030	13827	100	assessment/habitatmap 2023
1227910_1	1227910	1227910	1	0	6510_hu	13191	60	assessment/habitatmap 2023
1228529_1	1228529	1228529	0	0	6510_hua	6060	100	habitatmap 2023
1228593_1	1228593	1228593	1	0	2120	50591	20	habitatmap 2023
1228593_1	1228593	1228593	1	0	2170	50591	40	habitatmap 2023
1234130_1	1234130	1234130	1	0	4030	25288	NA	assessment
1235121_1	1235121	1235121	1	0	2160	50585	91	habitatmap 2023
1237169_1	39571633	1237169	1	1	2130_had	8486	100	assessment/habitatmap 2023
1238166_1	1238166	1238166	1	0	7140_meso	81262	30	habitatmap 2023
12384433_1	12384433	12384433	1	0	2190_mp	39473	100	habitatmap 2023
1239857_1	1239857	1239857	1	0	2160	44813	100	habitatmap 2023
12401_1	12401	12401	0	0	2120	46654	70	assessment/habitatmap 2023
12407985_1	12407985	12407985	1	0	2190_overig	50581	NA	habitatmap 2023
12417089_1	12417089	NA	0	1	9160	83862	100	habitatmap 2023
124278_1	124278	124278	1	0	2330	71272	NA	assessment/habitatmap 2023
124294_1	124294	124294	0	0	6510_hu	67010	30	habitatmap 2023
1243313_1	1243313	1243313	1	0	2160	50602	100	habitatmap 2023
124382_1	124382	124382	1	0	4010	74436	70	assessment/habitatmap 2023
12444066_1	12444066	12444066	0	0	91E0_sf	82820	70	habitatmap 2023
1244469_1	1244469	1244469	1	0	2160	49171	100	habitatmap 2023
12457234_1	12457234	12457234	1	0	6510_hus	76302	NA	assessment
12462193_1	12462193	12462193	1	0	2190_overig	92232	5	habitatmap 2023
1246441_1	1246441	1246441	1	0	91E0_sf	86347	100	habitatmap 2023
12470_1	12470	12470	0	0	91E0_vm	87959	30	assessment/habitatmap 2023
124718_1	124718	124718	1	0	4030	69282	100	habitatmap 2023
124806_1	124806	124806	0	0	6510_hu	36212	100	habitatmap 2023
1249582_1	1249582	1249582	1	0	6230_ha	41362	NA	assessment
1250481_1	1250481	1250481	1	0	2160	44531	49	habitatmap 2023
12506289_1	12506289	12506289	1	0	2190_overig	44232	NA	habitatmap 2023
1250770_1	1250770	1250770	1	0	2330_bu	20511	90	assessment/habitatmap 2023
12508146_1	12508146	12508146	1	0	2330_dw	14993	80	habitatmap 2023
12511570_1	12511570	12511570	1	0	91E0_sf	21521	100	habitatmap 2023
12513073_1	12513073	12513073	1	0	2170	46949	55	habitatmap 2023
125394_1	125394	125394	1	0	4030	23449	NA	assessment
1254353_1	1254353	1254353	1	0	6230_hmo	52467	100	habitatmap 2023
1254486_2	23274582	1254486	1	0	6230_hmo	14761	NA	assessment
1254825_1	1254825	1254825	1	0	91E0_sf	6822	100	assessment/habitatmap 2023
1255122_1	1255122	1255122	1	0	6230_ha	9262	10	assessment/habitatmap 2023
12553310_1	12553310	12553310	0	0	6510_hus	58595	20	habitatmap 2023
1257009_1	1257009	1257009	1	0	2160	50703	100	habitatmap 2023
12573365_1	12573365	12573365	1	0	2190_overig	36787	20	habitatmap 2023
1258422_2	18035638	1258422	1	0	7140_meso	27883	50	assessment/habitatmap 2023
1259313_1	1259313	1259313	1	0	2120	46966	10	habitatmap 2023
125998_1	125998	125998	1	0	4030	81200	30	assessment/habitatmap 2023
1260481_1	1260481	1260481	1	0	6510_hu	43357	100	assessment/habitatmap 2023
126261_1	126261	126261	0	0	2120	39950	60	habitatmap 2023
126261_1	126261	126261	0	0	2130_hd	39950	30	habitatmap 2023
1264241_2	16222833	1264241	1	0	2130_had	40014	100	assessment/habitatmap 2023
126622_1	126622	126622	1	0	2310	76286	20	habitatmap 2023
1266738_2	18043954	1266738	1	0	6510_hu	10518	30	assessment/habitatmap 2023
1266865_1	52270257	1266865	1	1	2190_overig	3742	NA	assessment/habitatmap 2023
1266865_2	1266865	1266865	1	0	2190	50581	NA	habitatmap 2023
126769_2	20574001	126769	1	0	2190_mp	72221	100	assessment/habitatmap 2023
1269030_2	49700134	1269030	1	0	6510_huk	NA	NA	assessment
1269458_1	1269458	1269458	1	0	6230_ha	9262	10	assessment/habitatmap 2023
12710_2	12710	12710	0	0	9120	84775	30	assessment/habitatmap 2023
1271122_2	46097746	1271122	1	0	6510_hu	NA	NA	assessment
12715538_1	12715538	12715538	0	0	6410_mo	86575	30	habitatmap 2023
1272114_1	1272114	1272114	1	0	2330_dw	NA	NA	assessment
127218_2	127218	127218	1	0	6510_hu	34440	70	assessment/habitatmap 2023
1274486_1	1274486	1274486	1	0	2330_bu	87444	100	assessment/habitatmap 2023
1274549_1	1274549	1274549	0	0	1330_hpr	41719	100	assessment/habitatmap 2023
1274806_1	1274806	1274806	1	0	4030	81354	NA	assessment
1276081_1	1276081	1276081	1	0	2130_hd	50695	100	assessment/habitatmap 2023
127622_1	127622	127622	1	0	6510_hu	15014	15	habitatmap 2023
1276854_1	1276854	1276854	1	0	7140_meso	27718	100	habitatmap 2023
127710_1	127710	127710	1	0	2310	67340	NA	assessment
12773714_1	12773714	12773714	1	0	91E0_sf	19517	100	habitatmap 2023
1277553_1	1277553	1277553	1	0	2120	45911	10	habitatmap 2023
1280278_2	1280278	1280278	1	0	6510_hus	9277	100	assessment/habitatmap 2023
12812706_1	12812706	12812706	0	0	91E0_sf	82921	70	habitatmap 2023
12818365_1	12818365	NA	1	1	1330_da	81615	100	habitatmap 2023
1283249_1	1283249	1283249	1	0	2120	93559	25	habitatmap 2023
12835509_1	12835509	12835509	1	0	2190_overig	39044	5	habitatmap 2023
12840753_1	12840753	12840753	1	0	2170	46949	55	habitatmap 2023
1284946_1	1284946	1284946	1	0	2330_bu	11520	80	assessment/habitatmap 2023
1285121_1	1285121	1285121	1	0	rbbmr	384	NA	assessment
1285330_1	1285330	1285330	1	0	2330_bu	21405	20	assessment/habitatmap 2023
1286278_2	1286278	1286278	1	0	6410_mo	27407	NA	assessment
