point_code	grts_ranking	grts_ranking_draw	sac	legacy_site	type	polygon_id	phab	source
1_1	103425	1	1	0	2130_hd	46409	30	assessment/habitatmap 2023
100_2	12054321	100	1	0	2170	50591	40	assessment/habitatmap 2023
100050_1	100050	100050	1	0	4010	18753	NA	assessment
1002329_1	1002329	1002329	1	0	91E0_vc	85822	30	habitatmap 2023
100297_2	15828937	100297	0	0	6510_hu	64536	70	assessment/habitatmap 2023
1003230_1	1003230	1003230	1	0	2330_bu	64367	70	assessment/habitatmap 2023
10034374_1	10034374	NA	1	1	91E0_va	57605	100	habitatmap 2023
1004470_1	1004470	1004470	1	0	7140_meso	27854	100	assessment/habitatmap 2023
100465_2	31533169	100465	1	0	2130_had	34732	30	assessment/habitatmap 2023
10048689_2	10048689	10048689	1	0	2190_mp	50573	60	assessment/habitatmap 2023
100626_1	100626	100626	1	0	2310	62230	100	assessment/habitatmap 2023
100626_2	56133906	100626	1	0	4010	83551	NA	assessment
100662_1	100662	100662	1	0	4030	19894	100	assessment/habitatmap 2023
1007193_1	1007193	1007193	0	0	91E0_vc	87561	30	habitatmap 2023
1007490_2	1007490	1007490	0	0	6510_huk	34889	20	assessment/habitatmap 2023
1008246_2	1745526	1008246	1	0	7140_meso	80405	100	assessment/habitatmap 2023
1008850_1	1008850	1008850	1	0	2330_dw	37211	100	habitatmap 2023
1009222_1	1009222	1009222	1	0	6230_hn	25627	100	habitatmap 2023
1011505_1	1011505	1011505	1	0	2160	84229	100	assessment/habitatmap 2023
101169_1	101169	101169	1	0	2130_hd	45985	80	assessment/habitatmap 2023
1012434_2	11956946	1012434	0	0	7140_meso	31236	100	assessment/habitatmap 2023
1012446_1	1012446	1012446	1	0	2330_bu	68390	100	habitatmap 2023
1012662_1	1012662	1012662	1	0	4030	81354	NA	assessment
10129_1	10129	10129	1	0	9130_end	36160	100	habitatmap 2023
1013294_2	51344942	1013294	1	0	7140_meso	57480	60	assessment/habitatmap 2023
1013318_1	1013318	1013318	1	0	91E0_vc	15883	50	habitatmap 2023
