point_code	is_centroid	grts_ranking	x	y
1_1	1	103425	55165.6	218574.1
10_1	1	1044273	32541.6	203726.1
100_1	1	12054321	32541.6	203342.1
100_2	0	12054321	32536.5	203350.6
1000374_1	1	1000374	215901.6	200430.1
10003794_1	1	10003794	247229.6	187726.1
100050_1	1	100050	224989.65	188910.05
100118_1	1	100118	155453.592	193102.1136
1002329_1	1	1002329	114301.6	178286.1
100297_1	1	100297	93981.6	194670.1
100297_2	0	15828937	93983.57	194600.56
1003230_1	1	1003230	155389.62	230350.08
1003346_1	1	1003346	237917.6	200366.1
10034374_1	0	10034374	164942.2	178679.8
1004470_1	1	1004470	216413.6	198222.1
1004534_1	1	1004534	185885.6	210798.1
100465_1	0	14755953	54240.3	216383.4
100465_2	0	31533169	54235.8	216368.92
10048689_1	1	10048689	22717.6	198702.1
10048689_2	0	10048689	22716.4	198703.37
100626_1	1	100626	223005.6	217006.1
100626_2	0	56133906	222951.11	217157.04
10066_1	1	10066	243101.59	197870.11
100662_1	1	100662	191421.59	192174.11
1007193_1	1	1007193	108189.6	184238.1
1007490_1	1	1007490	256381.6	157678.1
1007490_2	0	1007490	256383.3	157682.91
1007570_1	1	1007570	233117.59	194798.11
1008246_1	1	1008246	215613.59	205230.11
1008246_2	1	1745526	215549.52	205197.99
1008850_1	1	1008850	222141.59	197966.11
1009222_1	1	1009222	172989.59	166894.11
10096978_1	1	10096978	247613.6	187982.1
10098609_1	1	10098609	30301.6	202030.1
1010002_1	1	1010002	248669.6	191278.1
10104369_1	1	10104369	30045.6	202414.1
1011505_1	1	1011505	32381.59	203054.12
101169_1	1	101169	35959.66	206390.14
1012342_1	1	1012342	218589.61	204046.19
10123622_1	1	10123622	197309.6	167438.1
1012434_1	1	1012434	219101.59	190382.11
1012434_2	1	11956946	219133.6	190478.14
1012446_1	1	1012446	154237.59	232366.11
1012662_1	1	1012662	217021.52	199982.13
10129_1	1	10129	30461.59	174734.11
1013294_1	1	1013294	202141.6	224174.1
1013294_2	0	51344942	202187.98	224168.03
1013318_1	1	1013318	170781.6	168078.1
10137393_1	1	10137393	33661.59	203982.11
10137393_2	1	21933873	33597.59	204046.11
1015093_1	1	1015093	79037.6	227854.1
10169905_1	1	10169905	29629.6	202254.1
1017817_1	1	1017817	106909.6	162670.1
1018841_1	1	1018841	109373.6	167982.1
1018841_2	0	34573273	109376.38	168022.5
10195282_1	1	10195282	247933.6	189710.1
10196145_1	1	10196145	23165.6	198958.1
102_1	1	12431153	33437.6	203342.1
102_2	0	12431153	33434.25	203344.53
10202098_1	1	10202098	243101.6	177806.1
1020370_1	1	1020370	230941.59	189518.16
102098_1	1	102098	224477.59	192718.12
1021105_1	1	1021105	23421.6	198702.1
1022766_1	1	1022766	195581.6	228014.1
1023282_1	1	1023282	224797.6	178254.2
10235441_1	1	10235441	29949.6	202798.1
1023801_1	1	1023801	129469.6	168526.1
1023857_1	1	1023857	48893.6	206894.1
1023929_1	1	1023929	145373.6	160622.1
102453_1	1	102453	75325.6	226734.1
10254513_1	1	10254513	29821.6	201710.1
1025657_1	1	1025657	140477.6	174958.1
1026225_1	1	1026225	26237.59	199886.11
1026898_1	1	1026898	237245.53	195502.12
1027026_1	1	1027026	230461.58	195790.05
1027509_1	1	1027509	62237.6	221486.1
1028726_1	1	1028726	217405.6	202350.1
1029702_1	1	1029702	170493.6	168014.1
103_1	1	12545841	32381.6	203118.1
103030_1	1	103030	216029.6	202606.1
1030321_1	1	1030321	28957.59	201390.11
10305329_1	1	10305329	30717.6	202318.1
10306582_1	1	10306582	162269.6	200462.1
103094_1	1	103094	213341.6	187662.1
103094_2	0	103094	213355.2	187661.1
10310833_1	1	10310833	22653.6	198926.1
1031593_1	1	1031593	136669.6	198542.1
10317874_1	1	10317874	219869.7	171981.49
1032326_1	1	1032326	179549.59	181966.11
10327086_1	1	10327086	189789.6	218798.1
10327217_1	1	10327217	23197.6	198158.1
10327217_2	1	25007281	23101.68	198254.12
103350_1	1	103350	214909.58	199342.12
1034353_1	1	1034353	54397.6	217742.1
1034985_1	1	1034985	138685.6	200750.1
10354_1	1	10354	227773.58	161326.07
1035701_1	1	1035701	61309.6	220302.1
10358258_1	1	10358258	246717.6	182542.1
1036081_1	1	1036081	34173.6	204462.1
1036081_2	1	2608945	34269.59	204558.11
103609_1	1	103609	144189.6	155694.1
103609_2	0	58823865	144191.12	155670.43
103634_1	1	103634	219549.6	196910.1
1036446_1	1	1036446	170109.6	224494.1
1036446_2	0	1036446	170109.98	224478.91
1036465_1	0	24502449	24591.87	196528.54
1036465_2	1	1036465	23933.59	196078.11
10366513_1	1	10366513	30173.6	202510.1
1037270_1	1	1037270	177693.59	208206.11
1037522_1	1	1037522	219677.6	197134.1
1037522_2	0	34591954	219714.59	197117.84
1037749_1	1	1037749	58685.6	220878.1
1038513_1	1	1038513	26141.6	200398.1
10395846_1	1	10395846	162973.6	184206.1
1040518_1	1	1040518	180381.75	184494
1040561_1	0	29417649	24378.36	196422.46
1042034_1	1	1042034	224317.6	166254.1
1043410_1	1	1043410	229821.6	195374.08
104342_1	1	104342	168189.6	211694.1
104342_2	0	104342	168183.54	211702.17
1044273_1	1	1044273	32541.59	203726.11
1045173_1	1	1045173	63357.6	221486.1
1045430_1	1	1045430	217885.59	198734.11
1045617_1	1	1045617	53181.6	211118.1
1046098_1	1	1046098	239229.6	186670.1
1046134_1	1	1046134	214077.6	203694.1
1046321_1	0	59766577	35097.8	206041.7
104670_1	1	104670	163005.6	226542.1
1047090_1	1	1047090	227421.59	183790.11
1047702_1	1	1047702	167645.59	206126.11
1047861_1	0	54000949	78299.8	228442.4
1048049_1	1	1048049	43549.6	187726.1
1048049_2	0	1048049	43550.01	187722.19
1048566_1	1	1048566	187485.59	216878.11
10486273_1	0	10486273	69942.2	215179.8
10497585_1	1	10497585	30141.6	202766.1
105_1	1	12644145	32861.6	203694.1
105006_1	1	105006	195293.52	225358.12
1050737_1	1	1050737	52797.6	217070.1
10508981_1	1	10508981	66173.6	224558.1
10513_1	1	10513	36349.48	165037.94
1051438_1	1	1051438	197917.59	230062.11
10516657_1	1	10516657	29725.6	202030.1
10520790_1	1	10520790	177597.6	218126.1
1052582_1	1	1052582	185885.64	181038.14
10530377_1	0	10530377	93958.5	206688.1
10530898_1	1	10530898	250173.6	197038.1
1053365_1	1	1053365	63005.6	220302.1
1053622_1	1	1053622	216285.58	200046.16
105458_1	1	105458	239613.6	180142.11
10548630_1	0	10548630	156942.1	212179.6
1055218_1	1	1055218	244573.6	181422.1
10562034_1	1	10562034	245693.6	180590.1
1056361_1	1	1056361	130141.59	214478.11
1056722_1	1	1056722	234397.06	194958.26
10567473_1	1	10567473	30333.6	202318.1
105682_1	1	105682	225437.59	194286.1
1057081_1	1	1057081	131197.6	155502.1
10574382_1	1	10574382	194173.6	225134.1
1057969_1	1	1057969	24541.6	198798.1
10593414_1	1	10593414	181309.6	181550.1
106_1	1	12873521	33149.6	202894.1
1060149_1	1	1060149	76989.6	226798.1
1060149_2	1	34614581	76989.15	226829.3
1060401_1	1	1060401	29981.6	202894.1
1060401_2	1	15478321	29917.59	202958.11
10622226_1	1	10622226	219133.61	217454.11
1062514_1	1	1062514	226461.42	166958.43
1062930_1	1	1062930	231069.6	204398.1
1065910_1	1	1065910	215965.6	200973.85
106614_1	1	106614	205629.52	211502.03
1067986_1	1	1067986	227325.6	194862.1
1068086_1	1	1068086	198204.75	187885.67
106870_1	1	106870	214173.6	210638.1
1068793_1	1	1068793	124285.59	182606.02
1069225_1	1	1069225	133341.6	193934.1
1069233_1	1	1069233	23645.6	198062.1
10694_1	1	10694	163549.59	172846.11
107_1	1	13070129	32445.6	202926.1
107_2	0	13070129	32453.9	202920.6
1070_1	1	1070	187869.592	222318.1136
10705906_1	1	10705906	240861.6	180782.1
10706_1	1	10706	227869.59	193454.11
10710354_1	1	10710354	247133.6	190958.1
107126_1	1	107126	215037.6	204590.1
10717462_1	1	10717462	164413.57	187182.12
1071797_1	1	1071797	66269.6	224590.1
1074353_1	1	1074353	24317.6	199342.1
1076214_1	1	1076214	193885.59	218030.11
1076661_1	1	1076661	61789.6	221902.1
10766985_1	1	10766985	112125.6	193358.1
10766985_2	0	26495625	112125.81	193388.32
1076854_1	1	1076854	211965.95	208174.51
107697_1	1	107697	25885.6	198830.1
107697_2	1	7709873	25821.59	198894.11
10774_1	1	10774	158205.6	196462.1
10776710_1	1	10776710	178237.6	184142.1
1077878_1	1	1077878	218045.6	203566.1
1078198_1	1	1078198	217277.5	199790.16
107830_1	1	107830	193405.6	189422.1
107830_2	0	49390902	193442.42	189439.4
1078674_1	1	1078674	251293.6	206798.1
1079017_1	1	1079017	137181.6	197390.1
10791922_1	1	10791922	243069.6	178318.1
1079473_1	1	1079473	29949.6	202094.1
107957_1	0	27431937	55419.5	218288.1
107985_1	1	107985	52957.59	172334.11
108_1	1	13561649	32989.6	203886.1
108_2	0	21950257	32972.68	203881.57
1080629_1	1	1080629	78365.6	228622.1
1080817_1	1	1080817	43485.6	187662.1
1080817_2	0	1080817	43486.12	187658.15
1081137_1	1	1081137	30845.6	203470.1
10812725_1	1	10812725	77341.6	227950.1
10818737_1	1	10818737	23517.6	199310.1
1082294_1	1	1082294	215069.6	201070.1
10824641_1	1	10824641	72893.6	205582.1
10834_1	1	10834	237757.6	193198.1
10840262_1	1	10840262	169053.65	177773.08
10841_1	1	10841	110941.6	181614.1
1084630_1	1	1084630	171613.59	216142.11
1085366_1	1	1085366	217213.63	197710.37
1085366_2	0	1085366	217214.9	197709.74
1085493_1	1	1085493	76221.6	226286.1
1085778_1	1	1085778	248029.6	189294.1
10857782_1	1	10857782	185885.6	186702.1
1086465_1	1	1086465	54973.6	218030.1
1086641_1	1	1086641	24029.6	198350.1
1086966_1	1	1086966	195869.6	204014.1
1086969_1	1	1086969	133661.6	170158.1
108721_1	1	108721	26717.6	199566.1
1087350_1	1	1087350	206429.6	204174.1
1087350_2	0	59807606	206451.7	204207.7
1088302_1	1	1088302	195389.59	228398.11
1088302_2	1	30448430	195389.37	228366.23
1088630_1	1	1088630	206397.59	212142.11
10890801_1	1	10890801	29917.6	202350.1
10891398_1	1	10891398	179101.6	184814.1
10899446_1	1	10899446	189757.6	217966.1
109_1	1	13594417	32317.6	203022.1
109_2	0	13594417	32306.8	203037.35
10904338_1	1	10904338	223709.6	205582.1
1090737_1	1	1090737	25437.6	198926.1
1090737_2	1	9479345	25437.6	198958.11
10914006_1	1	10914006	177213.6	217614.1
1091761_1	0	14985393	26225.9	199488.8
1092401_1	1	1092401	36605.6	206638.1
1092434_1	1	1092434	237245.64	195662.08
10937682_1	1	10937682	246173.6	186510.1
109522_1	1	109522	230269.6	196046.1
1095857_1	0	47118513	28311	201057.6
1095857_2	1	1095857	28573.6	201230.1
1095890_1	1	1095890	219517.6	198638.1
1095890_2	0	42711250	219509.7	198617.83
1097013_1	1	1097013	78813.6	227790.1
10971474_1	1	10971474	248349.6	190958.1
1097222_1	1	1097222	157949.6	166382.1
1097222_2	0	21282310	157989.97	166450.45
1097398_1	1	1097398	218045.59	189390.11
10977698_1	1	10977698	251837.6	200398.1
1098166_1	1	1098166	203709.6	187278.1
10982577_1	1	10982577	23357.6	198894.1
1099889_1	1	1099889	54749.6	218286.1
1099986_1	1	1099986	219229.6	200846.1
11_1	1	1047861	78013.6	228590.1
11_2	0	40107317	78029.4	228572.7
110_1	1	13823793	33277.6	203982.1
110_2	0	32681777	33318	203982
1101237_1	1	1101237	61565.6	219630.1
1101245_1	1	1101245	139421.6	220174.1
110162_1	1	110162	239069.6	186574.1
11024265_1	1	11024265	120189.6	188942.1
1102518_1	1	1102518	213629.59	187726.11
110262_1	1	110262	216317.6	188110.1
110385_1	1	110385	33597.59	203438.11
1104049_1	1	1104049	26493.6	200878.1
11040945_1	1	11040945	29981.6	201742.1
1104390_1	1	1104390	159229.6	165166.1
1106097_1	0	36688049	24029.7	196132
110646_1	1	110646	195997.6	193326.1
1107030_1	1	1107030	185085.59	194766.11
110705_1	1	110705	50621.59	215790.11
1107666_1	1	1107666	224061.78	189806.15
11080881_1	1	11080881	23101.6	199278.1
11080881_2	0	11080881	23111.67	199293.11
11092310_1	0	11092310	183942.2	192179.8
1109593_1	1	1109593	108509.6	182414.1
111_1	1	13889329	32445.6	203374.1
111_2	0	13889329	32452.42	203366.6
1110453_1	1	1110453	62077.6	223086.1
1110750_1	1	1110750	153949.58	232078.18
1111670_1	1	1111670	213565.6	203918.1
111222_1	1	111222	217085.6	202798.1
1112241_1	0	53868721	28871.8	200499.4
1112562_1	1	1112562	243293.59	178414.11
11126_1	1	11126	205661.6	209262.21
111326_1	1	111326	155069.52	231854
1113397_1	1	1113397	77693.59	228078.11
1113874_1	1	1113874	219805.59	209966.11
1113905_1	1	1113905	31421.6	203598.1
1114041_1	1	1114041	146333.59	157998.11
11142674_1	1	11142674	231773.6	212302.28
11145206_1	1	11145206	188061.6	216686.1
11145554_1	1	11145554	247677.6	188046.1
1114582_1	1	1114582	177853.56	217966.16
1115122_1	1	1115122	237149.6	183598.1
1115122_2	0	51446770	237159.8	183637.43
1115286_1	1	1115286	167773.6	210190.1
11152945_1	1	11152945	30141.6	202446.1
111542_1	1	111542	218109.6	199214.1
1115573_1	1	1115573	57885.6	219758.1
1116273_1	1	1116273	53373.6	217262.1
1116790_1	1	1116790	215645.59	209294.11
1117673_1	1	1117673	137885.6	193934.1
1117877_1	1	1117877	68669.32	220718.4
111838_1	1	111838	166877.6	222990.1
11183814_1	1	11183814	158525.6	184334.1
1118838_1	1	1118838	214941.6	203534.1
1119158_1	1	1119158	215965.62	200142.16
111918_1	1	111918	187933.57	229838.13
1119409_1	1	1119409	23517.6	199598.1
1119417_1	1	1119417	143453.6	155566.1
1119442_1	1	1119442	219613.6	197294.1
1119506_1	1	1119506	219165.6	217262.1
1119506_2	0	1119506	219164.94	217265.33
111985_1	1	111985	45085.59	212238.11
112_1	1	16772913	32733.6	203598.1
112_2	0	16772913	32725	203591
