scheme,module_combo_code,panel_set,stratum,sp_poststratum,grts_address
GW_03.3,panfl_pan5,1,1310_pol,Flanders,212661
GW_03.3,panfl_pan5,1,1310_pol,Flanders,409269
GW_03.3,panfl_pan5,1,1310_pol,Flanders,1195701
GW_03.3,panfl_pan5,1,1310_pol,Flanders,1588917
GW_03.3,panfl_pan5,1,1310_pol,Flanders,3202741
GW_03.3,panfl_pan5,1,1310_pol,Flanders,3554997
GW_03.3,panfl_pan5,1,1310_pol,Flanders,3858101
GW_03.3,panfl_pan5,1,1310_pol,Flanders,5193397
GW_03.3,panfl_pan5,1,1310_pol,Flanders,5234357
GW_03.3,panfl_pan5,1,1310_pol,Flanders,5455541
GW_03.3,panfl_pan5,1,1310_pol,Flanders,5979829
GW_03.3,panfl_pan5,1,1310_pol,Flanders,6360757
GW_03.3,panfl_pan5,1,1310_pol,Flanders,6475197
GW_03.3,panfl_pan5,1,1310_pol,Flanders,6504117
GW_03.3,panfl_pan5,1,1310_pol,Flanders,6635189
GW_03.3,panfl_pan5,1,1310_pol,Flanders,6811317
GW_03.3,panfl_pan5,1,1310_pol,Flanders,7409333
GW_03.3,panfl_pan5,1,1310_pol,Flanders,7855797
GW_03.3,panfl_pan5,1,1310_pol,Flanders,8936893
GW_03.3,panfl_pan5,1,1310_pol,Flanders,9387701
GW_03.3,panfl_pan5,1,1310_pol,Flanders,9559733
GW_03.3,panfl_pan5,1,1310_pol,Flanders,9649845
GW_03.3,panfl_pan5,1,1310_pol,Flanders,9846453
GW_03.3,panfl_pan5,1,1310_pol,Flanders,9977525
GW_03.3,panfl_pan5,1,1310_pol,Flanders,10239669
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,37557
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,52669
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,118205
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,122549
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,183733
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,253621
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,299701
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,437685
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,450229
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,455349
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,472065
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,540341
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,658869
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,661577
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,732161
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,798133
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,814517
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,830901
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,908981
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,970173
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1035701
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1117877
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1274549
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1285121
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1291377
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1339061
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1348277
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1433269
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1456905
GW_03.3,panfl_pan5,1,1330_hpr,Flanders,1457153
GW_03.3,panfl_pan5,1,2190_a_0_1,Flanders,67697
GW_03.3,panfl_pan5,1,2190_a_0_1,Flanders,144561
GW_03.3,panfl_pan5,1,2190_a_0_1,Flanders,228661
GW_03.3,panfl_pan5,1,2190_a_0_1,Flanders,523701
