"recording_givid";"user_reference";"location_code";"latitude";"longitude";"area";"survey_id";"name";"needs_work";"description";"vague_date_type";"vague_date_begin";"vague_date_end";"ID"
"IV2013070514353929";"BV12/086";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ274"
"IV2013070514565804";"BV12/087";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ275"
"IV2013070515045697";"BV12/088";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ276"
"IV2013070515115854";"BV12/089";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ277"
"IV2013070515292304";"BV12/091";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ278"
"IV2013070515363839";"BV12/090";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ279"
"IV2013070515415608";"BV12/092";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ280"
"IV2013070515451409";"BV12/093";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ281"
"IV2013070515513858";"BV12/094";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ282"
"IV2013070515583172";"BV12/095";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ283"
"IV2013070516010967";"BV12/096";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ284"
"IV2013070516102904";"BV12/097";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-25";"2012-09-25";"ZSCPQ285"
"IV2013070516275106";"BV12/098";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ222"
"IV2013070908524962";"BV12/099";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ223"
"IV2013070908573073";"BV12/100";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ225"
"IV2013070909002478";"BV12/101";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ226"
"IV2013070909043060";"BV12/102";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ227"
"IV2013070909072746";"BV12/103";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ228"
