"recording_givid";"location_code";"layer_code";"cover_code"
"IV2013070514353929";"Paardeschor (NOP) (Schelde)";"KH";"2"
"IV2013070514353929";"Paardeschor (NOP) (Schelde)";"STR";"1"
"IV2013070514353929";"Paardeschor (NOP) (Schelde)";"TOT";"2"
"IV2013070514565804";"Paardeschor (NOP) (Schelde)";"KH";"75"
"IV2013070514565804";"Paardeschor (NOP) (Schelde)";"STR";"20"
"IV2013070514565804";"Paardeschor (NOP) (Schelde)";"TOT";"75"
"IV2013070515045697";"Paardeschor (NOP) (Schelde)";"KH";"2"
"IV2013070515045697";"Paardeschor (NOP) (Schelde)";"STR";"1"
"IV2013070515045697";"Paardeschor (NOP) (Schelde)";"TOT";"3"
"IV2013070515115854";"Paardeschor (NOP) (Schelde)";"KH";"90"
"IV2013070515115854";"Paardeschor (NOP) (Schelde)";"STR";"60"
"IV2013070515115854";"Paardeschor (NOP) (Schelde)";"TOT";"100"
"IV2013070515292304";"Paardeschor (NOP) (Schelde)";"KH";"90"
"IV2013070515292304";"Paardeschor (NOP) (Schelde)";"STR";"40"
"IV2013070515292304";"Paardeschor (NOP) (Schelde)";"TOT";"99"
"IV2013070515363839";"Paardeschor (NOP) (Schelde)";"KH";"35"
"IV2013070515363839";"Paardeschor (NOP) (Schelde)";"STR";"1"
"IV2013070515363839";"Paardeschor (NOP) (Schelde)";"TOT";"35"
"IV2013070515415608";"Paardeschor (NOP) (Schelde)";"STR";"2"
"IV2013070515415608";"Paardeschor (NOP) (Schelde)";"TOT";"2"
"IV2013070515451409";"Paardeschor (NOP) (Schelde)";"KH";"7"
"IV2013070515451409";"Paardeschor (NOP) (Schelde)";"STR";"1"
"IV2013070515451409";"Paardeschor (NOP) (Schelde)";"TOT";"7"
"IV2013070515513858";"Paardeschor (NOP) (Schelde)";"KH";"90"
"IV2013070515513858";"Paardeschor (NOP) (Schelde)";"STR";"75"
"IV2013070515513858";"Paardeschor (NOP) (Schelde)";"TOT";"100"
"IV2013070515583172";"Paardeschor (NOP) (Schelde)";"KH";"90"
