NR;Versie;Habitattype;Habitatsubtype;Criterium;Indicator;Voorwaarde;ZSCPQ009;ZSCPQ185;ZSCPQ188;ZSCPQ184;ZSCPQ189;ZSCPQ190;ZSCPQ186;ZSCPQ007;ZSCPQ193;ZSCPQ200;ZSCPQ192;ZSCPQ194;ZSCPQ195;ZSCPQ199;ZSCPQ203;ZSCPQ201;ZSCPQ227;ZSCPQ230;ZSCPQ222;ZSCPQ234;ZSCPQ225;ZSCPQ244;ZSCPQ258;ZSCPQ241;ZSCPQ246;ZSCPQ248;ZSCPQ242;ZSCPQ256;ZSCPQ245;ZSCPQ254;ZSCPQ243;ZSCPQ247;ZSCPQ253;ZSCPQ240;ZSCPQ273;ZSCPQ274;ZSCPQ279;ZSCPQ277;ZSCPQ285;ZSCPQ275;ZSCPQ276;ZSCPQ281;ZSCPQ278;ZSCPQ284;ZSCPQ283;ZSCPQ282;ZSCPQ303;ZSCPQ307;ZSCPQ314;ZSCPQ306;ZSCPQ177;ZSCPQ180;ZSCPQ183;ZSCPQ173;ZSCPQ175;ZSCPQ174;ZSCPQ179;ZSCPQ172;ZSCPQ182;ZSCPQ178;ZSCPQ181;ZSCPQ176;ZSCPQ162;ZSCPQ158;ZSCPQ159;ZSCPQ160;ZSCPQ171
44;Versie 2.0;1330;1330_da;Vegetatie;bedekking sleutelsoorten;aantal sleutelsoorten hoog schor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Versie 2.0;1330;1330_da;Vegetatie;bedekking sleutelsoorten;aantal sleutelsoorten laag schor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Versie 2.0;1330;1330_da;Vegetatie;bedekking sleutelsoorten;aantal sleutelsoorten volledige gradiënt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Versie 3;1330;1330_da;Vegetatie;bedekking sleutelsoorten;bedekking sleutelsoorten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Versie 2.0;1330;1330_da;Structuur;horizontale structuur;structuurvar binnen de verschillende zones aanwezi;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
50;Versie 3;1330;1330_da;Structuur;horizontale structuur;zowel lage als hoge schorvegetaties aanwezig;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nee;nee;nee;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja
42;Versie 2.0;1330;1330_da;Structuur;horizontale structuur_vegetatiegradient;zowel lage als hoge (en climax-) schorvegetaties;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nee;nee;nee;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja
49;Versie 3;1330;1330_da;Structuur;kreken, oeverwallen en kommen;aanwezigheid kreken, oeverwallen en kommen;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nee;nee;nee;nee;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nee;nee;nee;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja
37;Versie 2.0;1330;1330_da;Structuur;kreken, oeverwallen en kommen;kreken en oeverwallen aanwezig;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nee;nee;nee;nee;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nee;nee;nee;nee;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja
41;Versie 2.0;1330;1330_da;Verstoring;overgang naar rbbmr;bedekking riet;77;86;86;86;86;86;86;86;53;53;53;53;53;53;53;53;22;22;22;22;22;72;72;72;72;72;72;72;72;72;72;72;72;72;59;59;59;59;59;59;59;59;59;59;59;59;21;21;21;21;78;78;78;78;78;78;78;78;78;78;78;78;75;75;75;75;75
