"id";"polygon_id";"grts_ranking";"x";"y";"main_type";"type";"phab";"sac";"year_planned";"description_orig";"legacy_site";"certain"
"18546_6510_hu";"54807";18546;229725,6;163886,1;"6510";"6510_hu";20;1;1;"60% 6430,rbbhf; 20% 6510_hu; 20% gh";FALSE;NA
"20217_6510_hu";"49782";20217;124253,6;182638,1;"6510";"6510_hu";30;1;1;"70% gh; 30% 6510_hu";FALSE;NA
"27954_6510_hu";"50848";27954;224669,6;178926,1;"6510";"6510_hu";30;1;1;"70% gh; 30% 6510_hu";FALSE;NA
"46662_6510_hu";"52915";46662;169565,6;167438,1;"6510";"6510_hu";100;1;1;"100% 6510_hu";FALSE;NA
"47446_6510_hu";"46462";47446;184125,6;189198,1;"6510";"6510_hu";100;1;1;"100% 6510_hu";FALSE;NA
"61522_6510_hu";"43575";61522;249981,6;197198,1;"6510";"6510_hu";30;1;1;"70% gh; 30% 6510_hu";FALSE;NA
"62697_6510_hu";"56743";62697;146205,6;199694,1;"6510";"6510_hu";100;1;1;"100% 6510_hu";FALSE;NA
"78294_6510_hu";"37295";78294;180573,6;216814,1;"6510";"6510_hu";100;1;1;"100% 6510_hu";FALSE;NA
"79986_6510_hu";"54821";79986;228637,6;163374,1;"6510";"6510_hu";30;1;1;"40% rbbhf; 30% 6510_hu; 30% rbbhc";FALSE;NA
"91446_6510_hu";"47376";91446;192765,6;189326,1;"6510";"6510_hu";20;1;1;"30% gh; 30% rbbhf; 20% rbbhc; 20% 6510";FALSE;NA
"99521_6510_hu";"41435";99521;87069,6;204270,1;"6510";"6510_hu";50;1;1;"50% 6510_hu; 50% gh";FALSE;NA
"121734_6510_hu";"49424";121734;173597,6;184270,1;"6510";"6510_hu";30;1;1;"70% gh; 30% 6510_hu";FALSE;NA
"127218_6510_hu";"51578";127218;236381,6;174958,1;"6510";"6510_hu";30;1;1;"70% gh; 30% 6510_hu";FALSE;NA
"143602_6510_hu";"51761";143602;235645,6;174894,1;"6510";"6510_hu";60;1;1;"60% 6510_hu; 20% 6410_ve; 20% gh";FALSE;NA
