scheme	sampling_unit_code	point_code	type_target	sac_streams	grts_ranking	grts_ranking_draw	legacy_site	x	y	db_ref	segment_id
MHQ3260	10046898_3260	10046898_1	3260	1	10046898	10046898	0	248808.82	161792.25	NA	1_4_575
MHQ3260	1006710_3260	1006710_1	3260	2	1006710	1006710	0	207415.37	210723.76	SchNe_02	1_4_1189
MHQ3260	10090614_3260	10090614_1	3260	1	10090614	10090614	0	202602.19	216930.44	NA	1_7_37741
MHQ3260	10142678_3260	10142678_1	3260	1	10142678	10142678	0	178167.41	208785.48	NA	1_7_18086
MHQ3260	10155254_3260	10155254_1	3260	1	10155254	10155254	0	196673.6	215041.48	NA	1_4_313
MHQ3260	10168530_3260	10168530_1	3260	1	10168530	10168530	0	221816.82	202077.7	NA	1_4_502
MHQ3260	1018130_3260	1018130_1	3260	1	1018130	1018130	0	223461.31	217154.05	Dommel_10	1_4_1117
MHQ3260	10270706_3260	10270706_1	3260	1	10270706	10270706	0	238952.26	181159.36	NA	1_7_114571
MHQ3260	10309042_3260	10309042_1	3260	1	10309042	10309042	0	248428.62	161826.78	NA	1_4_1019
MHQ3260	10316258_3260	10316258_1	3260	1	10316258	10316258	0	253874.22	204727.96	NA	1_4_982
MHQ3260	1040402_3260	1040402_1	3260	2	1040402	1040402	0	229059.6	208055.24	NA	1_7_140445
MHQ3260	10438930_3260	10438930_1	3260	1	10438930	10438930	0	223966.43	218284.78	NA	1_4_1104
MHQ3260	1047854_3260	1047854_1	3260	1	1047854	1047854	0	186945.47	232226.79	NooMa_02	1_4_1088
MHQ3260	10494034_3260	10494034_1	3260	1	10494034	10494034	0	249828.66	195253.85	NA	1_7_7741
MHQ3260	10559762_3260	10559762_1	3260	1	10559762	10559762	0	224689.49	210740.35	NA	1_4_916
MHQ3260	10601334_3260	10601334_1	3260	1	10601334	10601334	0	209302.11	206505.36	NA	1_4_1284
MHQ3260	10635538_3260	10635538_1	3260	1	10635538	10635538	0	223862.19	217819.27	NA	1_4_1109
MHQ3260	11085430_3260	11085430_1	3260	2	11085430	11085430	0	211215.16	204948.33	BriLo_06	1_4_882
MHQ3260	1135858_3260	1135858_1	3260	1	1135858	1135858	0	243005.01	176670.64	Maas_18	1_4_1811
MHQ3260	1142226_3260	1142226_1	3260	2	1142226	1142226	0	230401.57	186948.84	NA	1_4_1497
MHQ3260	1150886_3260	1150886_1	3260	1	1150886	1150886	0	186150.67	180314.79	WalBo_01	1_4_1690
MHQ3260	1153089_3260	1153089_1	3260	1	1153089	1153089	0	74883.26	200027.54	BorBe_03	1_7_121104
MHQ3260	1237410_3260	1237410_1	3260	1	1237410	1237410	0	251440.54	199236.09	Maas_33	1_7_8855
MHQ3260	1269266_3260	1269266_1	3260	1	1269266	1269266	0	228633.37	214184.05	WarBe_01	1_4_422
MHQ3260	1305334_3260	1305334_1	3260	1	1305334	1305334	0	190239.55	209761.78	SasLo_03	1_7_208880
MHQ3260	1309170_3260	1309170_1	3260	1	1309170	1309170	0	243401.53	177860.96	Maas_19	1_4_1824
