segment_id	grts_ranking	sac_streams	x	y
1_4_10	29173170	intersecting or downstream	247060.4	162143.51
1_4_100	45218066	intersecting or downstream	223225.55	215942.12
1_4_1000	23039058	intersecting or downstream	250893.52	201791.28
1_4_1001	48860242	intersecting or downstream	250927.99	201886.47
1_4_1002	31558738	intersecting or downstream	250975.92	201975.57
1_4_1003	39517622	intersecting or downstream	203019.64	191797.61
1_4_1005	35301441	intersecting or downstream	74119.06	200823.02
1_4_1006	55224385	intersecting or downstream	74161.34	200762.17
1_4_1007	30058561	intersecting or downstream	74236.19	200745
1_4_1008	16967745	intersecting or downstream	74266.94	200677.33
1_4_1009	55371841	intersecting or downstream	74288.48	200585.98
1_4_101	60553490	intersecting or downstream	223100.82	216427.34
1_4_1010	40691777	intersecting or downstream	74360.76	200520.29
1_4_1011	8185921	intersecting or downstream	74428.09	200450.44
1_4_1012	33876033	intersecting or downstream	74507.12	200393.42
1_4_1013	24700993	intersecting or downstream	74579.78	200346.78
1_4_1014	65595457	intersecting or downstream	74653.61	200328.42
1_4_1015	50915393	intersecting or downstream	74713.47	200255.83
1_4_1019	10309042	intersecting or downstream	248428.62	161826.78
1_4_102	784658	intersecting or downstream	223114.68	216335.94
1_4_1020	17649074	intersecting or downstream	248514.63	161796.71
1_4_1021	11095474	intersecting or downstream	248608.56	161776.08
1_4_1022	65621426	intersecting or downstream	248705.82	161780.79
1_4_1023	10046898	intersecting or downstream	248803.33	161791.09
1_4_1024	66997682	intersecting or downstream	248900.55	161803.57
1_4_1025	26103218	intersecting or downstream	248979.5	161861.29
1_4_1026	53366194	intersecting or downstream	249056.75	161915.14
1_4_1027	59133362	intersecting or downstream	249106.94	161942.86
1_4_1028	33967538	intersecting or downstream	249198.76	161927.27
1_4_1029	45501874	intersecting or downstream	249255.3	161902.83
1_4_103	39844114	intersecting or downstream	223127.94	216245.22
1_4_1030	35016114	intersecting or downstream	249292	161819.74
1_4_1031	60181938	intersecting or downstream	249336.34	161763.46
1_4_1032	19619250	intersecting or downstream	249417.05	161722.04
1_4_1033	29056434	intersecting or downstream	249504.65	161688.51
1_4_1034	37445042	intersecting or downstream	249593.93	161694.16
1_4_1035	39804338	intersecting or downstream	249682.34	161674.39
1_4_1036	62873010	intersecting or downstream	249746.26	161627.76
1_4_1037	4152754	intersecting or downstream	249770.35	161555.7
1_4_1038	33512882	intersecting or downstream	249826.54	161503.59
1_4_1039	30694834	intersecting or downstream	249890.69	161439.24
1_4_104	66058514	intersecting or downstream	223140.85	216153.77
1_4_1040	22306226	intersecting or downstream	249986.53	161421.91
1_4_1041	3431858	intersecting or downstream	250076.54	161383.86
1_4_1042	33054130	intersecting or downstream	250153.57	161340.42
1_4_1043	54025650	intersecting or downstream	250250.97	161334.72
1_4_1046	32559037	outside	151594.99	223364.54
1_4_1047	1729430	outside	164179.11	217157.4
1_4_1054	3240210	intersecting or downstream	224535.3	213300.71
1_4_1055	49377554	intersecting or downstream	224585.57	213215.99
1_4_1056	44560658	intersecting or downstream	223711.93	213527.71
1_4_1057	7844114	intersecting or downstream	223794.5	213514.27
1_4_1063	27200786	outside	222582.55	212345.76
1_4_1064	49220882	outside	222509.72	212311.8
1_4_1065	62590226	outside	222412.19	212298.63
1_4_1066	47910162	outside	222339.36	212229.63
1_4_1067	12782866	outside	222301	212141.87
1_4_1068	38997266	outside	222289.5	212043.23
1_4_1069	30608658	outside	222273.71	211945.09
1_4_1070	11537682	outside	222226.77	211857.34
1_4_1071	28642578	outside	222167.79	211776.12
1_4_1072	24448274	outside	222114.07	211691.67
1_4_1073	45944082	outside	222086.54	211595.37
1_4_1074	46992658	outside	222016.54	211530.91
1_4_1075	58789138	outside	221926.03	211487.61
1_4_1076	66129170	outside	221837.08	211441.57
1_4_1077	42568978	outside	221740.12	211415.7
1_4_1080	18271506	outside	221462.26	211308.85
1_4_1081	4377874	outside	221366.49	211278.97
1_4_1082	61000978	outside	221282.56	211226.99
1_4_1083	61852946	outside	221192.6	211182.57
1_4_1084	39308562	outside	221105.52	211133.04
1_4_1085	33017106	outside	221022.16	211077.18
1_4_1086	9686290	outside	220931.93	211034.01
1_4_1087	55823634	outside	220852.12	210973.27
1_4_1088	1047854	intersecting or downstream	186945.47	232226.79
1_4_1089	57408814	intersecting or downstream	186912.67	232134.57
1_4_1094	32002922	intersecting or downstream	224528.75	219016.9
1_4_1095	58217322	intersecting or downstream	224446.2	218959.8
1_4_1096	5788522	intersecting or downstream	224356.88	218922.73
1_4_1097	64508778	intersecting or downstream	224277.76	218862.89
1_4_1098	56709994	intersecting or downstream	224218.78	218782.74
1_4_11	20784562	intersecting or downstream	247155.71	162161.07
1_4_1100	32592746	intersecting or downstream	224154.8	218593.54
1_4_1101	23808274	intersecting or downstream	224113.52	218503.04
1_4_1102	60508434	intersecting or downstream	224036.53	218446.41
1_4_1103	31148306	intersecting or downstream	224023.12	218355.45
1_4_1104	10438930	intersecting or downstream	223966.43	218284.78
1_4_1106	21973266	intersecting or downstream	223953.4	218094.26
1_4_1108	18499858	intersecting or downstream	223923.64	217897.46
1_4_1109	10635538	intersecting or downstream	223862.19	217819.27
1_4_1110	2246930	intersecting or downstream	223798.57	217741.62
1_4_1111	42912018	intersecting or downstream	223736.94	217662.48
1_4_1114	57116946	intersecting or downstream	223550	217426.68
1_4_1116	19892498	intersecting or downstream	223450.11	217253.03
1_4_1117	1018130	intersecting or downstream	223461.31	217154.05
1_4_1119	30312722	intersecting or downstream	223337.3	217007.2
1_4_112	61235474	intersecting or downstream	224748.81	212017.39
1_4_1120	59672850	intersecting or downstream	223259.96	216943.25
1_4_1122	59869458	intersecting or downstream	223145.38	216809.33
1_4_1123	29985042	intersecting or downstream	223112.64	216717.09
1_4_1124	28936466	intersecting or downstream	223096.78	216618.19
1_4_1125	57148062	outside	178062.91	220831.46
1_4_1126	11272862	outside	178050.63	220936.65
1_4_1127	13370014	outside	178095.01	221031.68
1_4_1128	18431933	outside	152204.79	226361.37
1_4_1129	40452029	outside	152306.75	226351.33
1_4_113	46154002	intersecting or downstream	224799.96	211984.93
1_4_1130	60637117	outside	152408.72	226341.3
1_4_1131	55394237	outside	152508.59	226352.58
1_4_1132	19611581	outside	152604.22	226389.35
1_4_1133	13320125	outside	152700.39	226423.55
1_4_1134	10174397	outside	152797.57	226391.77
1_4_1135	9912253	outside	152894.59	226358.81
1_4_1136	36126653	outside	152991.6	226325.86
1_4_1137	40320957	outside	153088.62	226292.91
1_4_1138	47081438	outside	153185.22	226309.54
1_4_1139	3041246	outside	153280.77	226346.54
1_4_114	819282	intersecting or downstream	248393	195090.37
1_4_1140	66480094	outside	153376.31	226383.55
1_4_1141	35022814	outside	153475.13	226401.41
1_4_1142	19294174	outside	153577.19	226392.36
1_4_1143	485342	outside	153679.25	226383.31
1_4_1148	43354070	intersecting or downstream	183516.39	208261.73
1_4_1149	45975510	intersecting or downstream	183621.06	208298.63
1_4_115	6275154	intersecting or downstream	248407.2	194991.52
1_4_1150	47024086	intersecting or downstream	183725.71	208335.58
1_4_1151	60291030	intersecting or downstream	183827.05	208379.2
1_4_1152	15024146	intersecting or downstream	228897.6	209812.31
1_4_1153	66404370	intersecting or downstream	228897.01	209712.85
1_4_1154	30490642	intersecting or downstream	228941.44	209618.05
1_4_1155	47898130	intersecting or downstream	228714.75	212524.29
1_4_1156	18837010	intersecting or downstream	228728.5	212439.61
1_4_1157	14642706	intersecting or downstream	228729.55	212352.98
1_4_1158	40857106	intersecting or downstream	228703.55	212272.85
1_4_1159	61174034	intersecting or downstream	224526.08	212990.6
1_4_116	59752530	intersecting or downstream	248408.97	194891.9
1_4_1160	47804690	intersecting or downstream	224445.96	212961.34
1_4_1161	46559506	intersecting or downstream	224426.58	212865.53
1_4_1162	62288146	intersecting or downstream	224431.85	212759.56
1_4_1163	36335890	intersecting or downstream	224469.78	212658.09
1_4_1164	20212598	outside	205145.13	210290.46
1_4_1165	10775414	outside	205241.6	210306.15
1_4_1166	1370998	outside	205330.59	210333.08
1_4_1167	26536822	outside	205417.92	210327.1
1_4_1168	31779702	outside	205508.01	210354.85
1_4_1169	18672502	outside	205594.69	210346.41
1_4_117	38781010	intersecting or downstream	248403.16	194792.11
1_4_1170	22866806	outside	205681.97	210373.55
1_4_1171	54419574	outside	205764.22	210405.38
1_4_1172	483446	outside	205843.07	210444.87
1_4_1173	46620790	outside	205924.95	210497.05
1_4_1174	62349430	outside	206021.53	210519.07
1_4_1175	35872886	outside	206117.21	210526.05
1_4_1176	16998518	outside	206215.34	210530.93
1_4_1177	62087286	outside	206312.31	210554.03
1_4_1178	56630390	outside	206410.61	210563.2
1_4_1179	3153014	outside	206504.25	210593.65
1_4_118	2342994	intersecting or downstream	248393.36	194692.69
1_4_1180	66067574	outside	206599.9	210622.62
1_4_1181	25959542	outside	206691.82	210652.21
1_4_1182	2366582	outside	206779.32	210692.48
1_4_1183	23338102	outside	206824.97	210756.71
1_4_1184	18422902	outside	206920.99	210771.33
1_4_1185	61414518	outside	207019.79	210753.18
1_4_1186	17112182	outside	207119.48	210741.09
1_4_1187	46472310	outside	207215.01	210712.18
1_4_1188	44375158	outside	207315.13	210717.31
1_4_1189	1006710	outside	207415.37	210723.76
1_4_119	4440146	intersecting or downstream	248384.05	194593.2
1_4_1190	6249590	outside	207515.82	210722.05
1_4_1191	60775542	outside	207616.24	210719.88
1_4_1192	55270518	outside	207694.43	210757.48
1_4_1193	28007542	outside	207793.14	210776.17
1_4_1194	19618934	outside	207847.28	210716.54
1_4_1195	47996022	outside	207941.19	210688.53
1_4_1196	50093174	outside	208039.81	210706.55
1_4_1197	62676086	outside	208137.89	210727.96
1_4_1198	1596534	outside	208236.04	210749.24
1_4_1199	36199542	outside	208334.08	210769.97
1_4_12	52241842	intersecting or downstream	247246.25	162144.67
1_4_120	7454802	intersecting or downstream	248374.18	194493.77
1_4_1200	7552118	outside	208430.8	210789.26
1_4_1201	40057974	outside	208528.87	210808.75
1_4_1202	27475062	outside	208625.63	210831.5
1_4_1203	55262326	outside	208721.56	210851.95
1_4_1204	4930678	outside	208781.1	210899.79
1_4_1205	62012534	outside	208782.02	210997.84
1_4_1206	42089590	outside	208782.84	211096.02
1_4_1207	52837494	outside	208783.77	211194.22
1_4_1208	65420406	outside	208786.02	211292.36
1_4_121	28426322	intersecting or downstream	248358.73	194395.06
1_4_1211	38599798	outside	208986.97	211454.57
1_4_1212	22871158	outside	209077.29	211493.11
1_4_1213	31521910	outside	209166.84	211533.39
1_4_1214	8453238	outside	209256.88	211572.59
1_4_1215	19987574	outside	209350.45	211601.12
1_4_1216	35093622	outside	209436	211627.82
1_4_1217	33258614	outside	209481.63	211686.76
1_4_1218	53181558	outside	209576.46	211712.27
1_4_1219	23821430	outside	209671.3	211737.77
1_4_122	45695058	intersecting or downstream	248331.05	194299.4
1_4_1220	31685750	outside	209686.65	211814.12
1_4_1221	25918582	outside	209670.04	211910.91
1_4_1222	9075830	outside	209726.53	211958.12
1_4_1223	16415862	outside	209822.61	211978.48
1_4_1224	3832950	outside	209878.47	212029.25
1_4_1225	26901622	outside	209919.14	212092.51
1_4_1226	26049654	outside	209986.05	212138.88
1_4_1227	38810642	outside	228769.25	205405.69
1_4_1228	10499090	outside	228712.36	205333.59
1_4_1229	6534162	outside	228660.04	205256.74
1_4_123	33374290	intersecting or downstream	248296.62	194205.56
1_4_1230	63943698	outside	228610.22	205175.14
1_4_1231	7320594	outside	228556.91	205096.86
1_4_1232	7844882	outside	228520.2	205014.22
1_4_1233	17282066	outside	228486.61	204941.22
1_4_1234	62841042	outside	226260.95	200721
1_4_1235	34988242	outside	226243.03	200618.1
1_4_124	44908626	intersecting or downstream	248265.27	194110.68
1_4_125	1917010	intersecting or downstream	248229.24	194017.65
1_4_1252	50669430	intersecting or downstream	206713.7	205286.6
1_4_1257	45885302	intersecting or downstream	206944.73	205633.5
1_4_1258	32253814	intersecting or downstream	207032.18	205669.65
1_4_1259	53225334	intersecting or downstream	207117.37	205712.94
1_4_126	44038482	intersecting or downstream	248190.9	193925.38
1_4_127	33552722	intersecting or downstream	248154.98	193832.1
1_4_1279	52216694	intersecting or downstream	208870.8	206320.16
1_4_128	3406162	intersecting or downstream	248118.52	193739.04
1_4_1280	41534326	intersecting or downstream	208965.92	206345.11
1_4_1281	21611382	intersecting or downstream	209059.8	206372.27
1_4_1282	17417078	intersecting or downstream	209152.76	206403.51
1_4_1283	9552758	intersecting or downstream	209228.29	206453.84
1_4_1284	10601334	intersecting or downstream	209302.11	206505.36
1_4_129	41154898	intersecting or downstream	248082.66	193645.75
1_4_13	60067250	intersecting or downstream	247336.41	162172.19
1_4_130	16513362	intersecting or downstream	248045.69	193552.9
1_4_1309	378102	outside	196022.74	215574.44
1_4_131	18413906	intersecting or downstream	248005.58	193461.36
1_4_1310	43066614	outside	196736.37	217194.77
1_4_1311	13706486	outside	196732.04	217297.85
1_4_1312	37299446	outside	196726	217400.89
1_4_1313	38348022	outside	196717.98	217503.71
1_4_1314	33809654	outside	196691.92	217602.69
1_4_1315	35906806	outside	196725.62	217700.13
1_4_1316	51635446	outside	196763.8	217795.93
1_4_1317	15721718	outside	196824.46	217879.12
1_4_1318	66839798	outside	196889.23	217959.49
1_4_1319	8119542	outside	196954.06	218039.8
1_4_132	20511058	intersecting or downstream	247966.19	193369.51
1_4_1320	1762550	outside	197019.23	218119.85
