scheme	sampling_unit_code	point_code	date	is_valid	is_valid_type	is_valid_refpoint
MHQ3260	10046898_3260	10046898_1	NA	NA	NA	NA
MHQ3260	1006710_3260	1006710_1	17039	1	1	1
MHQ3260	10090614_3260	10090614_1	NA	NA	NA	NA
MHQ3260	10142678_3260	10142678_1	NA	NA	NA	NA
MHQ3260	10155254_3260	10155254_1	NA	NA	NA	NA
MHQ3260	10168530_3260	10168530_1	NA	NA	NA	NA
MHQ3260	1018130_3260	1018130_1	17018	1	1	1
MHQ3260	10270706_3260	10270706_1	NA	NA	NA	NA
MHQ3260	10309042_3260	10309042_1	NA	NA	NA	NA
MHQ3260	10316258_3260	10316258_1	NA	NA	NA	NA
MHQ3260	1040402_3260	1040402_1	NA	NA	NA	NA
MHQ3260	10438930_3260	10438930_1	NA	NA	NA	NA
MHQ3260	1047854_3260	1047854_1	16604	1	1	1
MHQ3260	10494034_3260	10494034_1	NA	NA	NA	NA
MHQ3260	10559762_3260	10559762_1	NA	NA	NA	NA
MHQ3260	10601334_3260	10601334_1	NA	NA	NA	NA
MHQ3260	10635538_3260	10635538_1	NA	NA	NA	NA
MHQ3260	11085430_3260	11085430_1	17730	1	1	1
MHQ3260	1135858_3260	1135858_1	17399	1	1	1
MHQ3260	1142226_3260	1142226_1	18078	0	NA	0
MHQ3260	1150886_3260	1150886_1	16675	1	1	1
MHQ3260	1153089_3260	1153089_1	18439	1	1	1
MHQ3260	1237410_3260	1237410_1	18494	1	1	1
MHQ3260	1269266_3260	1269266_1	17018	0	0	1
MHQ3260	1305334_3260	1305334_1	18428	0	0	1
MHQ3260	1309170_3260	1309170_1	17399	1	1	1
MHQ3260	1309998_3260	1309998_1	18445	0	0	1
MHQ3260	131970_3260	131970_1	17024	0	NA	0
MHQ3260	1354614_3260	1354614_1	NA	NA	NA	NA
MHQ3260	1370998_3260	1370998_1	17319	1	1	1
MHQ3260	1372353_3260	1372353_1	NA	NA	NA	NA
MHQ3260	1444470_3260	1444470_1	NA	NA	NA	NA
MHQ3260	1484114_3260	1484114_1	17414	1	1	1
MHQ3260	1497974_3260	1497974_1	17395	0	NA	0
MHQ3260	1508470_3260	1508470_1	NA	NA	NA	NA
MHQ3260	1549302_3260	1549302_1	18473	0	0	1
MHQ3260	1596534_3260	1596534_1	17395	1	1	1
MHQ3260	1618386_3260	1618386_1	NA	NA	NA	NA
MHQ3260	1621622_3260	1621622_1	NA	NA	NA	NA
MHQ3260	16967745_3260	16967745_1	18044	1	1	1
MHQ3260	1704146_3260	1704146_1	NA	NA	NA	NA
MHQ3260	1729430_3260	1729430_1	NA	NA	NA	NA
MHQ3260	1762550_3260	1762550_1	17729	1	1	1
MHQ3260	1764882_3260	1764882_1	18424	1	1	1
MHQ3260	17795554_3260	3115490_2	18124	1	1	1
MHQ3260	1834286_3260	1834286_1	18445	0	0	1
MHQ3260	1841014_3260	1841014_1	18449	0	NA	0
MHQ3260	1867858_3260	1867858_1	18494	0	NA	0
MHQ3260	1880594_3260	1880594_1	17025	0	NA	0
MHQ3260	1917010_3260	1917010_1	17751	0	0	1
MHQ3260	2031030_3260	2031030_1	18449	0	NA	0
MHQ3260	2050322_3260	2050322_1	18473	1	1	1
MHQ3260	212134_3260	212134_1	18493	0	0	1
MHQ3260	2123986_3260	2123986_1	18452	1	1	1
MHQ3260	2124662_3260	2124662_1	NA	NA	NA	NA
MHQ3260	2129938_3260	2129938_1	18043	1	1	1
MHQ3260	2133494_3260	2133494_1	17319	1	1	1
MHQ3260	2169582_3260	2169582_1	18445	0	0	1
MHQ3260	2221394_3260	2221394_1	17751	0	0	1
MHQ3260	2241970_3260	2241970_1	17364	1	1	1
MHQ3260	2246930_3260	2246930_1	17364	1	1	1
MHQ3260	2252274_3260	2252274_1	17808	1	1	1
MHQ3260	2291670_3260	2291670_1	17365	1	1	1
MHQ3260	2342994_3260	2342994_1	17751	1	1	1
MHQ3260	2366582_3260	2366582_1	18040	0	1	0
MHQ3260	2369362_3260	2369362_1	17364	1	1	1
MHQ3260	2448146_3260	2448146_1	18452	0	0	1
MHQ3260	2465270_3260	2465270_1	17319	0	0	1
MHQ3260	2476530_3260	2476530_1	17808	1	1	1
MHQ3260	2477554_3260	2477554_1	17808	1	1	1
MHQ3260	2485086_3260	2485086_1	17032	1	1	1
MHQ3260	2498978_3260	2498978_1	NA	NA	NA	NA
MHQ3260	2548050_3260	2548050_1	17751	1	1	1
MHQ3260	2566354_3260	2566354_1	18452	1	1	1
MHQ3260	2589570_3260	2589570_1	17364	1	1	1
MHQ3260	2614318_3260	2614318_1	18428	0	0	1
MHQ3260	26346370_3260	131970_2	17024	1	1	1
MHQ3260	264822_3260	264822_1	NA	NA	NA	NA
MHQ3260	266578_3260	266578_1	17414	1	1	1
MHQ3260	26663798_3260	1497974_2	17395	1	1	1
MHQ3260	2685046_3260	2685046_1	17729	1	1	1
MHQ3260	2817750_3260	2817750_1	18473	0	0	1
MHQ3260	2853618_3260	2853618_1	17808	1	1	1
MHQ3260	2992914_3260	2992914_1	17364	0	0	1
MHQ3260	2999158_3260	2999158_1	18423	0	0	1
MHQ3260	3034610_3260	3034610_1	17808	0	1	0
MHQ3260	3115490_3260	3115490_1	18124	0	NA	0
MHQ3260	3173042_3260	3173042_1	17749	1	1	1
MHQ3260	3197426_3260	3197426_1	18122	1	1	1
MHQ3260	3214834_3260	3214834_1	18493	1	1	1
MHQ3260	3238226_3260	3238226_1	18124	0	0	1
MHQ3260	3240210_3260	3240210_1	18103	0	NA	0
MHQ3260	3328482_3260	3328482_1	NA	NA	NA	NA
MHQ3260	3337746_3260	3337746_1	18424	0	NA	0
MHQ3260	33512882_3260	4152754_2	18453	1	1	1
MHQ3260	3402066_3260	3402066_1	18124	1	1	1
MHQ3260	3406162_3260	3406162_1	18124	1	1	1
MHQ3260	3431858_3260	3431858_1	18079	1	1	1
MHQ3260	3481874_3260	3481874_1	18103	0	0	1
MHQ3260	3483058_3260	3483058_1	18079	1	1	1
MHQ3260	351794_3260	351794_1	17024	1	1	1
MHQ3260	359542_3260	359542_1	NA	NA	NA	NA
MHQ3260	3598834_3260	3598834_1	18493	1	1	1
MHQ3260	3634002_3260	3634002_1	18452	1	1	1
MHQ3260	3717106_3260	3717106_1	18452	1	1	1
MHQ3260	3729270_3260	3729270_1	18040	1	1	1
MHQ3260	3734610_3260	3734610_1	NA	NA	NA	NA
MHQ3260	3757298_3260	3757298_1	18122	1	1	1
MHQ3260	37747958_3260	4193526_2	18038	1	1	1
MHQ3260	378102_3260	378102_1	16622	1	1	1
MHQ3260	3799218_3260	3799218_1	18122	1	1	1
MHQ3260	3886578_3260	3886578_1	18122	1	1	1
MHQ3260	3902898_3260	3902898_1	18079	0	1	0
MHQ3260	391346_3260	391346_1	16629	1	1	1
MHQ3260	3968990_3260	3968990_1	18472	0	0	1
MHQ3260	4092754_3260	4092754_1	NA	NA	NA	NA
MHQ3260	4110198_3260	4110198_1	18423	1	1	1
MHQ3260	4117746_3260	4117746_1	NA	NA	NA	NA
MHQ3260	4146134_3260	4146134_1	18473	1	1	1
MHQ3260	4152754_3260	4152754_1	18453	0	NA	0
MHQ3260	41926046_3260	4275614_2	18472	0	1	0
MHQ3260	4193526_3260	4193526_1	18038	0	NA	0
MHQ3260	4204406_3260	4204406_1	18424	1	1	1
MHQ3260	422134_3260	422134_1	NA	NA	NA	NA
MHQ3260	426066_3260	426066_1	18494	1	1	1
MHQ3260	4268114_3260	4268114_1	18494	1	1	1
MHQ3260	4275614_3260	4275614_1	18472	0	NA	0
MHQ3260	4314870_3260	4314870_1	18428	0	0	1
MHQ3260	4324434_3260	4324434_1	18494	1	1	1
MHQ3260	434881_3260	434881_1	17305	1	1	1
MHQ3260	435538_3260	435538_1	17414	1	1	1
MHQ3260	4367318_3260	4367318_1	NA	NA	NA	NA
MHQ3260	4394806_3260	4394806_1	NA	NA	NA	NA
MHQ3260	43974070_3260	2031030_2	18449	1	1	1
MHQ3260	4405142_3260	4405142_1	NA	NA	NA	NA
MHQ3260	4440146_3260	4440146_1	NA	NA	NA	NA
MHQ3260	4492722_3260	4492722_1	NA	NA	NA	NA
MHQ3260	45084178_3260	3337746_2	18424	1	1	1
MHQ3260	4623442_3260	4623442_1	NA	NA	NA	NA
MHQ3260	4646226_3260	4646226_1	NA	NA	NA	NA
MHQ3260	4677106_3260	4677106_1	NA	NA	NA	NA
MHQ3260	4678802_3260	4678802_1	NA	NA	NA	NA
MHQ3260	4771806_3260	4771806_1	NA	NA	NA	NA
MHQ3260	483446_3260	483446_1	17017	1	1	1
MHQ3260	485342_3260	485342_1	17031	1	1	1
MHQ3260	4928018_3260	4928018_1	NA	NA	NA	NA
MHQ3260	494838_3260	494838_1	16622	1	1	1
MHQ3260	4965042_3260	4965042_1	NA	NA	NA	NA
MHQ3260	5012950_3260	5012950_1	NA	NA	NA	NA
MHQ3260	5062046_3260	5062046_1	NA	NA	NA	NA
